epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,0.636785,0.616539,0.040262,0.6158,0.2300,0.9021,2.0000
2,0.184313,0.183974,0.000668,0.6819,0.2235,0.9074,1.9211
3,0.259521,0.259128,0.000782,0.6310,0.2297,0.9035,1.8421
4,0.218684,0.218169,0.001043,0.6870,0.2214,0.9095,1.7632
5,0.197729,0.197456,0.000557,0.6819,0.2103,0.9168,1.6842
6,0.208994,0.208615,0.000762,0.6590,0.2171,0.9122,1.6053
7,0.141986,0.141692,0.000591,0.6005,0.2146,0.9141,1.5263
8,0.145176,0.144893,0.000582,0.6972,0.2178,0.9121,1.4474
9,0.138982,0.138707,0.000589,0.7201,0.2039,0.9211,1.3684
10,0.130597,0.130451,0.000315,0.7506,0.2103,0.9173,1.2895
11,0.116528,0.116303,0.000490,0.6718,0.2083,0.9185,1.2105
12,0.132100,0.131883,0.000470,0.6896,0.2120,0.9164,1.1316
13,0.137367,0.137112,0.000557,0.7176,0.2090,0.9183,1.0526
14,0.113080,0.112801,0.000613,0.7201,0.2055,0.9203,0.9737
15,0.114679,0.114472,0.000464,0.6794,0.2036,0.9215,0.8947
16,0.111573,0.111361,0.000470,0.6260,0.2051,0.9207,0.8158
17,0.115587,0.115315,0.000610,0.7710,0.2029,0.9218,0.7368
18,0.111400,0.111119,0.000625,0.6819,0.2027,0.9219,0.6579
19,0.101586,0.101313,0.000610,0.7913,0.2013,0.9228,0.5789
20,0.103941,0.103719,0.000491,0.7532,0.2024,0.9222,0.5000
