epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.583308,0.552503,0.009678,0.256993,0.3761,0.4188,0.6219,0.1318,0.2864,2.0000
2,0.191175,0.188577,0.000528,0.018618,0.7265,0.6752,0.6266,0.1257,0.2785,1.9848
3,0.199162,0.198154,0.000251,0.004142,0.6923,0.6581,0.6277,0.1251,0.2769,1.9697
4,0.165800,0.165149,0.000242,0.000775,0.7179,0.6667,0.6282,0.1250,0.2761,1.9545
5,0.174629,0.174060,0.000080,0.000621,0.6410,0.5726,0.6279,0.1251,0.2765,1.9394
6,0.170407,0.169811,0.000099,0.000655,0.6667,0.6068,0.6280,0.1251,0.2763,1.9242
7,0.213264,0.212552,0.000321,0.001010,0.7778,0.6838,0.6280,0.1251,0.2763,1.9091
8,0.144053,0.143420,0.000207,0.000776,0.7949,0.7265,0.6279,0.1251,0.2764,1.8939
9,0.166596,0.165913,0.000353,0.000680,0.7436,0.6923,0.6282,0.1250,0.2762,1.8788
10,0.134794,0.134181,0.000248,0.000484,0.6667,0.6068,0.6282,0.1250,0.2761,1.8636
11,0.145852,0.145235,0.000240,0.000445,0.6496,0.6325,0.6282,0.1250,0.2761,1.8485
12,0.132470,0.131864,0.000229,0.000445,0.7778,0.7607,0.6283,0.1250,0.2761,1.8333
13,0.138287,0.137689,0.000222,0.000428,0.7179,0.7265,0.6281,0.1251,0.2762,1.8182
14,0.123306,0.122715,0.000213,0.000446,0.7692,0.7094,0.6282,0.1250,0.2761,1.8030
15,0.126020,0.125402,0.000275,0.000469,0.7778,0.7009,0.6281,0.1250,0.2761,1.7879
16,0.114891,0.114275,0.000286,0.000399,0.7863,0.7778,0.6282,0.1250,0.2761,1.7727
17,0.107202,0.106613,0.000208,0.000371,0.7607,0.7521,0.6282,0.1250,0.2761,1.7576
18,0.112631,0.112031,0.000233,0.000373,0.7863,0.7863,0.6282,0.1250,0.2761,1.7424
19,0.101619,0.101016,0.000214,0.000340,0.7009,0.7692,0.6281,0.1250,0.2761,1.7273
20,0.102077,0.101453,0.000286,0.000375,0.7521,0.7350,0.6281,0.1250,0.2761,1.7121
21,0.101498,0.100903,0.000251,0.000308,0.7863,0.7692,0.6282,0.1250,0.2761,1.6970
22,0.098252,0.097669,0.000230,0.000290,0.7692,0.7949,0.6282,0.1250,0.2761,1.6818
23,0.100566,0.099988,0.000199,0.000252,0.5214,0.5726,0.6283,0.1250,0.2761,1.6667
24,0.095818,0.095236,0.000259,0.000281,0.7350,0.7350,0.6281,0.1250,0.2761,1.6515
25,0.093164,0.092546,0.000338,0.000322,0.6667,0.6752,0.6283,0.1250,0.2761,1.6364
26,0.092834,0.092245,0.000268,0.000231,0.8034,0.8034,0.6282,0.1250,0.2761,1.6212
27,0.095798,0.095196,0.000318,0.000218,0.7949,0.7692,0.6283,0.1250,0.2761,1.6061
28,0.092948,0.092385,0.000227,0.000207,0.7350,0.7094,0.6282,0.1250,0.2761,1.5909
29,0.090252,0.089608,0.000400,0.000303,0.7521,0.7778,0.6283,0.1250,0.2761,1.5758
30,0.086741,0.086138,0.000289,0.000271,0.7094,0.7778,0.6282,0.1250,0.2761,1.5606
