epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.403405,0.376808,0.007425,0.222348,0.6838,0.7288,0.6288,0.1882,0.2617,2.0000
2,0.182288,0.181197,0.000654,0.003238,0.5299,0.4831,0.6307,0.1876,0.2583,1.9848
3,0.187478,0.186754,0.000406,0.000707,0.7436,0.7627,0.6317,0.1875,0.2566,1.9697
4,0.170262,0.169559,0.000490,0.000193,0.7521,0.7373,0.6317,0.1875,0.2565,1.9545
5,0.182501,0.181826,0.000426,0.000307,0.7009,0.7542,0.6316,0.1875,0.2567,1.9394
6,0.181185,0.180496,0.000469,0.000388,0.6838,0.7203,0.6318,0.1875,0.2564,1.9242
7,0.132445,0.131819,0.000325,0.000318,0.7521,0.7797,0.6315,0.1875,0.2568,1.9091
8,0.129021,0.128361,0.000384,0.000394,0.8034,0.7373,0.6316,0.1875,0.2566,1.8939
9,0.130182,0.129536,0.000374,0.000385,0.7094,0.7458,0.6318,0.1875,0.2564,1.8788
10,0.124041,0.123510,0.000106,0.000193,0.7778,0.7712,0.6319,0.1875,0.2562,1.8636
11,0.115292,0.114698,0.000270,0.000257,0.4615,0.4831,0.6319,0.1875,0.2561,1.8485
12,0.120580,0.119947,0.000372,0.000347,0.7265,0.6610,0.6317,0.1875,0.2562,1.8333
13,0.114587,0.113934,0.000459,0.000335,0.7778,0.7627,0.6320,0.1875,0.2560,1.8182
14,0.125568,0.124886,0.000483,0.000322,0.7521,0.6695,0.6319,0.1875,0.2561,1.8030
15,0.114756,0.114113,0.000385,0.000510,0.7350,0.6356,0.6319,0.1875,0.2561,1.7879
16,0.109620,0.108976,0.000357,0.000376,0.7778,0.6780,0.6317,0.1875,0.2563,1.7727
17,0.100442,0.099803,0.000454,0.000335,0.7778,0.6864,0.6319,0.1875,0.2561,1.7576
18,0.108887,0.108213,0.000563,0.000353,0.7521,0.7712,0.6319,0.1875,0.2561,1.7424
19,0.099020,0.098347,0.000572,0.000294,0.7949,0.7542,0.6320,0.1875,0.2560,1.7273
20,0.098467,0.097809,0.000474,0.000252,0.8034,0.7966,0.6319,0.1875,0.2561,1.7121
21,0.098535,0.097805,0.000707,0.000279,0.8120,0.7542,0.6318,0.1875,0.2562,1.6970
22,0.094403,0.093708,0.000650,0.000348,0.7094,0.7458,0.6320,0.1875,0.2560,1.6818
23,0.099554,0.098855,0.000631,0.000222,0.7692,0.7542,0.6320,0.1875,0.2560,1.6667
24,0.092597,0.091907,0.000615,0.000318,0.8034,0.7203,0.6319,0.1875,0.2560,1.6515
25,0.098661,0.097896,0.000805,0.000402,0.7692,0.7797,0.6318,0.1875,0.2562,1.6364
26,0.103024,0.102217,0.000910,0.000336,0.7350,0.7203,0.6319,0.1875,0.2561,1.6212
27,0.095548,0.094642,0.001126,0.000374,0.6838,0.6271,0.6319,0.1875,0.2560,1.6061
28,0.090882,0.090126,0.000773,0.000201,0.7949,0.7458,0.6319,0.1875,0.2560,1.5909
29,0.094170,0.093304,0.001097,0.000273,0.5983,0.5424,0.6319,0.1875,0.2560,1.5758
30,0.098426,0.097460,0.001374,0.000405,0.7179,0.7542,0.6319,0.1875,0.2560,1.5606
31,0.092392,0.091476,0.001236,0.000262,0.7778,0.7627,0.6319,0.1875,0.2560,1.5455
32,0.090145,0.089260,0.001142,0.000227,0.7607,0.7458,0.6318,0.1875,0.2561,1.5303
33,0.087563,0.086563,0.001486,0.000446,0.8205,0.7203,0.6319,0.1875,0.2560,1.5152
34,0.087517,0.086442,0.001624,0.000359,0.7521,0.7458,0.6318,0.1875,0.2560,1.5000
35,0.084685,0.083732,0.001360,0.000290,0.7179,0.7203,0.6319,0.1875,0.2560,1.4848
36,0.084263,0.083273,0.001441,0.000203,0.7692,0.7203,0.6319,0.1875,0.2560,1.4697
37,0.085024,0.083894,0.001799,0.000297,0.7094,0.6441,0.6318,0.1875,0.2560,1.4545
38,0.081745,0.080507,0.002041,0.000428,0.7179,0.7288,0.6318,0.1875,0.2560,1.4394
39,0.087823,0.086656,0.001912,0.000352,0.8034,0.7712,0.6318,0.1875,0.2560,1.4242
40,0.084604,0.083421,0.002012,0.000197,0.7179,0.7373,0.6319,0.1875,0.2560,1.4091
41,0.081312,0.080092,0.002161,0.000238,0.7607,0.7288,0.6318,0.1875,0.2560,1.3939
42,0.082987,0.081739,0.002107,0.000226,0.7692,0.7797,0.6319,0.1875,0.2560,1.3788
43,0.077948,0.076818,0.001824,0.000264,0.7265,0.7203,0.6319,0.1875,0.2560,1.3636
44,0.084705,0.083437,0.002160,0.000363,0.7863,0.7966,0.6319,0.1875,0.2560,1.3485
