epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.490086,0.481358,0.014002,0.6068,0.5470,0.5627,0.4219,2.0000
2,0.183187,0.180615,0.002225,0.7350,0.6667,0.5751,0.3955,1.9848
3,0.158018,0.155936,0.001659,0.4786,0.5214,0.5807,0.3867,1.9697
4,0.211198,0.209012,0.002072,0.6496,0.6154,0.5808,0.3865,1.9545
5,0.143619,0.141680,0.001444,0.5812,0.5470,0.5809,0.3863,1.9394
6,0.176704,0.174701,0.001660,0.7692,0.6838,0.5810,0.3863,1.9242
7,0.144409,0.142366,0.001810,0.7521,0.7094,0.5811,0.3862,1.9091
8,0.134234,0.132249,0.001625,0.4188,0.4188,0.5812,0.3860,1.8939
9,0.135191,0.133310,0.001307,0.7778,0.7179,0.5813,0.3858,1.8788
10,0.143519,0.141514,0.001720,0.7521,0.6752,0.5812,0.3858,1.8636
11,0.112735,0.110880,0.001288,0.7009,0.6667,0.5811,0.3858,1.8485
12,0.117566,0.115613,0.001546,0.7436,0.7094,0.5813,0.3858,1.8333
13,0.123288,0.121199,0.002099,0.7863,0.7436,0.5813,0.3858,1.8182
14,0.109522,0.107547,0.001878,0.7778,0.7009,0.5813,0.3858,1.8030
15,0.108665,0.106525,0.002272,0.7607,0.7265,0.5815,0.3857,1.7879
16,0.109098,0.107116,0.001813,0.7863,0.7350,0.5813,0.3857,1.7727
17,0.113312,0.111517,0.001082,0.7863,0.7265,0.5815,0.3857,1.7576
18,0.108051,0.106034,0.001949,0.7863,0.7436,0.5815,0.3857,1.7424
19,0.099623,0.097497,0.002354,0.7778,0.7521,0.5815,0.3856,1.7273
20,0.096963,0.094663,0.002831,0.7265,0.7009,0.5815,0.3856,1.7121
21,0.098438,0.096191,0.002608,0.7179,0.6667,0.5812,0.3857,1.6970
22,0.094855,0.092371,0.003258,0.7607,0.7350,0.5815,0.3857,1.6818
23,0.095502,0.093173,0.002938,0.7778,0.7265,0.5814,0.3857,1.6667
