epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.644602,0.614040,0.010965,0.245858,0.6068,0.6356,0.6234,0.1919,0.7623,2.0000
2,0.226447,0.224429,0.000673,0.011859,0.5897,0.6356,0.6287,0.1885,0.7593,1.9848
3,0.149464,0.148361,0.000517,0.004073,0.6581,0.6525,0.6319,0.1877,0.7575,1.9697
4,0.146696,0.145882,0.000414,0.001677,0.7094,0.7034,0.6320,0.1876,0.7575,1.9545
5,0.138468,0.137686,0.000404,0.001344,0.4872,0.4831,0.6328,0.1876,0.7572,1.9394
6,0.146469,0.145715,0.000436,0.001065,0.7265,0.7712,0.6326,0.1876,0.7573,1.9242
7,0.137583,0.136919,0.000330,0.000732,0.6496,0.6610,0.6330,0.1875,0.7572,1.9091
8,0.137333,0.136774,0.000085,0.000444,0.7778,0.7881,0.6330,0.1875,0.7572,1.8939
9,0.127206,0.126589,0.000221,0.000539,0.7521,0.7627,0.6330,0.1875,0.7572,1.8788
10,0.119462,0.118837,0.000277,0.000518,0.6068,0.6356,0.6332,0.1875,0.7572,1.8636
11,0.119454,0.118815,0.000328,0.000439,0.7265,0.7373,0.6330,0.1875,0.7572,1.8485
12,0.134132,0.133507,0.000318,0.000359,0.7094,0.7712,0.6330,0.1875,0.7572,1.8333
13,0.110684,0.110074,0.000281,0.000373,0.7265,0.7203,0.6331,0.1875,0.7572,1.8182
14,0.107701,0.107089,0.000311,0.000377,0.7436,0.7203,0.6330,0.1875,0.7572,1.8030
15,0.109346,0.108707,0.000367,0.000361,0.7521,0.7966,0.6331,0.1875,0.7572,1.7879
16,0.101569,0.100928,0.000414,0.000268,0.7350,0.7458,0.6332,0.1875,0.7571,1.7727
17,0.105929,0.105260,0.000481,0.000265,0.6923,0.7034,0.6332,0.1875,0.7571,1.7576
18,0.106671,0.106062,0.000376,0.000115,0.7778,0.7712,0.6332,0.1875,0.7571,1.7424
19,0.097936,0.097303,0.000436,0.000084,0.6496,0.6102,0.6332,0.1875,0.7571,1.7273
20,0.101698,0.101053,0.000414,0.000120,0.7607,0.8305,0.6332,0.1875,0.7571,1.7121
21,0.096410,0.095796,0.000373,0.000138,0.7778,0.7542,0.6332,0.1875,0.7571,1.6970
22,0.098350,0.097701,0.000454,0.000175,0.7436,0.7627,0.6332,0.1875,0.7571,1.6818
23,0.098850,0.098209,0.000453,0.000148,0.7949,0.8220,0.6332,0.1875,0.7571,1.6667
24,0.099366,0.098703,0.000480,0.000157,0.8034,0.7881,0.6331,0.1875,0.7572,1.6515
25,0.096055,0.095351,0.000616,0.000154,0.7778,0.7966,0.6331,0.1875,0.7571,1.6364
26,0.095346,0.094651,0.000646,0.000149,0.6410,0.6780,0.6332,0.1875,0.7571,1.6212
27,0.093891,0.093227,0.000540,0.000172,0.7863,0.7712,0.6332,0.1875,0.7571,1.6061
28,0.093761,0.093123,0.000449,0.000159,0.7692,0.7797,0.6331,0.1875,0.7571,1.5909
29,0.095042,0.094427,0.000387,0.000139,0.7863,0.7797,0.6331,0.1875,0.7572,1.5758
