epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,0.550047,0.541848,0.042846,0.6921,0.6010,0.5594,2.0000
2,0.186381,0.185511,0.005069,0.7023,0.5948,0.5695,1.9211
3,0.201642,0.200816,0.004941,0.7252,0.6419,0.5137,1.8421
4,0.152779,0.152005,0.004754,0.7379,0.5658,0.6072,1.7632
5,0.148813,0.148305,0.003276,0.7252,0.5870,0.5870,1.6842
6,0.167824,0.167321,0.003245,0.7506,0.6032,0.5718,1.6053
7,0.161775,0.161200,0.003643,0.6361,0.5435,0.6327,1.5263
8,0.160854,0.160376,0.003062,0.4300,0.5439,0.6405,1.4474
9,0.151202,0.150781,0.002901,0.7481,0.5546,0.6314,1.3684
10,0.191147,0.190613,0.003619,0.6768,0.5525,0.6324,1.2895
11,0.126437,0.126005,0.002878,0.5598,0.5317,0.6555,1.2105
12,0.112780,0.112448,0.002289,0.7608,0.5129,0.6728,1.1316
13,0.110346,0.110014,0.002265,0.6565,0.5043,0.6786,1.0526
14,0.126864,0.126478,0.002585,0.7684,0.5058,0.6779,0.9737
15,0.111583,0.111203,0.002618,0.7150,0.5023,0.6799,0.8947
16,0.098734,0.098349,0.002637,0.7710,0.5047,0.6786,0.8158
17,0.114535,0.114081,0.003032,0.7532,0.5033,0.6795,0.7368
18,0.110496,0.110063,0.002923,0.7532,0.5014,0.6804,0.6579
19,0.091686,0.091236,0.003102,0.7354,0.5029,0.6801,0.5789
20,0.092589,0.092166,0.002871,0.7354,0.5014,0.6804,0.5000
