epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.563657,0.564443,0.014485,0.001924,-0.008858,0.7607,0.6581,0.6137,0.5928,0.3153,2.0000
2,0.208020,0.209933,0.001682,0.000331,-0.008783,0.6496,0.5983,0.6262,0.5840,0.2905,1.9848
3,0.195696,0.197897,0.001211,0.000250,-0.009321,0.4188,0.3932,0.6305,0.5739,0.2829,1.9697
4,0.197438,0.200002,0.001496,0.000450,-0.010442,0.7607,0.6410,0.6316,0.5788,0.2816,1.9545
5,0.166393,0.168830,0.001492,0.001286,-0.010598,0.7094,0.6838,0.6316,0.5917,0.2815,1.9394
6,0.168309,0.171082,0.001156,0.000640,-0.011308,0.7521,0.6667,0.6315,0.5821,0.2816,1.9242
7,0.118568,0.121612,0.001050,0.001254,-0.012621,0.6410,0.7009,0.6315,0.5939,0.2814,1.9091
8,0.147614,0.150848,0.001075,0.001566,-0.013461,0.7521,0.6923,0.6314,0.5979,0.2816,1.8939
9,0.128234,0.132152,0.001110,0.003454,-0.016987,0.7692,0.6923,0.6314,0.5212,0.2816,1.8788
10,0.117018,0.122496,0.000942,0.003973,-0.022573,0.6838,0.6410,0.6315,0.5345,0.2816,1.8636
11,0.110652,0.117872,0.000862,0.006457,-0.029990,0.7778,0.7265,0.6315,0.6844,0.2814,1.8485
12,0.117209,0.123896,0.000806,0.009111,-0.030021,0.7436,0.7265,0.6315,0.6602,0.2816,1.8333
13,0.108237,0.116605,0.001021,0.009475,-0.035820,0.7094,0.6496,0.6315,0.6616,0.2815,1.8182
14,0.098178,0.108722,0.001088,0.008631,-0.042538,0.7863,0.7350,0.6315,0.5980,0.2816,1.8030
15,0.119426,0.131401,0.001361,0.011692,-0.049348,0.7350,0.6752,0.6314,0.5550,0.2816,1.7879
16,0.105735,0.119722,0.001179,0.016715,-0.059405,0.5385,0.6325,0.6315,0.5349,0.2816,1.7727
17,0.084564,0.107351,0.001154,0.028481,-0.096577,0.7521,0.7521,0.6315,0.5901,0.2814,1.7576
18,0.076932,0.100328,0.000942,0.033480,-0.101906,0.7863,0.7350,0.6315,0.3553,0.2816,1.7424
19,0.076131,0.104055,0.001361,0.027960,-0.113398,0.7607,0.7521,0.6315,0.6817,0.2816,1.7273
20,0.074936,0.102112,0.001289,0.031952,-0.113510,0.7607,0.7436,0.6315,0.4391,0.2816,1.7121
21,0.070869,0.095584,0.001308,0.032595,-0.105738,0.7949,0.7350,0.6315,0.6753,0.2816,1.6970
22,0.074574,0.100996,0.001729,0.037252,-0.114553,0.7350,0.7607,0.6314,0.4841,0.2816,1.6818
23,0.072345,0.098943,0.001424,0.029260,-0.109834,0.7009,0.7350,0.6315,0.3840,0.2816,1.6667
24,0.068174,0.094965,0.002062,0.032669,-0.112722,0.7949,0.7436,0.6314,0.6161,0.2816,1.6515
25,0.070093,0.096149,0.001610,0.033940,-0.111088,0.7436,0.7436,0.6315,0.5701,0.2816,1.6364
26,0.065283,0.093363,0.002039,0.030753,-0.115759,0.7607,0.7436,0.6315,0.7443,0.2816,1.6212
27,0.078820,0.096223,0.001730,0.055508,-0.096619,0.7778,0.7521,0.6315,0.6594,0.2816,1.6061
28,0.065266,0.094196,0.001825,0.030060,-0.118084,0.7692,0.7607,0.6315,0.6019,0.2816,1.5909
29,0.068104,0.094612,0.002915,0.033587,-0.112443,0.7094,0.7436,0.6315,0.6102,0.2816,1.5758
30,0.063184,0.090679,0.002575,0.031022,-0.114011,0.7692,0.7607,0.6316,0.7202,0.2814,1.5606
31,0.067469,0.095274,0.002342,0.032992,-0.116331,0.7436,0.7265,0.6315,0.6223,0.2816,1.5455
32,0.063323,0.090330,0.003692,0.033606,-0.114100,0.7607,0.7350,0.6315,0.4630,0.2816,1.5303
33,0.068741,0.091822,0.003533,0.043488,-0.107615,0.7863,0.7436,0.6315,0.6252,0.2816,1.5152
34,0.064610,0.091230,0.003411,0.035772,-0.114244,0.7607,0.7607,0.6314,0.5394,0.2816,1.5000
35,0.064701,0.091535,0.003518,0.032424,-0.112708,0.7863,0.7607,0.6315,0.6642,0.2816,1.4848
36,0.065075,0.093848,0.003105,0.033336,-0.119824,0.7521,0.7607,0.6314,0.5719,0.2816,1.4697
37,0.061179,0.088068,0.004393,0.036269,-0.115480,0.7692,0.7350,0.6314,0.5636,0.2816,1.4545
38,0.063745,0.089506,0.005120,0.035402,-0.111184,0.7521,0.7094,0.6315,0.4726,0.2815,1.4394
39,0.061643,0.088397,0.005417,0.036614,-0.115313,0.7692,0.7778,0.6315,0.6290,0.2813,1.4242
40,0.061190,0.087508,0.004407,0.034089,-0.112133,0.7863,0.7436,0.6313,0.5702,0.2816,1.4091
41,0.053283,0.085461,0.006973,0.027002,-0.126981,0.7863,0.7179,0.6314,0.6141,0.2816,1.3939
42,0.060083,0.086721,0.007913,0.034762,-0.113675,0.7521,0.7778,0.6315,0.4963,0.2814,1.3788
43,0.057030,0.087127,0.007713,0.028341,-0.120999,0.7778,0.7778,0.6314,0.4738,0.2816,1.3636
44,0.057284,0.084954,0.007211,0.033520,-0.116312,0.7094,0.6923,0.6314,0.6086,0.2816,1.3485
45,0.055544,0.085101,0.008516,0.030925,-0.120923,0.8034,0.7094,0.6315,0.5808,0.2816,1.3333
46,0.054290,0.082206,0.008786,0.031718,-0.115966,0.7949,0.7009,0.6314,0.5837,0.2816,1.3182
47,0.055038,0.082385,0.008082,0.039982,-0.119578,0.6923,0.7179,0.6314,0.4684,0.2815,1.3030
48,0.053716,0.082247,0.008304,0.032192,-0.118327,0.7778,0.7350,0.6314,0.6290,0.2816,1.2879
49,0.052331,0.080038,0.009319,0.042167,-0.122291,0.7692,0.7692,0.6314,0.5235,0.2814,1.2727
50,0.056351,0.083526,0.010317,0.035614,-0.116107,0.7949,0.7778,0.6313,0.5736,0.2816,1.2576
51,0.050083,0.080502,0.009819,0.030616,-0.123591,0.7778,0.7350,0.6314,0.6553,0.2816,1.2424
52,0.050403,0.077355,0.011987,0.033140,-0.113732,0.7692,0.7778,0.6314,0.5530,0.2816,1.2273
53,0.055282,0.080849,0.011385,0.039237,-0.113241,0.7607,0.7692,0.6314,0.4443,0.2816,1.2121
54,0.049179,0.078542,0.010721,0.033710,-0.122163,0.8034,0.7778,0.6314,0.5615,0.2816,1.1970
55,0.048701,0.077169,0.013162,0.032120,-0.118187,0.7949,0.7094,0.6313,0.5139,0.2816,1.1818
56,0.049984,0.076922,0.013197,0.031642,-0.112766,0.7863,0.7607,0.6314,0.5250,0.2816,1.1667
57,0.050148,0.073966,0.013619,0.031975,-0.102570,0.7863,0.7350,0.6314,0.4502,0.2814,1.1515
58,0.046285,0.074938,0.013396,0.035548,-0.121055,0.7949,0.7521,0.6313,0.6000,0.2816,1.1364
59,0.057240,0.086247,0.013735,0.031120,-0.119343,0.7521,0.7265,0.6315,0.5549,0.2813,1.1212
60,0.056738,0.081299,0.009288,0.039568,-0.110042,0.7778,0.7436,0.6314,0.5383,0.2815,1.1061
61,0.045237,0.072760,0.013269,0.038132,-0.119022,0.7265,0.7265,0.6313,0.6290,0.2816,1.0909
62,0.046946,0.075601,0.014831,0.034638,-0.120494,0.7692,0.7521,0.6314,0.5930,0.2814,1.0758
63,0.039648,0.069438,0.016338,0.028193,-0.120008,0.7863,0.7350,0.6314,0.6256,0.2815,1.0606
