epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.491256,0.488547,0.030780,0.7179,0.5932,0.5102,0.5608,2.0000
2,0.201238,0.201028,0.002696,0.6923,0.6356,0.5188,0.5416,1.9848
3,0.164175,0.164023,0.002017,0.7607,0.6186,0.5028,0.5758,1.9697
4,0.174341,0.174220,0.001648,0.7778,0.6356,0.4993,0.5840,1.9545
5,0.231102,0.230973,0.001703,0.7692,0.6525,0.4852,0.6100,1.9394
6,0.130561,0.130528,0.000456,0.7692,0.6949,0.4841,0.6128,1.9242
7,0.143013,0.142908,0.001446,0.7692,0.6780,0.4800,0.6208,1.9091
8,0.139004,0.138918,0.001208,0.5470,0.5085,0.4824,0.6177,1.8939
9,0.133715,0.133604,0.001586,0.7350,0.6780,0.4850,0.6141,1.8788
10,0.115311,0.115206,0.001569,0.7778,0.6695,0.4755,0.6285,1.8636
11,0.118472,0.118386,0.001286,0.7607,0.6949,0.4755,0.6287,1.8485
12,0.113995,0.113891,0.001651,0.6496,0.6017,0.4835,0.6179,1.8333
13,0.125786,0.125680,0.001622,0.7692,0.6949,0.4852,0.6163,1.8182
14,0.112237,0.112121,0.001781,0.7350,0.7119,0.4855,0.6160,1.8030
15,0.107030,0.106926,0.001665,0.7607,0.6949,0.4784,0.6263,1.7879
16,0.096320,0.096229,0.001474,0.7607,0.6864,0.4807,0.6245,1.7727
17,0.106019,0.105902,0.001887,0.7863,0.7034,0.4723,0.6343,1.7576
18,0.106717,0.106614,0.001709,0.7692,0.6864,0.4785,0.6280,1.7424
19,0.102436,0.102324,0.001804,0.7607,0.6949,0.4733,0.6335,1.7273
20,0.102343,0.102239,0.001710,0.7436,0.7119,0.4733,0.6337,1.7121
21,0.096116,0.095993,0.002021,0.7350,0.6949,0.4733,0.6337,1.6970
22,0.100793,0.100687,0.001779,0.6325,0.6186,0.4741,0.6331,1.6818
23,0.094203,0.094098,0.001802,0.7350,0.7034,0.4706,0.6367,1.6667
24,0.098053,0.097914,0.002303,0.7607,0.7119,0.4691,0.6379,1.6515
25,0.094783,0.094656,0.002154,0.7179,0.6610,0.4695,0.6376,1.6364
26,0.095768,0.095631,0.002399,0.4530,0.5508,0.4689,0.6381,1.6212
27,0.096528,0.096334,0.003074,0.6410,0.6864,0.4710,0.6363,1.6061
28,0.096138,0.095960,0.002835,0.7265,0.7203,0.4705,0.6367,1.5909
