epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.570148,0.571492,0.009180,0.001648,-0.008753,0.7778,0.6271,0.6281,0.5913,0.2629,2.0000
2,0.195801,0.197806,0.001384,0.000262,-0.008566,0.7009,0.7119,0.6312,0.5881,0.2575,1.9848
3,0.202961,0.205114,0.000944,0.000264,-0.009019,0.6752,0.6695,0.6315,0.6111,0.2567,1.9697
4,0.215918,0.218235,0.000993,0.000236,-0.009548,0.7436,0.7119,0.6315,0.5894,0.2566,1.9545
5,0.159150,0.161581,0.000688,0.000464,-0.010057,0.6752,0.6864,0.6317,0.5952,0.2565,1.9394
6,0.140448,0.143074,0.000741,0.000267,-0.010581,0.6838,0.6780,0.6316,0.6002,0.2565,1.9242
7,0.155644,0.158472,0.000684,0.000673,-0.011531,0.7265,0.6271,0.6317,0.6085,0.2563,1.9091
8,0.148814,0.152209,0.000804,0.001704,-0.014117,0.7350,0.7627,0.6318,0.5775,0.2562,1.8939
9,0.149661,0.155302,0.000627,0.005381,-0.024011,0.7692,0.6780,0.6318,0.6182,0.2562,1.8788
10,0.127243,0.135625,0.000751,0.008178,-0.035042,0.7778,0.7712,0.6318,0.5538,0.2563,1.8636
11,0.138923,0.147808,0.000761,0.013558,-0.040264,0.7009,0.7034,0.6319,0.4871,0.2562,1.8485
12,0.122974,0.132750,0.000716,0.012163,-0.042301,0.4530,0.4661,0.6317,0.6411,0.2563,1.8333
13,0.114485,0.125051,0.000710,0.015363,-0.047070,0.7179,0.7797,0.6319,0.6668,0.2562,1.8182
14,0.116561,0.130074,0.000698,0.020672,-0.060493,0.7692,0.7627,0.6318,0.4343,0.2562,1.8030
15,0.103239,0.122788,0.000826,0.022729,-0.081945,0.7436,0.7881,0.6319,0.5472,0.2562,1.7879
16,0.088868,0.110303,0.000935,0.036197,-0.097193,0.7778,0.7034,0.6319,0.5113,0.2562,1.7727
17,0.080666,0.105524,0.001104,0.037115,-0.109218,0.7863,0.7797,0.6319,0.5586,0.2562,1.7576
18,0.089021,0.114174,0.001133,0.033037,-0.107547,0.7521,0.7881,0.6319,0.6930,0.2562,1.7424
19,0.087115,0.111248,0.001356,0.034199,-0.104911,0.5726,0.5593,0.6319,0.5697,0.2562,1.7273
20,0.078068,0.104003,0.001192,0.029728,-0.107937,0.7607,0.7797,0.6318,0.5288,0.2562,1.7121
21,0.093558,0.116386,0.001321,0.035697,-0.101526,0.7949,0.7542,0.6319,0.6295,0.2562,1.6970
22,0.071146,0.099237,0.001417,0.027478,-0.113567,0.7949,0.7712,0.6319,0.5388,0.2562,1.6818
23,0.071525,0.100401,0.001477,0.027465,-0.116168,0.6923,0.7458,0.6319,0.5036,0.2562,1.6667
24,0.078479,0.103741,0.002050,0.032034,-0.107207,0.7778,0.7627,0.6319,0.5373,0.2562,1.6515
25,0.071298,0.094484,0.001682,0.039356,-0.105189,0.7863,0.7542,0.6319,0.5092,0.2562,1.6364
26,0.069071,0.098072,0.001792,0.030906,-0.118943,0.8034,0.7712,0.6319,0.4624,0.2562,1.6212
27,0.069210,0.096591,0.002070,0.032091,-0.114304,0.7778,0.7966,0.6319,0.5272,0.2562,1.6061
28,0.071651,0.098635,0.002193,0.034131,-0.114389,0.7265,0.7627,0.6319,0.5505,0.2562,1.5909
29,0.073564,0.094595,0.001907,0.037010,-0.096426,0.7778,0.7966,0.6319,0.5719,0.2562,1.5758
30,0.064522,0.093087,0.002424,0.030287,-0.117081,0.7350,0.7542,0.6319,0.4354,0.2562,1.5606
31,0.071337,0.096267,0.001805,0.040131,-0.111470,0.7949,0.7712,0.6319,0.5163,0.2562,1.5455
32,0.068443,0.095719,0.003009,0.030506,-0.112904,0.7778,0.6780,0.6320,0.5022,0.2562,1.5303
33,0.072677,0.098931,0.002720,0.034117,-0.111939,0.7863,0.7797,0.6319,0.5299,0.2562,1.5152
