epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,0.575370,0.573670,0.019430,0.6695,0.5782,0.4203,2.0000
2,0.196427,0.196267,0.002127,0.7712,0.5722,0.4331,1.9848
3,0.169451,0.169346,0.001471,0.4322,0.5590,0.4600,1.9697
4,0.154293,0.154204,0.001271,0.7881,0.5515,0.4743,1.9545
5,0.174749,0.174631,0.001700,0.4237,0.5560,0.4676,1.9394
6,0.142609,0.142488,0.001724,0.7542,0.5519,0.4736,1.9242
7,0.141696,0.141621,0.001123,0.4661,0.5539,0.4715,1.9091
8,0.124309,0.124212,0.001502,0.7797,0.5574,0.4672,1.8939
9,0.119835,0.119718,0.001837,0.6695,0.5513,0.4741,1.8788
10,0.113551,0.113509,0.000665,0.7542,0.5562,0.4696,1.8636
11,0.108262,0.108095,0.002555,0.8051,0.5551,0.4709,1.8485
12,0.101565,0.101474,0.001437,0.7203,0.5533,0.4755,1.8333
13,0.099963,0.099846,0.001869,0.5000,0.5497,0.4820,1.8182
14,0.098728,0.098556,0.002634,0.8305,0.5461,0.4876,1.8030
15,0.098921,0.098785,0.002242,0.7288,0.5320,0.5095,1.7879
16,0.095272,0.095146,0.002001,0.8051,0.5299,0.5174,1.7727
17,0.093213,0.093064,0.002407,0.8390,0.5230,0.5294,1.7576
18,0.094874,0.094745,0.002144,0.8475,0.5181,0.5340,1.7424
19,0.097712,0.097600,0.001742,0.8475,0.5222,0.5280,1.7273
20,0.093146,0.093010,0.002160,0.8220,0.5190,0.5337,1.7121
21,0.091694,0.091530,0.002568,0.8475,0.5177,0.5330,1.6970
22,0.092616,0.092478,0.002275,0.8136,0.5029,0.5659,1.6818
23,0.092344,0.092203,0.002262,0.8136,0.5143,0.5394,1.6667
24,0.098703,0.098523,0.002798,0.8220,0.5119,0.5426,1.6515
25,0.094666,0.094520,0.002413,0.8644,0.5247,0.5135,1.6364
26,0.091566,0.091359,0.003159,0.8475,0.5229,0.5173,1.6212
27,0.092926,0.092736,0.003023,0.7458,0.5335,0.4952,1.6061
28,0.093318,0.093092,0.003506,0.7373,0.5291,0.5032,1.5909
29,0.091233,0.090970,0.003990,0.8051,0.5150,0.5320,1.5758
30,0.088683,0.088439,0.003854,0.8475,0.5246,0.5117,1.5606
31,0.093551,0.093314,0.003668,0.8390,0.5292,0.5013,1.5455
32,0.091078,0.090815,0.003995,0.8644,0.5101,0.5399,1.5303
33,0.089436,0.089143,0.004650,0.7627,0.5080,0.5498,1.5152
34,0.093384,0.093064,0.004839,0.8475,0.5004,0.5630,1.5000
35,0.089319,0.088992,0.004849,0.8220,0.4920,0.5812,1.4848
36,0.084829,0.084506,0.004968,0.8475,0.4864,0.5943,1.4697
37,0.088005,0.087648,0.005559,0.8136,0.4855,0.5963,1.4545
38,0.083641,0.083183,0.006918,0.7712,0.4864,0.5930,1.4394
39,0.089263,0.088853,0.006012,0.7797,0.5002,0.5621,1.4242
40,0.086808,0.086358,0.006561,0.7797,0.4950,0.5713,1.4091
41,0.087338,0.086853,0.007036,0.8305,0.4806,0.6035,1.3939
42,0.084009,0.083538,0.006841,0.8390,0.4820,0.6007,1.3788
43,0.082103,0.081578,0.007667,0.8390,0.4780,0.6097,1.3636
44,0.086076,0.085583,0.007203,0.8559,0.4790,0.6050,1.3485
45,0.083214,0.082648,0.008011,0.8644,0.4735,0.6219,1.3333
46,0.081920,0.081349,0.008268,0.8475,0.4716,0.6277,1.3182
47,0.080157,0.079673,0.007111,0.7797,0.4729,0.6257,1.3030
48,0.082649,0.082054,0.008587,0.8559,0.4704,0.6290,1.2879
49,0.076381,0.075751,0.008923,0.7881,0.4719,0.6260,1.2727
50,0.080161,0.079542,0.008817,0.8475,0.4707,0.6288,1.2576
51,0.079965,0.079235,0.010675,0.8051,0.4708,0.6277,1.2424
52,0.085473,0.084680,0.011398,0.8390,0.4696,0.6306,1.2273
53,0.077852,0.077097,0.010595,0.8220,0.4700,0.6300,1.2121
54,0.075384,0.074585,0.011390,0.7881,0.4701,0.6299,1.1970
