epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.456066,0.370156,0.007274,0.271291,0.4828,0.4566,0.6051,0.5252,0.3443,2.0000
2,0.292897,0.261077,0.001337,0.101941,0.6207,0.6224,0.6270,0.5250,0.3043,1.9211
3,0.225300,0.194733,0.000495,0.099523,0.4713,0.4439,0.6322,0.5250,0.2963,1.8421
4,0.213593,0.183055,0.000675,0.099299,0.6207,0.6480,0.6326,0.5250,0.2958,1.7632
5,0.203752,0.173078,0.001076,0.099295,0.7356,0.6480,0.6326,0.5250,0.2958,1.6842
6,0.175244,0.144732,0.000593,0.099293,0.5172,0.5434,0.6325,0.5250,0.2959,1.6053
7,0.183240,0.152943,0.000035,0.099297,0.6897,0.6786,0.6325,0.5250,0.2959,1.5263
8,0.178457,0.148012,0.000475,0.099317,0.4483,0.4209,0.6325,0.5250,0.2959,1.4474
9,0.163493,0.133017,0.000529,0.099316,0.6322,0.6684,0.6325,0.5250,0.2959,1.3684
10,0.148584,0.118191,0.000297,0.099317,0.6322,0.6352,0.6325,0.5250,0.2959,1.2895
11,0.171517,0.141171,0.000218,0.099324,0.6667,0.6990,0.6324,0.5250,0.2961,1.2105
12,0.177494,0.147116,0.000281,0.099342,0.5287,0.5842,0.6324,0.5250,0.2959,1.1316
13,0.144140,0.113761,0.000302,0.099353,0.4828,0.4898,0.6324,0.5250,0.2959,1.0526
14,0.147635,0.117218,0.000365,0.099346,0.6667,0.6633,0.6325,0.5250,0.2959,0.9737
15,0.165688,0.135144,0.000658,0.099368,0.7586,0.7092,0.6325,0.5250,0.2959,0.8947
16,0.138791,0.108257,0.000748,0.099342,0.6667,0.6913,0.6326,0.5250,0.2959,0.8158
17,0.152500,0.122059,0.000450,0.099336,0.7126,0.7347,0.6325,0.5250,0.2959,0.7368
18,0.144313,0.113681,0.000957,0.099352,0.7126,0.7474,0.6325,0.5250,0.2959,0.6579
19,0.144938,0.114411,0.000700,0.099339,0.7701,0.7347,0.6326,0.5250,0.2958,0.5789
20,0.134004,0.103423,0.000829,0.099346,0.7701,0.7449,0.6326,0.5250,0.2958,0.5000
