python main.py --dataset DD --epochs 100 --batch_size 4 
--eval_batch_size 4 --lambda_compute 0.01 --max_k 512

C:\project\Anaconda1\envs\gtsp_env\lib\site-packages\torch_geometric\data\in_memory_dataset.py:300: UserWarning: It is not recommended to directly access the internal storage format `data` of an 'InMemoryDataset'. If you are absolutely certain what you are doing, access the internal storage via `InMemoryDataset._data` instead to suppress this warning. Alternatively, you can access stacked individual attributes of every graph via `dataset.{attr_name}`.
  warnings.warn(msg)
Model parameters: 200,974
Trainable parameters: 200,974
Epoch 041 | Loss 0.4948 (task 0.4947, comp 0.0082) | Val 0.6325 | Test 0.6639 | tau 1.39 | avg_token_ratio 0.627
Epoch 042 | Loss 0.4741 (task 0.4740, comp 0.0096) | Val 0.6838 | Test 0.6723 | tau 1.38 | avg_token_ratio 0.624
Epoch 043 | Loss 0.4783 (task 0.4782, comp 0.0091) | Val 0.7009 | Test 0.6555 | tau 1.36 | avg_token_ratio 0.623
Epoch 044 | Loss 0.4740 (task 0.4739, comp 0.0095) | Val 0.6923 | Test 0.7311 | tau 1.35 | avg_token_ratio 0.624
Epoch 045 | Loss 0.4706 (task 0.4705, comp 0.0102) | Val 0.6923 | Test 0.7311 | tau 1.33 | avg_token_ratio 0.623
Epoch 046 | Loss 0.4375 (task 0.4374, comp 0.0105) | Val 0.6752 | Test 0.6891 | tau 1.32 | avg_token_ratio 0.623
Epoch 047 | Loss 0.4452 (task 0.4451, comp 0.0107) | Val 0.7350 | Test 0.7143 | tau 1.30 | avg_token_ratio 0.621
Epoch 048 | Loss 0.4662 (task 0.4661, comp 0.0113) | Val 0.7949 | Test 0.6891 | tau 1.29 | avg_token_ratio 0.619
Epoch 049 | Loss 0.4372 (task 0.4371, comp 0.0113) | Val 0.7607 | Test 0.7311 | tau 1.27 | avg_token_ratio 0.621
Epoch 050 | Loss 0.4759 (task 0.4758, comp 0.0108) | Val 0.6581 | Test 0.7395 | tau 1.26 | avg_token_ratio 0.619
Epoch 051 | Loss 0.4415 (task 0.4414, comp 0.0123) | Val 0.7009 | Test 0.6639 | tau 1.24 | avg_token_ratio 0.617
Epoch 052 | Loss 0.3999 (task 0.3998, comp 0.0123) | Val 0.6154 | Test 0.6723 | tau 1.23 | avg_token_ratio 0.618
Epoch 053 | Loss 0.4345 (task 0.4344, comp 0.0118) | Val 0.7179 | Test 0.6807 | tau 1.21 | avg_token_ratio 0.614
Epoch 054 | Loss 0.4292 (task 0.4291, comp 0.0121) | Val 0.7094 | Test 0.7479 | tau 1.20 | avg_token_ratio 0.616
Epoch 055 | Loss 0.3987 (task 0.3986, comp 0.0123) | Val 0.7179 | Test 0.6723 | tau 1.18 | avg_token_ratio 0.617
Epoch 056 | Loss 0.3312 (task 0.3310, comp 0.0133) | Val 0.6239 | Test 0.6891 | tau 1.17 | avg_token_ratio 0.615
Epoch 057 | Loss 0.4405 (task 0.4403, comp 0.0129) | Val 0.6154 | Test 0.6555 | tau 1.15 | avg_token_ratio 0.619
Epoch 058 | Loss 0.3732 (task 0.3731, comp 0.0131) | Val 0.7350 | Test 0.7227 | tau 1.14 | avg_token_ratio 0.618
Epoch 059 | Loss 0.3971 (task 0.3969, comp 0.0138) | Val 0.6923 | Test 0.6807 | tau 1.12 | avg_token_ratio 0.616
