epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.554976,0.552945,0.022920,0.6752,0.5085,0.5781,0.4208,2.0000
2,0.226969,0.226745,0.002912,0.7179,0.5678,0.5594,0.4604,1.9848
3,0.307240,0.306892,0.004511,0.6496,0.6525,0.5581,0.4613,1.9697
4,0.157848,0.157675,0.002318,0.8120,0.6695,0.5542,0.4687,1.9545
5,0.144413,0.144233,0.002434,0.6154,0.6271,0.5555,0.4657,1.9394
6,0.165932,0.165729,0.002732,0.4615,0.4153,0.5524,0.4716,1.9242
7,0.139439,0.139246,0.002694,0.7692,0.6525,0.5521,0.4728,1.9091
8,0.127061,0.126883,0.002511,0.7436,0.5932,0.5532,0.4707,1.8939
9,0.146298,0.146085,0.003031,0.7607,0.6525,0.5485,0.4791,1.8788
10,0.108014,0.107815,0.002906,0.8034,0.7288,0.5452,0.4827,1.8636
11,0.113743,0.113544,0.002902,0.8376,0.7288,0.5461,0.4841,1.8485
12,0.107529,0.107317,0.003084,0.6325,0.5678,0.5461,0.4838,1.8333
13,0.107258,0.107074,0.002709,0.6752,0.5593,0.5487,0.4798,1.8182
14,0.116618,0.116417,0.003060,0.8547,0.7627,0.5410,0.4953,1.8030
15,0.111403,0.111226,0.002619,0.7778,0.7203,0.5441,0.4889,1.7879
16,0.103361,0.103192,0.002608,0.8376,0.7458,0.5401,0.4989,1.7727
17,0.101302,0.101108,0.003045,0.7350,0.7458,0.5425,0.4896,1.7576
18,0.094626,0.094442,0.002763,0.8462,0.7712,0.5401,0.4969,1.7424
19,0.095274,0.095051,0.003301,0.8291,0.8136,0.5416,0.4909,1.7273
20,0.103567,0.103330,0.003576,0.8205,0.7542,0.5310,0.5107,1.7121
21,0.095341,0.095176,0.002502,0.8205,0.7542,0.5298,0.5132,1.6970
22,0.092244,0.092013,0.003497,0.8034,0.8051,0.5225,0.5283,1.6818
23,0.091935,0.091705,0.003417,0.8376,0.7881,0.5204,0.5344,1.6667
24,0.093009,0.092762,0.003686,0.8205,0.7797,0.5330,0.5035,1.6515
25,0.097831,0.097588,0.003589,0.7949,0.7797,0.5363,0.4967,1.6364
26,0.093610,0.093334,0.004050,0.7949,0.7797,0.5169,0.5402,1.6212
27,0.091954,0.091652,0.004482,0.7863,0.7966,0.5245,0.5211,1.6061
28,0.087561,0.087204,0.005155,0.7436,0.6271,0.5254,0.5178,1.5909
29,0.100467,0.100109,0.005082,0.8205,0.7966,0.5228,0.5228,1.5758
30,0.086992,0.086674,0.004630,0.8205,0.7627,0.5212,0.5270,1.5606
31,0.087703,0.087332,0.005364,0.7863,0.7627,0.5050,0.5651,1.5455
32,0.086282,0.085875,0.005822,0.8291,0.7966,0.5031,0.5690,1.5303
33,0.082605,0.082190,0.006019,0.5214,0.6441,0.5026,0.5697,1.5152
34,0.088595,0.088192,0.005713,0.7607,0.8051,0.5031,0.5667,1.5000
35,0.081648,0.081241,0.005820,0.7863,0.8220,0.5043,0.5648,1.4848
36,0.081864,0.081472,0.005691,0.8034,0.7797,0.5004,0.5718,1.4697
37,0.083977,0.083550,0.006196,0.6752,0.5932,0.5040,0.5655,1.4545
38,0.085525,0.085060,0.006867,0.8205,0.7881,0.4985,0.5776,1.4394
39,0.080435,0.079969,0.006728,0.7009,0.6949,0.4954,0.5846,1.4242
40,0.083062,0.082553,0.007068,0.7863,0.7712,0.4863,0.6047,1.4091
41,0.079513,0.079045,0.006806,0.8034,0.7881,0.4909,0.5915,1.3939
42,0.085986,0.085444,0.007536,0.7607,0.6864,0.4931,0.5858,1.3788
43,0.074977,0.074386,0.008278,0.7949,0.7119,0.4910,0.5904,1.3636
44,0.081120,0.080568,0.007965,0.8034,0.8136,0.4923,0.5861,1.3485
45,0.076790,0.076187,0.008506,0.7436,0.7797,0.4878,0.5978,1.3333
46,0.077321,0.076741,0.008089,0.6581,0.7034,0.4900,0.5923,1.3182
47,0.075773,0.075112,0.009085,0.7521,0.7373,0.4935,0.5828,1.3030
48,0.071862,0.071101,0.010507,0.8120,0.7288,0.4970,0.5750,1.2879
49,0.077564,0.076807,0.010244,0.7778,0.7966,0.4910,0.5867,1.2727
50,0.070485,0.069842,0.008803,0.7521,0.7288,0.4927,0.5827,1.2576
51,0.071062,0.070347,0.009675,0.7521,0.8390,0.4815,0.6116,1.2424
52,0.073752,0.073056,0.009750,0.7949,0.7881,0.4856,0.6005,1.2273
53,0.073358,0.072596,0.010528,0.7692,0.7627,0.4854,0.6004,1.2121
54,0.072882,0.072091,0.010630,0.6923,0.7034,0.4836,0.6044,1.1970
55,0.073128,0.072316,0.011034,0.8034,0.7458,0.4840,0.6040,1.1818
56,0.066353,0.065558,0.011185,0.8120,0.7203,0.4821,0.6082,1.1667
57,0.070515,0.069717,0.010913,0.7863,0.7203,0.4758,0.6268,1.1515
58,0.065730,0.064895,0.011545,0.7265,0.7203,0.4791,0.6175,1.1364
59,0.067688,0.066800,0.012003,0.7009,0.7797,0.4786,0.6179,1.1212
60,0.065464,0.064609,0.011909,0.7778,0.7373,0.4744,0.6301,1.1061
61,0.063909,0.062977,0.012915,0.7778,0.7797,0.4746,0.6297,1.0909
62,0.058540,0.057619,0.013060,0.7692,0.7458,0.4727,0.6348,1.0758
63,0.059538,0.058594,0.012870,0.7436,0.7203,0.4712,0.6379,1.0606
64,0.058557,0.057559,0.013397,0.7949,0.7542,0.4706,0.6394,1.0455
65,0.065314,0.064488,0.011388,0.6838,0.6356,0.4706,0.6399,1.0303
