epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
74,0.040212,0.031212,0.112902,0.7179,0.7458,1.0000,-0.8957,0.8939
75,0.042917,0.033917,0.120393,0.7009,0.7119,1.0000,-0.8957,0.8788
76,0.051509,0.042509,0.113390,0.7179,0.6610,1.0000,-0.8957,0.8636
77,0.042459,0.033459,0.110857,0.7094,0.6949,1.0000,-0.8957,0.8485
78,0.045294,0.036294,0.128043,0.6923,0.6949,1.0000,-0.8957,0.8333
79,0.046985,0.037985,0.122192,0.7436,0.6864,1.0000,-0.8957,0.8182
80,0.043062,0.034062,0.117679,0.7350,0.7119,1.0000,-0.8957,0.8030
81,0.037403,0.028403,0.126248,0.7607,0.7203,1.0000,-0.8957,0.7879
82,0.036448,0.027448,0.125946,0.7436,0.7288,1.0000,-0.8957,0.7727
83,0.042790,0.033790,0.119295,0.6239,0.6186,1.0000,-0.8957,0.7576
84,0.041935,0.032935,0.117517,0.8120,0.7881,1.0000,-0.8957,0.7424
85,0.035333,0.026333,0.121261,0.8376,0.7966,1.0000,-0.8957,0.7273
86,0.043167,0.034167,0.128146,0.7692,0.7712,1.0000,-0.8957,0.7121
87,0.042806,0.033806,0.118840,0.7863,0.7712,1.0000,-0.8957,0.6970
88,0.040636,0.031636,0.132292,0.7179,0.7542,1.0000,-0.8957,0.6818
89,0.042217,0.033217,0.129706,0.7350,0.7288,1.0000,-0.8957,0.6667
90,0.042715,0.033715,0.116255,0.7692,0.7881,1.0000,-0.8957,0.6515
91,0.034990,0.025990,0.132584,0.7607,0.7458,1.0000,-0.8957,0.6364
92,0.039548,0.030548,0.125858,0.7094,0.6525,1.0000,-0.8957,0.6212
93,0.043230,0.034230,0.128062,0.7607,0.6949,1.0000,-0.8957,0.6061
94,0.042209,0.033209,0.122302,0.7350,0.7203,1.0000,-0.8957,0.5909
95,0.040861,0.031861,0.128552,0.7863,0.7119,1.0000,-0.8957,0.5758
96,0.039035,0.030035,0.132564,0.7521,0.7712,1.0000,-0.8957,0.5606
97,0.040479,0.031479,0.139801,0.7607,0.6610,1.0000,-0.8957,0.5455
98,0.044121,0.035121,0.138761,0.7521,0.6949,1.0000,-0.8957,0.5303
99,0.039632,0.030632,0.137811,0.7607,0.7288,1.0000,-0.8957,0.5152
100,0.039276,0.030276,0.137801,0.6838,0.6949,1.0000,-0.8957,0.5000
