epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,3.588818,3.560706,0.055760,0.5802,0.2796,0.8626,2.0000
2,1.333787,1.332086,0.003337,0.6667,0.2383,0.8963,1.9483
3,1.078423,1.077733,0.001380,0.6539,0.2608,0.8795,1.8966
4,1.065149,1.064533,0.001270,0.6514,0.2464,0.8921,1.8448
5,0.993965,0.993595,0.000798,0.6845,0.2675,0.8770,1.7931
6,0.972686,0.972129,0.001212,0.6387,0.2828,0.8665,1.7414
7,1.149065,1.148522,0.001202,0.7125,0.2648,0.8788,1.6897
8,0.897245,0.896459,0.001735,0.6590,0.3060,0.8398,1.6379
9,0.829959,0.829197,0.001680,0.4809,0.3403,0.8080,1.5862
10,0.800919,0.800347,0.001252,0.6641,0.2734,0.8730,1.5345
11,0.737570,0.737073,0.001107,0.4707,0.3395,0.8141,1.4828
12,0.771907,0.771233,0.001521,0.4911,0.2693,0.8788,1.4310
13,0.701184,0.700693,0.001149,0.7252,0.3870,0.7605,1.3793
14,0.708518,0.707801,0.001665,0.7583,0.3635,0.7881,1.3276
15,0.673455,0.672506,0.002173,0.7455,0.3413,0.8062,1.2759
16,0.708516,0.707970,0.001257,0.6412,0.3177,0.8375,1.2241
17,0.627708,0.627144,0.001315,0.7710,0.2667,0.8778,1.1724
18,0.609380,0.608938,0.001043,0.7023,0.2956,0.8513,1.1207
19,0.669943,0.669050,0.002017,0.7481,0.3051,0.8425,1.0690
20,0.681450,0.680868,0.001358,0.7684,0.3105,0.8316,1.0172
21,0.664250,0.663033,0.002635,0.7277,0.2685,0.8699,0.9655
22,0.576261,0.575703,0.001288,0.7761,0.2448,0.8922,0.9138
23,0.618248,0.617757,0.001132,0.7354,0.2572,0.8803,0.8621
24,0.575094,0.574400,0.001485,0.7150,0.2883,0.8430,0.8103
25,0.588528,0.587384,0.002384,0.7176,0.2779,0.8536,0.7586
26,0.663973,0.662991,0.002175,0.6768,0.3256,0.7945,0.7069
27,0.542127,0.541285,0.001857,0.7023,0.2603,0.8781,0.6552
28,0.592918,0.592068,0.001916,0.7099,0.2492,0.8914,0.6034
29,0.575206,0.574194,0.002236,0.6361,0.3080,0.8182,0.5517
30,0.559679,0.558393,0.002819,0.7405,0.3245,0.8035,0.5000
