epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.724762,0.725850,0.020538,0.001107,-0.008490,0.7179,0.6780,0.6258,0.5875,0.3155,2.0000
2,0.198840,0.200872,0.001474,0.000189,-0.008688,0.4274,0.4153,0.6300,0.5874,0.3082,1.9848
3,0.219611,0.221879,0.001495,0.000256,-0.009441,0.6752,0.7034,0.6315,0.5893,0.3060,1.9697
4,0.200666,0.202943,0.001851,0.000335,-0.009546,0.7009,0.7288,0.6314,0.5837,0.3060,1.9545
5,0.168075,0.170714,0.001278,0.000321,-0.010659,0.5556,0.5169,0.6317,0.6104,0.3057,1.9394
6,0.138578,0.141795,0.001737,0.000615,-0.012825,0.7009,0.7034,0.6322,0.6263,0.3049,1.9242
7,0.117337,0.122343,0.001149,0.002887,-0.020284,0.7350,0.7458,0.6322,0.6715,0.3048,1.9091
8,0.111930,0.119126,0.001163,0.007847,-0.030893,0.6496,0.6864,0.6324,0.7150,0.3048,1.8939
9,0.116384,0.124811,0.001238,0.008493,-0.035419,0.6581,0.7203,0.6324,0.6056,0.3048,1.8788
10,0.117443,0.127332,0.001580,0.007877,-0.039863,0.7607,0.7627,0.6324,0.5800,0.3047,1.8636
11,0.114851,0.117669,0.001594,0.022130,-0.025738,0.7009,0.7288,0.6324,0.4424,0.3046,1.8485
12,0.101034,0.104040,0.001049,0.005874,-0.015566,0.7692,0.7203,0.6324,0.6868,0.3047,1.8333
13,0.099423,0.108143,0.001429,0.007207,-0.035542,0.6838,0.7797,0.6325,0.7661,0.3045,1.8182
14,0.093486,0.103264,0.001174,0.007575,-0.039278,0.7521,0.7627,0.6325,0.6382,0.3047,1.8030
15,0.090760,0.101230,0.001791,0.009752,-0.043046,0.7094,0.7542,0.6326,0.6630,0.3044,1.7879
16,0.084276,0.095576,0.001662,0.010874,-0.046516,0.6496,0.6695,0.6326,0.5428,0.3044,1.7727
17,0.094779,0.105353,0.001706,0.009055,-0.042969,0.6838,0.7373,0.6326,0.5792,0.3044,1.7576
18,0.089795,0.100648,0.001271,0.009387,-0.044079,0.7094,0.7373,0.6325,0.6097,0.3044,1.7424
19,0.085132,0.096657,0.001524,0.009363,-0.046304,0.7350,0.8136,0.6326,0.7398,0.3044,1.7273
20,0.088235,0.099172,0.002241,0.010393,-0.045029,0.7692,0.7966,0.6326,0.6798,0.3044,1.7121
21,0.081953,0.094979,0.002147,0.010946,-0.052357,0.6581,0.6949,0.6326,0.6613,0.3044,1.6970
22,0.082676,0.095769,0.002204,0.010034,-0.051981,0.7350,0.7881,0.6325,0.5105,0.3044,1.6818
23,0.081992,0.095947,0.002164,0.011927,-0.056140,0.7692,0.7797,0.6325,0.6183,0.3044,1.6667
24,0.088957,0.103515,0.002941,0.012172,-0.058341,0.7607,0.7542,0.6324,0.7206,0.3047,1.6515
25,0.080863,0.095729,0.002884,0.011694,-0.059035,0.7436,0.7542,0.6325,0.5488,0.3044,1.6364
26,0.072460,0.091145,0.003775,0.013995,-0.073254,0.6923,0.7712,0.6326,0.5644,0.3044,1.6212
27,0.085015,0.104154,0.003380,0.017598,-0.077194,0.7607,0.7627,0.6325,0.6318,0.3044,1.6061
28,0.073654,0.095599,0.003280,0.017676,-0.086628,0.7607,0.7881,0.6325,0.6652,0.3044,1.5909
29,0.072203,0.094733,0.003405,0.020048,-0.090155,0.7521,0.7966,0.6326,0.6040,0.3044,1.5758
30,0.071457,0.092802,0.003715,0.026537,-0.090505,0.7863,0.7712,0.6326,0.5225,0.3044,1.5606
31,0.066723,0.089318,0.003996,0.025779,-0.094213,0.7692,0.7712,0.6325,0.6880,0.3046,1.5455
32,0.059879,0.088010,0.005077,0.025810,-0.112682,0.7179,0.7797,0.6326,0.5255,0.3044,1.5303
33,0.062851,0.090075,0.005083,0.032567,-0.114133,0.7949,0.7966,0.6326,0.6729,0.3044,1.5152
