epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.654433,0.619534,0.013626,0.278505,0.5897,0.6186,0.6268,0.1899,0.3134,2.0000
2,0.197915,0.196719,0.001145,0.002295,0.7265,0.7203,0.6317,0.1876,0.3054,1.9848
3,0.179265,0.178372,0.000885,0.000581,0.7179,0.7627,0.6323,0.1875,0.3049,1.9697
4,0.159056,0.158281,0.000700,0.000404,0.4359,0.4153,0.6322,0.1875,0.3050,1.9545
5,0.136673,0.135946,0.000612,0.000318,0.7179,0.7797,0.6323,0.1875,0.3048,1.9394
6,0.172518,0.171788,0.000595,0.000371,0.6325,0.6780,0.6320,0.1875,0.3051,1.9242
7,0.120064,0.119340,0.000616,0.000373,0.7350,0.7712,0.6323,0.1875,0.3047,1.9091
8,0.125562,0.124902,0.000414,0.000298,0.7692,0.7712,0.6323,0.1875,0.3047,1.8939
9,0.113561,0.112883,0.000515,0.000363,0.7949,0.7288,0.6321,0.1875,0.3049,1.8788
10,0.117549,0.116865,0.000521,0.000338,0.7350,0.7627,0.6323,0.1875,0.3048,1.8636
11,0.114924,0.114256,0.000489,0.000317,0.6923,0.7458,0.6323,0.1875,0.3048,1.8485
12,0.113952,0.113272,0.000543,0.000342,0.7179,0.7119,0.6324,0.1875,0.3047,1.8333
13,0.097173,0.096515,0.000538,0.000301,0.7521,0.7712,0.6325,0.1875,0.3047,1.8182
14,0.098046,0.097401,0.000481,0.000305,0.7179,0.7373,0.6325,0.1875,0.3047,1.8030
15,0.101761,0.101199,0.000242,0.000235,0.7949,0.7627,0.6324,0.1875,0.3047,1.7879
16,0.098477,0.097861,0.000399,0.000229,0.7265,0.7627,0.6325,0.1875,0.3047,1.7727
17,0.096217,0.095609,0.000357,0.000164,0.7350,0.7712,0.6325,0.1875,0.3046,1.7576
18,0.104801,0.104184,0.000408,0.000216,0.7607,0.7458,0.6325,0.1875,0.3047,1.7424
19,0.095924,0.095345,0.000248,0.000226,0.7863,0.7712,0.6325,0.1875,0.3047,1.7273
20,0.103132,0.102531,0.000323,0.000266,0.7265,0.7712,0.6325,0.1875,0.3046,1.7121
21,0.097303,0.096677,0.000424,0.000262,0.7350,0.7373,0.6324,0.1875,0.3047,1.6970
22,0.094493,0.093877,0.000430,0.000257,0.7692,0.7881,0.6325,0.1875,0.3044,1.6818
23,0.090014,0.089410,0.000367,0.000274,0.7350,0.8220,0.6326,0.1875,0.3044,1.6667
24,0.091720,0.091048,0.000585,0.000281,0.7009,0.7966,0.6325,0.1875,0.3044,1.6515
25,0.092783,0.092147,0.000485,0.000161,0.5299,0.6102,0.6326,0.1875,0.3044,1.6364
26,0.088863,0.088278,0.000277,0.000318,0.7778,0.8051,0.6325,0.1875,0.3044,1.6212
27,0.092851,0.092208,0.000453,0.000282,0.7179,0.8220,0.6325,0.1875,0.3044,1.6061
28,0.084177,0.083512,0.000523,0.000330,0.6239,0.6864,0.6324,0.1875,0.3047,1.5909
29,0.086037,0.085370,0.000597,0.000287,0.6581,0.7034,0.6325,0.1875,0.3044,1.5758
30,0.091433,0.090810,0.000393,0.000280,0.7607,0.7966,0.6325,0.1875,0.3044,1.5606
31,0.084489,0.083794,0.000606,0.000320,0.7863,0.7881,0.6324,0.1875,0.3047,1.5455
32,0.081634,0.080870,0.000791,0.000338,0.7350,0.7119,0.6324,0.1875,0.3045,1.5303
33,0.084184,0.083484,0.000689,0.000253,0.7436,0.7627,0.6325,0.1875,0.3044,1.5152
34,0.082182,0.081441,0.000752,0.000317,0.7863,0.7881,0.6324,0.1875,0.3046,1.5000
35,0.085361,0.084590,0.000861,0.000356,0.7094,0.6864,0.6325,0.1875,0.3045,1.4848
36,0.077315,0.076554,0.000842,0.000292,0.7009,0.8051,0.6325,0.1875,0.3044,1.4697
37,0.081230,0.080506,0.000745,0.000283,0.7863,0.8220,0.6326,0.1875,0.3043,1.4545
