epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.517822,0.518883,0.016914,0.001466,-0.008389,0.7778,0.6780,0.6285,0.5914,0.3423,2.0000
2,0.181173,0.183113,0.002267,0.000270,-0.008462,0.5897,0.6186,0.6307,0.5833,0.3400,1.9848
3,0.235076,0.237178,0.002046,0.000369,-0.008977,0.5983,0.6186,0.6308,0.6119,0.3396,1.9697
4,0.197266,0.199927,0.001827,0.000546,-0.010923,0.7265,0.5763,0.6313,0.5720,0.3390,1.9545
5,0.173501,0.177426,0.002121,0.005947,-0.018745,0.7179,0.7627,0.6318,0.5755,0.3386,1.9394
6,0.132785,0.139997,0.001607,0.006463,-0.030000,0.7692,0.7627,0.6319,0.5578,0.3384,1.9242
7,0.134515,0.143875,0.001628,0.012930,-0.041494,0.7778,0.6864,0.6318,0.7664,0.3384,1.9091
8,0.149829,0.159593,0.001781,0.024799,-0.050709,0.6838,0.7458,0.6320,0.3450,0.3383,1.8939
9,0.116815,0.132374,0.001215,0.020708,-0.067313,0.7436,0.7881,0.6320,0.5655,0.3384,1.8788
10,0.099358,0.117573,0.001233,0.023693,-0.078170,0.7009,0.8136,0.6321,0.4950,0.3383,1.8636
11,0.101322,0.125956,0.001731,0.026870,-0.101655,0.7350,0.7627,0.6321,0.5620,0.3383,1.8485
12,0.105657,0.126740,0.001314,0.040474,-0.098874,0.7350,0.7627,0.6320,0.5102,0.3384,1.8333
13,0.091348,0.116409,0.001558,0.029521,-0.104883,0.5556,0.5169,0.6321,0.4092,0.3383,1.8182
14,0.085209,0.112768,0.001502,0.028419,-0.112460,0.5214,0.4831,0.6321,0.5079,0.3383,1.8030
15,0.074892,0.100537,0.001380,0.031288,-0.107945,0.6923,0.7712,0.6321,0.5641,0.3383,1.7879
16,0.078861,0.102953,0.001590,0.035778,-0.105782,0.6923,0.7288,0.6322,0.8164,0.3383,1.7727
17,0.081803,0.106079,0.001971,0.034969,-0.105905,0.7265,0.8136,0.6321,0.6485,0.3383,1.7576
18,0.068664,0.097243,0.001764,0.026010,-0.114215,0.5726,0.5085,0.6322,0.5604,0.3383,1.7424
19,0.068791,0.095219,0.002036,0.035656,-0.113495,0.7350,0.7712,0.6321,0.6412,0.3383,1.7273
20,0.075166,0.101022,0.001750,0.039918,-0.114457,0.7265,0.7966,0.6321,0.5809,0.3383,1.7121
21,0.073454,0.102007,0.002469,0.028434,-0.115803,0.6154,0.5763,0.6321,0.4514,0.3383,1.6970
22,0.077365,0.103503,0.002107,0.037021,-0.113430,0.7009,0.8051,0.6322,0.5065,0.3383,1.6818
23,0.071665,0.095742,0.002606,0.033101,-0.104005,0.7521,0.8220,0.6322,0.6073,0.3383,1.6667
24,0.070270,0.093008,0.003506,0.042626,-0.105896,0.7436,0.8390,0.6322,0.4980,0.3383,1.6515
25,0.070555,0.097719,0.003188,0.034124,-0.114993,0.7436,0.8136,0.6322,0.4403,0.3383,1.6364
26,0.067240,0.094638,0.003092,0.032880,-0.114929,0.7350,0.7881,0.6321,0.4263,0.3383,1.6212
27,0.069382,0.094648,0.003538,0.039473,-0.112191,0.6496,0.6271,0.6322,0.5515,0.3383,1.6061
28,0.070531,0.093257,0.004582,0.043588,-0.106507,0.7521,0.8559,0.6322,0.3796,0.3383,1.5909
29,0.068465,0.095114,0.003832,0.038626,-0.116238,0.7436,0.8390,0.6321,0.4290,0.3383,1.5758
30,0.060453,0.089939,0.005027,0.030828,-0.120515,0.7094,0.8136,0.6321,0.4371,0.3383,1.5606
31,0.063086,0.091605,0.004521,0.033313,-0.118959,0.7094,0.8305,0.6321,0.6363,0.3383,1.5455
32,0.063274,0.091184,0.005741,0.030205,-0.114834,0.7436,0.7966,0.6321,0.4791,0.3383,1.5303
33,0.064039,0.091890,0.006085,0.034386,-0.117480,0.7350,0.7966,0.6322,0.4481,0.3383,1.5152
34,0.059503,0.088583,0.005715,0.028902,-0.117897,0.7521,0.7288,0.6322,0.6413,0.3383,1.5000
35,0.057342,0.087470,0.005440,0.029339,-0.121704,0.7265,0.7966,0.6321,0.5175,0.3383,1.4848
36,0.060930,0.087582,0.006806,0.041709,-0.118386,0.7265,0.8390,0.6321,0.4687,0.3383,1.4697
37,0.063711,0.092446,0.008017,0.032022,-0.118917,0.7692,0.8475,0.6321,0.6363,0.3383,1.4545
38,0.060748,0.085271,0.006389,0.039296,-0.109637,0.7607,0.8136,0.6322,0.4533,0.3383,1.4394
39,0.069950,0.093186,0.007602,0.039478,-0.105503,0.6496,0.7203,0.6321,0.4180,0.3383,1.4242
40,0.059600,0.087950,0.006984,0.032206,-0.117725,0.6667,0.7627,0.6321,0.5452,0.3383,1.4091
41,0.058390,0.084263,0.006410,0.039490,-0.114297,0.7265,0.8220,0.6321,0.4757,0.3383,1.3939
