epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.615604,0.616819,0.012052,0.000721,-0.008489,0.3932,0.4103,0.6175,0.6003,0.2949,2.0000
2,0.216915,0.218802,0.001636,0.000288,-0.008397,0.7350,0.6410,0.6243,0.5858,0.2820,1.9848
3,0.190642,0.192783,0.001243,0.000445,-0.009183,0.3761,0.4017,0.6281,0.5769,0.2763,1.9697
4,0.163478,0.165939,0.000993,0.000454,-0.010152,0.7436,0.6752,0.6283,0.5955,0.2761,1.9545
5,0.217819,0.220301,0.001458,0.000674,-0.010349,0.7350,0.6410,0.6283,0.5851,0.2761,1.9394
6,0.142894,0.145484,0.000653,0.000336,-0.010456,0.7436,0.6667,0.6282,0.5982,0.2761,1.9242
7,0.158025,0.160609,0.000927,0.000674,-0.010689,0.7692,0.7094,0.6283,0.5629,0.2761,1.9091
8,0.137784,0.140670,0.000259,0.000375,-0.011464,0.7521,0.7436,0.6282,0.5856,0.2761,1.8939
9,0.125001,0.128314,0.000585,0.001122,-0.013436,0.6923,0.6496,0.6281,0.6000,0.2761,1.8788
10,0.135387,0.137661,0.000686,0.005696,-0.013008,0.7863,0.7179,0.6282,0.5926,0.2761,1.8636
11,0.118350,0.121692,0.000648,0.000511,-0.013111,0.7607,0.7350,0.6282,0.5999,0.2761,1.8485
12,0.114330,0.117384,0.000765,0.008649,-0.017579,0.6838,0.6239,0.6281,0.6627,0.2761,1.8333
13,0.102210,0.110177,0.000756,0.007850,-0.033438,0.7863,0.7607,0.6283,0.6585,0.2761,1.8182
14,0.107525,0.115150,0.000976,0.012936,-0.035666,0.7778,0.7265,0.6282,0.6159,0.2761,1.8030
15,0.097319,0.107229,0.000928,0.008679,-0.040493,0.7607,0.7521,0.6282,0.5896,0.2761,1.7879
16,0.110169,0.124610,0.001116,0.014190,-0.059200,0.7778,0.7265,0.6283,0.4568,0.2761,1.7727
