epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.541792,0.511572,0.009274,0.247781,0.6752,0.6864,0.6013,0.3121,0.3323,2.0000
2,0.282985,0.281159,0.001298,0.005999,0.5385,0.6271,0.6257,0.3125,0.2736,1.9848
3,0.166120,0.165084,0.001026,0.001235,0.7607,0.6017,0.6287,0.3125,0.2670,1.9697
4,0.166309,0.165287,0.001077,0.001145,0.6581,0.7203,0.6295,0.3125,0.2655,1.9545
5,0.194133,0.193222,0.000964,0.000786,0.7521,0.7119,0.6300,0.3125,0.2648,1.9394
6,0.137978,0.137111,0.000847,0.000773,0.7607,0.6610,0.6299,0.3125,0.2649,1.9242
7,0.142748,0.141946,0.000721,0.000666,0.7521,0.6525,0.6298,0.3125,0.2651,1.9091
8,0.134464,0.133651,0.000756,0.000660,0.7863,0.6695,0.6301,0.3125,0.2645,1.8939
9,0.119111,0.118369,0.000613,0.000459,0.7863,0.7119,0.6302,0.3125,0.2644,1.8788
10,0.118805,0.118020,0.000701,0.000553,0.6154,0.7203,0.6302,0.3125,0.2643,1.8636
11,0.137994,0.137239,0.000674,0.000439,0.7350,0.6271,0.6302,0.3125,0.2643,1.8485
12,0.126273,0.125474,0.000798,0.000463,0.7778,0.7288,0.6302,0.3125,0.2643,1.8333
13,0.108768,0.108041,0.000620,0.000334,0.7778,0.7203,0.6302,0.3125,0.2643,1.8182
14,0.107348,0.106616,0.000681,0.000339,0.7521,0.7288,0.6303,0.3125,0.2643,1.8030
15,0.103482,0.102719,0.000743,0.000374,0.6325,0.6949,0.6303,0.3125,0.2643,1.7879
16,0.104556,0.103800,0.000719,0.000318,0.7778,0.7627,0.6302,0.3125,0.2643,1.7727
17,0.111905,0.111196,0.000590,0.000329,0.7350,0.7458,0.6303,0.3125,0.2643,1.7576
18,0.099383,0.098626,0.000727,0.000439,0.6667,0.7203,0.6303,0.3125,0.2642,1.7424
19,0.096396,0.095719,0.000499,0.000212,0.7009,0.7542,0.6303,0.3125,0.2642,1.7273
20,0.101244,0.100504,0.000689,0.000383,0.8034,0.7712,0.6302,0.3125,0.2643,1.7121
21,0.099467,0.098703,0.000770,0.000321,0.7009,0.7542,0.6302,0.3125,0.2642,1.6970
22,0.095186,0.094404,0.000867,0.000315,0.6752,0.6017,0.6302,0.3125,0.2642,1.6818
23,0.091033,0.090276,0.000836,0.000260,0.7094,0.7458,0.6304,0.3125,0.2642,1.6667
24,0.089001,0.088256,0.000788,0.000204,0.7436,0.7288,0.6302,0.3125,0.2642,1.6515
25,0.091845,0.090994,0.001092,0.000297,0.7009,0.7627,0.6303,0.3125,0.2642,1.6364
26,0.090264,0.089519,0.000766,0.000150,0.7607,0.7373,0.6304,0.3125,0.2642,1.6212
27,0.090581,0.089651,0.001263,0.000347,0.7436,0.7712,0.6301,0.3125,0.2642,1.6061
28,0.086773,0.085919,0.001109,0.000288,0.7521,0.7797,0.6303,0.3125,0.2642,1.5909
