epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.529850,0.523048,0.011724,0.5214,0.4615,0.5409,0.5988,2.0000
2,0.257927,0.255033,0.001656,0.6667,0.6154,0.5409,0.5988,1.9848
3,0.174870,0.171955,0.001655,0.5470,0.4872,0.5409,0.5988,1.9697
4,0.169214,0.166445,0.001474,0.4359,0.4359,0.5409,0.5988,1.9545
5,0.148336,0.145559,0.001180,0.6239,0.5897,0.5409,0.5988,1.9394
6,0.146644,0.144017,0.000964,0.7778,0.6410,0.5409,0.5988,1.9242
7,0.153843,0.151215,0.000922,0.7863,0.6667,0.5409,0.5988,1.9091
8,0.150637,0.147896,0.001214,0.7094,0.6410,0.5409,0.5988,1.8939
9,0.123235,0.120532,0.001004,0.4103,0.4017,0.5409,0.5988,1.8788
10,0.128229,0.125536,0.001051,0.7778,0.7436,0.5409,0.5988,1.8636
11,0.115227,0.112575,0.000836,0.7436,0.7607,0.5409,0.5988,1.8485
12,0.110703,0.108041,0.001086,0.7265,0.6838,0.5409,0.5988,1.8333
13,0.111958,0.109304,0.001001,0.8120,0.7521,0.5409,0.5988,1.8182
14,0.113542,0.110873,0.001097,0.7094,0.6838,0.5409,0.5988,1.8030
15,0.106264,0.103596,0.000807,0.7607,0.7607,0.5409,0.5988,1.7879
16,0.108063,0.105329,0.001379,0.7436,0.7607,0.5409,0.5988,1.7727
17,0.098253,0.095519,0.001306,0.7607,0.6923,0.5409,0.5988,1.7576
18,0.101120,0.098402,0.001359,0.6752,0.6752,0.5409,0.5988,1.7424
19,0.103501,0.100806,0.001152,0.7778,0.7350,0.5409,0.5988,1.7273
20,0.099513,0.096793,0.001215,0.6838,0.6581,0.5409,0.5988,1.7121
21,0.102822,0.100064,0.001281,0.7692,0.7949,0.5409,0.5988,1.6970
22,0.100771,0.098067,0.001231,0.7350,0.6838,0.5409,0.5988,1.6818
23,0.101574,0.098748,0.001464,0.7521,0.7863,0.5409,0.5988,1.6667
24,0.101937,0.098964,0.002052,0.7436,0.7265,0.5409,0.5988,1.6515
25,0.098810,0.095839,0.002228,0.6581,0.6325,0.5409,0.5988,1.6364
26,0.099230,0.096283,0.001869,0.7863,0.7265,0.5409,0.5988,1.6212
27,0.095408,0.092547,0.001623,0.7521,0.7607,0.5409,0.5988,1.6061
28,0.093198,0.090153,0.002415,0.7521,0.7009,0.5409,0.5988,1.5909
29,0.096229,0.093128,0.002623,0.7949,0.7863,0.5409,0.5988,1.5758
30,0.092876,0.089667,0.003057,0.7607,0.7521,0.5409,0.5988,1.5606
31,0.094550,0.091237,0.003525,0.7692,0.7863,0.5409,0.5988,1.5455
32,0.093703,0.090388,0.003378,0.7521,0.7350,0.5409,0.5988,1.5303
33,0.093845,0.090360,0.003840,0.7863,0.7692,0.5409,0.5988,1.5152
34,0.091422,0.087896,0.004001,0.7863,0.7607,0.5409,0.5988,1.5000
35,0.092779,0.089301,0.003458,0.7692,0.7179,0.5409,0.5988,1.4848
36,0.089359,0.085572,0.004562,0.7778,0.7265,0.5409,0.5988,1.4697
37,0.091201,0.087453,0.004610,0.8120,0.7521,0.5409,0.5988,1.4545
38,0.091205,0.087568,0.004229,0.7692,0.7863,0.5409,0.5988,1.4394
39,0.089612,0.085769,0.004992,0.7521,0.7436,0.5409,0.5988,1.4242
40,0.088767,0.084686,0.005529,0.7350,0.7350,0.5409,0.5988,1.4091
41,0.088324,0.084525,0.004783,0.7265,0.7863,0.5409,0.5988,1.3939
42,0.091280,0.087188,0.005518,0.7863,0.7607,0.5409,0.5988,1.3788
43,0.083099,0.078753,0.006460,0.7521,0.7692,0.5409,0.5988,1.3636
44,0.084733,0.080459,0.006394,0.7863,0.7778,0.5409,0.5988,1.3485
45,0.085172,0.080536,0.007297,0.7094,0.7350,0.5409,0.5988,1.3333
46,0.083840,0.079430,0.006647,0.7265,0.7094,0.5409,0.5988,1.3182
47,0.082571,0.078387,0.006090,0.7863,0.7521,0.5409,0.5988,1.3030
48,0.078453,0.073859,0.007364,0.7350,0.7863,0.5409,0.5988,1.2879
49,0.081783,0.077057,0.007338,0.7692,0.7436,0.5409,0.5988,1.2727
50,0.087898,0.082949,0.008213,0.7778,0.7692,0.5409,0.5988,1.2576
51,0.079892,0.074662,0.009008,0.7692,0.7949,0.5409,0.5988,1.2424
52,0.080516,0.075607,0.008134,0.7778,0.7521,0.5409,0.5988,1.2273
53,0.078850,0.073781,0.008575,0.8034,0.7949,0.5409,0.5988,1.2121
54,0.074053,0.069106,0.008428,0.7009,0.6410,0.5409,0.5988,1.1970
