epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.505042,0.464444,0.006752,0.263746,0.4138,0.4082,0.6116,0.4658,0.3296,2.0000
2,0.245708,0.266650,0.001321,0.113868,0.6322,0.6403,0.6246,0.4657,0.3082,1.9211
3,0.230933,0.252447,0.001292,0.112527,0.4253,0.4107,0.6273,0.4657,0.3036,1.8421
4,0.177376,0.199250,0.000979,0.111998,0.7356,0.6684,0.6310,0.4656,0.2979,1.7632
5,0.133248,0.155304,0.000870,0.111735,0.6667,0.6684,0.6318,0.4656,0.2967,1.6842
6,0.108600,0.130745,0.000605,0.111722,0.6092,0.6684,0.6317,0.4656,0.2969,1.6053
7,0.125099,0.147246,0.000613,0.111746,0.6782,0.7143,0.6322,0.4656,0.2963,1.5263
8,0.106922,0.129074,0.000683,0.111745,0.5632,0.5918,0.6323,0.4656,0.2962,1.4474
9,0.138844,0.160805,0.001148,0.111759,0.6322,0.6403,0.6323,0.4656,0.2962,1.3684
10,0.094397,0.116444,0.000942,0.111740,0.6437,0.6429,0.6324,0.4656,0.2961,1.2895
11,0.111728,0.133952,0.000514,0.111745,0.7011,0.7066,0.6322,0.4656,0.2963,1.2105
12,0.109387,0.131554,0.000670,0.111751,0.6437,0.6429,0.6324,0.4656,0.2960,1.1316
13,0.089733,0.111869,0.000771,0.111749,0.4943,0.5383,0.6324,0.4656,0.2959,1.0526
14,0.087996,0.110181,0.000610,0.111738,0.6782,0.7015,0.6325,0.4656,0.2959,0.9737
15,0.098050,0.120081,0.000978,0.111769,0.7586,0.7168,0.6324,0.4656,0.2959,0.8947
16,0.086407,0.108443,0.001056,0.111752,0.7011,0.6964,0.6325,0.4656,0.2959,0.8158
17,0.094790,0.116915,0.000766,0.111748,0.7011,0.7270,0.6324,0.4656,0.2959,0.7368
18,0.087711,0.109774,0.000943,0.111738,0.7011,0.7526,0.6326,0.4656,0.2958,0.6579
19,0.086652,0.108775,0.000771,0.111763,0.7471,0.7449,0.6325,0.4656,0.2959,0.5789
20,0.076520,0.098523,0.001098,0.111764,0.7471,0.7347,0.6325,0.4656,0.2959,0.5000
