epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,2.719252,2.719093,0.015910,0.7119,0.6605,0.0645,2.0000
2,1.368521,1.368488,0.003254,0.4153,0.6678,0.0386,1.9848
3,1.129201,1.129180,0.002027,0.7542,0.6626,0.0529,1.9697
4,1.109729,1.109710,0.001949,0.7119,0.6654,0.0448,1.9545
5,1.093436,1.093411,0.002441,0.6186,0.6639,0.0469,1.9394
6,0.879455,0.879436,0.001901,0.5508,0.6697,0.0374,1.9242
7,0.782368,0.782347,0.002073,0.6780,0.6620,0.0555,1.9091
8,0.799053,0.799032,0.002053,0.6864,0.6594,0.0601,1.8939
9,0.695722,0.695702,0.001979,0.7373,0.6573,0.0646,1.8788
10,0.713917,0.713892,0.002436,0.7712,0.6511,0.0835,1.8636
11,0.702632,0.702609,0.002239,0.6780,0.6518,0.0735,1.8485
12,0.721128,0.721096,0.003190,0.7542,0.6529,0.0763,1.8333
13,0.617429,0.617396,0.003335,0.7458,0.6438,0.1000,1.8182
14,0.613862,0.613836,0.002567,0.7458,0.6468,0.0929,1.8030
15,0.631448,0.631419,0.002812,0.7034,0.6574,0.0748,1.7879
16,0.576245,0.576216,0.002846,0.7627,0.6500,0.0905,1.7727
17,0.560247,0.560220,0.002713,0.6695,0.6529,0.0826,1.7576
18,0.605648,0.605616,0.003213,0.7627,0.6516,0.0854,1.7424
19,0.579410,0.579381,0.002893,0.7797,0.6486,0.0930,1.7273
20,0.552593,0.552558,0.003491,0.5847,0.6478,0.0966,1.7121
21,0.555565,0.555524,0.004083,0.6017,0.6465,0.0984,1.6970
22,0.534325,0.534284,0.004106,0.7458,0.6463,0.0987,1.6818
23,0.549776,0.549735,0.004142,0.7288,0.6451,0.1014,1.6667
24,0.534863,0.534821,0.004227,0.7203,0.6405,0.1086,1.6515
25,0.553955,0.553909,0.004560,0.6695,0.6422,0.1065,1.6364
26,0.555761,0.555706,0.005500,0.7881,0.6421,0.1092,1.6212
27,0.523326,0.523259,0.006678,0.8051,0.6415,0.1076,1.6061
28,0.530592,0.530527,0.006416,0.7881,0.6442,0.1055,1.5909
29,0.520242,0.520168,0.007305,0.8051,0.6433,0.1066,1.5758
30,0.523546,0.523475,0.007163,0.7881,0.6422,0.1084,1.5606
31,0.504427,0.504352,0.007504,0.7627,0.6472,0.1015,1.5455
32,0.485249,0.485168,0.008156,0.6949,0.6413,0.1052,1.5303
33,0.540686,0.540600,0.008523,0.7881,0.6426,0.1038,1.5152
34,0.472623,0.472542,0.008119,0.7203,0.6415,0.1041,1.5000
35,0.517411,0.517317,0.009482,0.7627,0.6425,0.1019,1.4848
36,0.507795,0.507712,0.008310,0.7288,0.6443,0.1008,1.4697
37,0.512510,0.512424,0.008591,0.7288,0.6427,0.1027,1.4545
38,0.459452,0.459355,0.009677,0.6695,0.6448,0.1003,1.4394
39,0.540842,0.540734,0.010795,0.5593,0.6424,0.1011,1.4242
40,0.487506,0.487398,0.010863,0.7288,0.6391,0.1060,1.4091
41,0.471153,0.471043,0.010961,0.7797,0.6424,0.0983,1.3939
42,0.462769,0.462661,0.010831,0.7797,0.6411,0.0985,1.3788
43,0.474604,0.474491,0.011370,0.7627,0.6407,0.0977,1.3636
44,0.434232,0.434124,0.010755,0.7966,0.6451,0.0957,1.3485
45,0.436797,0.436689,0.010814,0.7373,0.6448,0.0934,1.3333
46,0.461687,0.461577,0.011011,0.6610,0.6456,0.0897,1.3182
47,0.414295,0.414174,0.012106,0.7458,0.6442,0.0926,1.3030
48,0.425836,0.425710,0.012622,0.7288,0.6461,0.0903,1.2879
49,0.471011,0.470888,0.012289,0.7627,0.6441,0.0906,1.2727
50,0.442242,0.442120,0.012188,0.7627,0.6451,0.0869,1.2576
51,0.435981,0.435862,0.011835,0.7203,0.6458,0.0843,1.2424
52,0.438023,0.437901,0.012155,0.6949,0.6459,0.0866,1.2273
53,0.452212,0.452092,0.012032,0.7373,0.6500,0.0809,1.2121
54,0.438476,0.438343,0.013274,0.6780,0.6458,0.0833,1.1970
55,0.417440,0.417305,0.013489,0.6441,0.6463,0.0770,1.1818
56,0.411322,0.411176,0.014640,0.7542,0.6440,0.0788,1.1667
57,0.441369,0.441248,0.012091,0.6864,0.6458,0.0771,1.1515
58,0.421459,0.421333,0.012663,0.7034,0.6525,0.0664,1.1364
59,0.368628,0.368495,0.013260,0.7797,0.6477,0.0796,1.1212
60,0.388939,0.388810,0.012845,0.6356,0.6465,0.0792,1.1061
61,0.412517,0.412381,0.013635,0.7119,0.6510,0.0709,1.0909
62,0.386437,0.386304,0.013313,0.7288,0.6495,0.0726,1.0758
63,0.416525,0.416383,0.014294,0.6949,0.6487,0.0792,1.0606
64,0.351656,0.351517,0.013934,0.7119,0.6441,0.0804,1.0455
65,0.430024,0.429875,0.014882,0.7288,0.6508,0.0741,1.0303
