epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
54,0.042491,0.070799,0.015023,0.035883,-0.120161,0.6838,0.7458,0.6302,0.5623,0.2642,1.1970
55,0.042742,0.071371,0.014511,0.032914,-0.119271,0.6154,0.6780,0.6302,0.4145,0.2642,1.1818
56,0.040577,0.070124,0.013719,0.031537,-0.121379,0.7350,0.6780,0.6302,0.5245,0.2643,1.1667
57,0.038446,0.068801,0.014840,0.029346,-0.122675,0.7094,0.7119,0.6303,0.5395,0.2642,1.1515
58,0.040438,0.070799,0.014488,0.026207,-0.120567,0.6752,0.7373,0.6303,0.5967,0.2642,1.1364
59,0.038502,0.067450,0.015613,0.031744,-0.119536,0.6496,0.7712,0.6303,0.4749,0.2642,1.1212
60,0.037913,0.064449,0.017866,0.033787,-0.112900,0.7009,0.7119,0.6302,0.5935,0.2642,1.1061
61,0.049025,0.076204,0.017890,0.038619,-0.118279,0.6154,0.7373,0.6303,0.5166,0.2642,1.0909
62,0.037603,0.064378,0.016104,0.037195,-0.115926,0.7607,0.7119,0.6302,0.4389,0.2642,1.0758
63,0.040989,0.068220,0.014200,0.044258,-0.122182,0.7179,0.7712,0.6304,0.4758,0.2642,1.0606
64,0.040982,0.069084,0.014650,0.038141,-0.121029,0.6838,0.7542,0.6303,0.4522,0.2642,1.0455
65,0.043999,0.071052,0.018459,0.033088,-0.114204,0.6923,0.7712,0.6303,0.4607,0.2642,1.0303
66,0.033639,0.064620,0.016415,0.029854,-0.125112,0.7009,0.7203,0.6302,0.5370,0.2643,1.0152
67,0.034034,0.063260,0.017095,0.035835,-0.123236,0.7179,0.7712,0.6302,0.4716,0.2642,1.0000
68,0.031922,0.060282,0.019606,0.036018,-0.120532,0.6752,0.7458,0.6302,0.5058,0.2643,0.9848
69,0.031723,0.059399,0.020456,0.033248,-0.116416,0.7350,0.7373,0.6302,0.5239,0.2643,0.9697
70,0.036515,0.064639,0.021955,0.028844,-0.115091,0.6752,0.7458,0.6302,0.5100,0.2644,0.9545
71,0.029259,0.057247,0.022041,0.033200,-0.117471,0.6410,0.7288,0.6302,0.4763,0.2643,0.9394
72,0.032364,0.061933,0.020940,0.033631,-0.123048,0.6923,0.7373,0.6303,0.4425,0.2642,0.9242
73,0.035164,0.063759,0.022444,0.038474,-0.122986,0.7265,0.7288,0.6303,0.5292,0.2643,0.9091
74,0.024766,0.058507,0.020637,0.029264,-0.133965,0.6496,0.7288,0.6302,0.5014,0.2643,0.8939
75,0.031310,0.061873,0.021864,0.027298,-0.122166,0.7094,0.7203,0.6302,0.5287,0.2644,0.8788
76,0.030469,0.059597,0.021460,0.032018,-0.120485,0.6838,0.7712,0.6303,0.5733,0.2643,0.8636
77,0.022185,0.051932,0.023939,0.028990,-0.120581,0.7521,0.6864,0.6301,0.5028,0.2644,0.8485
78,0.020615,0.048677,0.024756,0.032281,-0.117169,0.6838,0.6525,0.6300,0.4942,0.2645,0.8333
79,0.033723,0.063251,0.021551,0.036081,-0.124547,0.7350,0.7373,0.6301,0.4679,0.2643,0.8182
80,0.017739,0.049292,0.023033,0.033143,-0.129329,0.6923,0.7627,0.6301,0.4544,0.2644,0.8030
81,0.027271,0.057647,0.023861,0.033831,-0.125861,0.7009,0.7797,0.6303,0.5405,0.2642,0.7879
82,0.028878,0.057159,0.024964,0.029750,-0.116235,0.6581,0.7288,0.6300,0.4859,0.2645,0.7727
83,0.026799,0.057484,0.023877,0.033071,-0.126430,0.6752,0.6780,0.6299,0.5044,0.2645,0.7576
84,0.017632,0.048786,0.025120,0.031388,-0.126840,0.6239,0.5424,0.6300,0.5338,0.2645,0.7424
85,0.025178,0.056192,0.028206,0.030864,-0.126137,0.6923,0.6864,0.6300,0.4795,0.2645,0.7273
86,0.027609,0.057246,0.027165,0.032316,-0.122517,0.6325,0.7288,0.6301,0.5863,0.2645,0.7121
87,0.021086,0.050546,0.029854,0.032333,-0.121979,0.7094,0.7119,0.6301,0.5158,0.2643,0.6970
88,0.021204,0.049822,0.028219,0.035040,-0.120923,0.6752,0.6695,0.6300,0.4702,0.2645,0.6818
89,0.015938,0.047282,0.027348,0.038816,-0.132451,0.6667,0.6864,0.6302,0.4722,0.2642,0.6667
90,0.021627,0.054010,0.027791,0.029306,-0.129642,0.7350,0.6441,0.6301,0.4396,0.2644,0.6515
91,0.015842,0.045750,0.025849,0.033281,-0.124024,0.6752,0.7373,0.6301,0.5672,0.2645,0.6364
92,0.019023,0.048035,0.028410,0.034604,-0.121977,0.6752,0.7288,0.6301,0.5424,0.2645,0.6212
93,0.014731,0.047627,0.030323,0.025681,-0.129014,0.7009,0.6780,0.6301,0.4789,0.2645,0.6061
94,0.016596,0.045026,0.030129,0.034673,-0.120101,0.6410,0.7203,0.6300,0.4725,0.2645,0.5909
95,0.019219,0.049359,0.031325,0.034755,-0.125909,0.5812,0.6864,0.6300,0.4726,0.2644,0.5758
96,0.018677,0.046620,0.031165,0.035581,-0.119148,0.6667,0.7034,0.6301,0.3973,0.2642,0.5606
97,0.019449,0.046509,0.030676,0.041459,-0.120067,0.6496,0.7034,0.6300,0.5926,0.2645,0.5455
98,0.012885,0.044924,0.031949,0.030261,-0.129189,0.7607,0.7119,0.6300,0.4765,0.2645,0.5303
99,0.014093,0.043849,0.032724,0.028639,-0.120603,0.5983,0.6949,0.6300,0.5224,0.2645,0.5152
100,0.012934,0.042620,0.030019,0.028136,-0.119990,0.6838,0.7203,0.6300,0.5220,0.2645,0.5000
