epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.516477,0.512653,0.011444,0.002881,-0.008882,0.8276,0.6412,0.6245,0.5724,0.3466,2.0000
2,0.175412,0.176859,0.001502,0.000388,-0.008629,0.8506,0.6743,0.6281,0.6076,0.3406,1.9211
3,0.194673,0.196392,0.001148,0.000220,-0.008887,0.8506,0.6845,0.6293,0.5814,0.3387,1.8421
4,0.206663,0.208530,0.001182,0.000432,-0.009468,0.5172,0.4860,0.6296,0.5980,0.3385,1.7632
5,0.166788,0.168875,0.001155,0.000566,-0.010199,0.8276,0.7048,0.6302,0.5714,0.3381,1.6842
6,0.161096,0.163687,0.000883,0.000434,-0.011481,0.5172,0.4885,0.6301,0.6059,0.3381,1.6053
7,0.180171,0.182633,0.001156,0.001194,-0.011866,0.5057,0.4936,0.6303,0.5860,0.3380,1.5263
8,0.173608,0.176816,0.000809,0.001072,-0.013809,0.8736,0.7201,0.6302,0.5719,0.3380,1.4474
9,0.146669,0.148993,0.001001,0.009870,-0.016920,0.6782,0.6209,0.6300,0.5651,0.3381,1.3684
10,0.112043,0.116438,0.001186,0.006230,-0.021520,0.7701,0.7125,0.6304,0.4432,0.3376,1.2895
11,0.123861,0.129532,0.000840,0.006950,-0.025904,0.8391,0.7226,0.6303,0.5126,0.3377,1.2105
12,0.110336,0.116291,0.000962,0.010813,-0.029445,0.8736,0.7379,0.6304,0.4720,0.3376,1.1316
13,0.133252,0.143074,0.001155,0.007908,-0.040662,0.6897,0.6336,0.6304,0.6389,0.3376,1.0526
14,0.109081,0.118197,0.000999,0.010691,-0.039958,0.8621,0.7430,0.6304,0.5199,0.3376,0.9737
15,0.111081,0.109836,0.001450,0.042581,-0.027166,0.7816,0.7506,0.6303,0.8551,0.3376,0.8947
16,0.145090,0.134005,0.000981,0.065507,-0.009251,0.7931,0.6997,0.6304,0.8551,0.3376,0.8158
17,0.114907,0.116470,0.001213,0.037421,-0.032772,0.3448,0.4198,0.6303,0.4853,0.3376,0.7368
18,0.108768,0.124082,0.001075,0.026602,-0.071301,0.8391,0.7252,0.6304,0.4832,0.3376,0.6579
19,0.080027,0.096920,0.001041,0.033078,-0.080802,0.8276,0.7354,0.6304,0.5316,0.3376,0.5789
20,0.074877,0.097407,0.001343,0.030253,-0.097974,0.6897,0.6489,0.6303,0.6181,0.3376,0.5000
