epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.777444,0.692041,0.009797,0.285399,0.7586,0.6590,0.6047,0.4664,0.3844,2.0000
2,0.285873,0.258473,0.001280,0.114935,0.8046,0.6845,0.6231,0.4658,0.3498,1.9211
3,0.284329,0.257608,0.001627,0.112808,0.8161,0.6921,0.6271,0.4657,0.3427,1.8421
4,0.266514,0.240134,0.001261,0.112197,0.6667,0.6132,0.6289,0.4656,0.3399,1.7632
5,0.218753,0.192733,0.000858,0.111704,0.6667,0.6412,0.6303,0.4656,0.3378,1.6842
6,0.203603,0.177625,0.000809,0.111708,0.5402,0.5140,0.6303,0.4656,0.3379,1.6053
7,0.195329,0.169230,0.001191,0.111725,0.8276,0.7379,0.6303,0.4656,0.3379,1.5263
8,0.222397,0.196372,0.000903,0.111742,0.5632,0.5725,0.6303,0.4656,0.3379,1.4474
9,0.186206,0.160334,0.000496,0.111723,0.4598,0.4936,0.6302,0.4656,0.3379,1.3684
10,0.194223,0.168141,0.001065,0.111775,0.6667,0.5903,0.6302,0.4656,0.3379,1.2895
11,0.177587,0.151627,0.000713,0.111793,0.7011,0.6387,0.6301,0.4656,0.3382,1.2105
12,0.161567,0.135504,0.001059,0.111799,0.8621,0.7608,0.6301,0.4656,0.3380,1.1316
13,0.158119,0.132142,0.000716,0.111799,0.8736,0.7405,0.6302,0.4656,0.3379,1.0526
14,0.151090,0.125108,0.000823,0.111803,0.8621,0.7430,0.6302,0.4656,0.3379,0.9737
15,0.149853,0.123915,0.000666,0.111796,0.5287,0.5318,0.6303,0.4656,0.3378,0.8947
16,0.144166,0.118143,0.000874,0.111800,0.8391,0.7532,0.6303,0.4656,0.3378,0.8158
17,0.135606,0.109634,0.000742,0.111808,0.5057,0.4987,0.6303,0.4656,0.3378,0.7368
18,0.145790,0.119764,0.000899,0.111802,0.8276,0.7608,0.6303,0.4656,0.3378,0.6579
19,0.141833,0.115823,0.000895,0.111801,0.8621,0.7532,0.6303,0.4656,0.3377,0.5789
20,0.141125,0.115096,0.001049,0.111799,0.8736,0.7608,0.6303,0.4656,0.3377,0.5000
