epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,3.149776,3.149627,0.014852,0.7203,0.6176,0.6322,2.0000
2,1.093959,1.093937,0.002204,0.7881,0.6246,0.6247,1.9848
3,1.065734,1.065718,0.001610,0.5763,0.6444,0.6071,1.9697
4,1.374911,1.374882,0.002891,0.6949,0.6448,0.6077,1.9545
5,0.935406,0.935378,0.002854,0.5932,0.6457,0.6068,1.9394
6,0.873422,0.873397,0.002501,0.6695,0.6390,0.6117,1.9242
7,0.708118,0.708089,0.002922,0.8220,0.6403,0.6109,1.9091
8,0.749433,0.749406,0.002678,0.7119,0.6369,0.6141,1.8939
9,0.665441,0.665415,0.002613,0.8220,0.6297,0.6203,1.8788
10,0.652395,0.652364,0.003098,0.8051,0.6356,0.6144,1.8636
11,0.593802,0.593774,0.002800,0.7119,0.6308,0.6197,1.8485
12,0.655646,0.655612,0.003359,0.8644,0.6333,0.6179,1.8333
13,0.595058,0.595024,0.003387,0.8390,0.6327,0.6176,1.8182
14,0.594572,0.594535,0.003681,0.8475,0.6302,0.6204,1.8030
15,0.595523,0.595483,0.003958,0.8136,0.6247,0.6254,1.7879
16,0.595379,0.595344,0.003481,0.7881,0.6319,0.6185,1.7727
17,0.590156,0.590121,0.003521,0.5000,0.6262,0.6242,1.7576
18,0.581053,0.581012,0.004039,0.8220,0.6278,0.6222,1.7424
19,0.552780,0.552736,0.004433,0.8644,0.6220,0.6282,1.7273
20,0.567274,0.567227,0.004750,0.7034,0.6270,0.6229,1.7121
21,0.583865,0.583820,0.004524,0.7881,0.6288,0.6209,1.6970
22,0.562824,0.562783,0.004115,0.7966,0.6256,0.6236,1.6818
23,0.567837,0.567790,0.004772,0.8390,0.6208,0.6283,1.6667
24,0.536228,0.536179,0.004875,0.8305,0.6162,0.6332,1.6515
25,0.565313,0.565265,0.004875,0.7966,0.6250,0.6244,1.6364
26,0.566288,0.566229,0.005922,0.8220,0.6200,0.6287,1.6212
27,0.551822,0.551767,0.005528,0.7881,0.6233,0.6260,1.6061
28,0.552933,0.552864,0.006971,0.7797,0.6212,0.6278,1.5909
29,0.507985,0.507919,0.006591,0.7288,0.6207,0.6280,1.5758
30,0.531287,0.531217,0.006942,0.8220,0.6166,0.6318,1.5606
31,0.549837,0.549769,0.006832,0.8475,0.6195,0.6290,1.5455
32,0.506749,0.506674,0.007443,0.8475,0.6199,0.6290,1.5303
33,0.555752,0.555675,0.007790,0.8220,0.6146,0.6336,1.5152
34,0.499262,0.499186,0.007625,0.7458,0.6147,0.6336,1.5000
35,0.505824,0.505733,0.009041,0.7966,0.6124,0.6365,1.4848
36,0.482995,0.482912,0.008344,0.8559,0.6130,0.6352,1.4697
37,0.543710,0.543628,0.008282,0.8305,0.6176,0.6311,1.4545
38,0.506576,0.506488,0.008822,0.8051,0.6126,0.6362,1.4394
39,0.502905,0.502810,0.009419,0.8220,0.6108,0.6384,1.4242
40,0.486938,0.486832,0.010536,0.8136,0.6110,0.6384,1.4091
41,0.510281,0.510185,0.009683,0.7627,0.6129,0.6357,1.3939
42,0.514134,0.514031,0.010333,0.8475,0.6114,0.6372,1.3788
43,0.431964,0.431854,0.010981,0.8559,0.6172,0.6317,1.3636
44,0.506321,0.506221,0.010038,0.8136,0.6145,0.6343,1.3485
45,0.491959,0.491855,0.010417,0.8559,0.6161,0.6329,1.3333
46,0.441885,0.441783,0.010164,0.7881,0.6170,0.6313,1.3182
47,0.446797,0.446671,0.012627,0.8305,0.6164,0.6326,1.3030
48,0.440686,0.440565,0.012141,0.8475,0.6130,0.6356,1.2879
49,0.449674,0.449558,0.011605,0.8814,0.6142,0.6344,1.2727
50,0.472016,0.471900,0.011607,0.8051,0.6124,0.6370,1.2576
51,0.486732,0.486619,0.011263,0.8559,0.6132,0.6349,1.2424
52,0.420032,0.419906,0.012591,0.8220,0.6108,0.6384,1.2273
53,0.471452,0.471327,0.012461,0.8729,0.6144,0.6338,1.2121
54,0.438869,0.438745,0.012319,0.8559,0.6110,0.6379,1.1970
55,0.467064,0.466920,0.014411,0.8220,0.6142,0.6346,1.1818
56,0.438473,0.438341,0.013190,0.8559,0.6105,0.6391,1.1667
57,0.422264,0.422127,0.013632,0.8136,0.6130,0.6352,1.1515
58,0.437788,0.437648,0.013922,0.8390,0.6116,0.6372,1.1364
59,0.413251,0.413115,0.013635,0.8814,0.6147,0.6337,1.1212
60,0.444085,0.443958,0.012673,0.8475,0.6141,0.6345,1.1061
61,0.429596,0.429448,0.014837,0.8136,0.6184,0.6307,1.0909
62,0.406802,0.406667,0.013484,0.8051,0.6135,0.6348,1.0758
63,0.415361,0.415217,0.014463,0.8305,0.6108,0.6378,1.0606
64,0.383676,0.383526,0.014921,0.8729,0.6129,0.6366,1.0455
65,0.363821,0.363671,0.014950,0.8051,0.6110,0.6385,1.0303
66,0.367401,0.367258,0.014228,0.8814,0.6167,0.6322,1.0152
67,0.440804,0.440666,0.013828,0.8051,0.6094,0.6393,1.0000
68,0.365432,0.365291,0.014094,0.8475,0.6080,0.6418,0.9848
69,0.408437,0.408283,0.015385,0.8305,0.6126,0.6369,0.9697
70,0.367723,0.367566,0.015704,0.7203,0.6083,0.6412,0.9545
71,0.399847,0.399704,0.014306,0.8305,0.6066,0.6428,0.9394
72,0.377262,0.377113,0.014890,0.8390,0.6079,0.6425,0.9242
