epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,0.565538,0.554413,0.023263,0.7023,0.3408,0.8290,2.0000
2,0.192296,0.191690,0.001443,0.6921,0.3175,0.8656,1.9211
3,0.251606,0.251212,0.000979,0.4784,0.2809,0.8922,1.8421
4,0.144998,0.144814,0.000476,0.7201,0.2873,0.8910,1.7632
5,0.153547,0.153341,0.000546,0.6768,0.2827,0.8943,1.6842
6,0.171898,0.171651,0.000639,0.7023,0.2880,0.8914,1.6053
7,0.187655,0.187404,0.000646,0.6667,0.2589,0.9063,1.5263
8,0.167873,0.167670,0.000541,0.7176,0.2625,0.9046,1.4474
9,0.156176,0.155958,0.000600,0.7023,0.2625,0.9048,1.3684
10,0.140908,0.140706,0.000565,0.7201,0.2884,0.8874,1.2895
11,0.132325,0.132129,0.000533,0.6209,0.2651,0.9034,1.2105
12,0.110736,0.110575,0.000446,0.7125,0.2637,0.9044,1.1316
13,0.108414,0.108258,0.000442,0.5623,0.2528,0.9086,1.0526
14,0.123894,0.123749,0.000390,0.7252,0.2549,0.9079,0.9737
15,0.118891,0.118752,0.000399,0.7023,0.2536,0.9085,0.8947
16,0.100921,0.100749,0.000494,0.7328,0.2573,0.9074,0.8158
17,0.116081,0.115874,0.000587,0.7557,0.2547,0.9081,0.7368
18,0.112499,0.112292,0.000583,0.7481,0.2516,0.9090,0.6579
19,0.094962,0.094800,0.000478,0.7176,0.2527,0.9088,0.5789
20,0.094916,0.094719,0.000569,0.7277,0.2515,0.9091,0.5000
