epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.483016,0.474016,0.082265,0.5726,0.6017,1.0000,-0.0463,2.0000
2,0.229370,0.220370,0.020918,0.7179,0.7034,1.0000,-0.0463,1.9848
3,0.219365,0.210365,0.026103,0.7094,0.7119,1.0000,-0.0463,1.9697
4,0.154389,0.145389,0.017181,0.7009,0.7119,1.0000,-0.0463,1.9545
5,0.170240,0.161240,0.019006,0.5641,0.6186,1.0000,-0.0463,1.9394
6,0.147761,0.138761,0.015438,0.6410,0.6186,1.0000,-0.0463,1.9242
7,0.168698,0.159698,0.018341,0.4701,0.3983,1.0000,-0.0463,1.9091
8,0.145215,0.136215,0.017834,0.6667,0.6525,1.0000,-0.0463,1.8939
9,0.133730,0.124730,0.017896,0.7350,0.7542,1.0000,-0.0463,1.8788
10,0.126532,0.117532,0.015841,0.6154,0.6356,1.0000,-0.0463,1.8636
11,0.134048,0.125048,0.018531,0.7350,0.7288,1.0000,-0.0463,1.8485
12,0.110958,0.101958,0.018429,0.7436,0.7373,1.0000,-0.0463,1.8333
13,0.119295,0.110295,0.018527,0.6752,0.6949,1.0000,-0.0463,1.8182
14,0.106772,0.097772,0.020263,0.7009,0.7373,1.0000,-0.0463,1.8030
15,0.122917,0.113917,0.022440,0.7607,0.7119,1.0000,-0.0463,1.7879
16,0.112418,0.103418,0.021589,0.6068,0.6525,1.0000,-0.0463,1.7727
17,0.108042,0.099042,0.020154,0.7179,0.7288,1.0000,-0.0463,1.7576
18,0.101243,0.092243,0.021568,0.6667,0.6441,1.0000,-0.0463,1.7424
19,0.097069,0.088069,0.022250,0.6667,0.6695,1.0000,-0.0463,1.7273
20,0.099157,0.090157,0.022081,0.6838,0.7203,1.0000,-0.0463,1.7121
21,0.096417,0.087417,0.023945,0.7436,0.7119,1.0000,-0.0463,1.6970
22,0.093695,0.084695,0.025048,0.7692,0.6780,1.0000,-0.0463,1.6818
23,0.090371,0.081371,0.025654,0.7009,0.7373,1.0000,-0.0463,1.6667
24,0.093082,0.084082,0.027442,0.7350,0.6780,1.0000,-0.0463,1.6515
25,0.089881,0.080881,0.030257,0.7350,0.7119,1.0000,-0.0463,1.6364
26,0.091404,0.082404,0.031819,0.7778,0.7203,1.0000,-0.0463,1.6212
27,0.089610,0.080610,0.031521,0.7179,0.7373,1.0000,-0.0463,1.6061
28,0.086416,0.077416,0.033478,0.7179,0.7627,1.0000,-0.0463,1.5909
29,0.083116,0.074116,0.035642,0.7521,0.7034,1.0000,-0.0463,1.5758
30,0.081521,0.072521,0.038344,0.6239,0.6271,1.0000,-0.0463,1.5606
31,0.088894,0.079894,0.033760,0.6838,0.7203,1.0000,-0.0463,1.5455
32,0.086240,0.077240,0.034429,0.7179,0.7542,1.0000,-0.0463,1.5303
33,0.081519,0.072519,0.039584,0.6410,0.5593,1.0000,-0.0463,1.5152
34,0.089531,0.080531,0.042737,0.7350,0.7542,1.0000,-0.0463,1.5000
35,0.083035,0.074035,0.041264,0.6923,0.7034,1.0000,-0.0463,1.4848
36,0.082699,0.073699,0.050654,0.6154,0.6695,1.0000,-0.0463,1.4697
37,0.082762,0.073762,0.051033,0.7521,0.7119,1.0000,-0.0463,1.4545
38,0.077761,0.068761,0.053626,0.7607,0.7627,1.0000,-0.0463,1.4394
39,0.075033,0.066033,0.057862,0.7863,0.7119,1.0000,-0.0463,1.4242
40,0.073624,0.064624,0.051465,0.6667,0.7373,1.0000,-0.0463,1.4091
