epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,1.061672,0.912997,0.030514,0.444529,0.4713,0.4504,0.5979,0.4184,0.3257,2.0000
2,0.248734,0.206432,0.001819,0.135799,0.6207,0.6183,0.6207,0.4065,0.2696,1.9211
3,0.234207,0.195672,0.001456,0.124675,0.6552,0.6361,0.6272,0.4063,0.2547,1.8421
4,0.216029,0.177655,0.001426,0.124293,0.7356,0.6336,0.6285,0.4063,0.2519,1.7632
5,0.236244,0.197731,0.001840,0.124300,0.3793,0.4148,0.6284,0.4063,0.2525,1.6842
6,0.205869,0.167558,0.001380,0.124301,0.7701,0.6819,0.6288,0.4063,0.2514,1.6053
7,0.200569,0.162211,0.001560,0.124293,0.6897,0.6183,0.6290,0.4063,0.2510,1.5263
8,0.220012,0.181569,0.001829,0.124301,0.7701,0.6947,0.6290,0.4063,0.2510,1.4474
9,0.168154,0.129912,0.001322,0.124305,0.7701,0.7252,0.6293,0.4063,0.2507,1.3684
10,0.190467,0.152242,0.001239,0.124334,0.6667,0.6565,0.6294,0.4063,0.2501,1.2895
11,0.172879,0.134591,0.001441,0.124324,0.7241,0.7023,0.6295,0.4063,0.2500,1.2105
12,0.164916,0.126845,0.000854,0.124289,0.7701,0.7532,0.6295,0.4063,0.2500,1.1316
13,0.166955,0.128798,0.000997,0.124397,0.7356,0.7176,0.6295,0.4063,0.2500,1.0526
14,0.152965,0.114804,0.001151,0.124321,0.6667,0.6565,0.6298,0.4063,0.2494,0.9737
15,0.157276,0.119120,0.001137,0.124299,0.7586,0.7303,0.6298,0.4063,0.2493,0.8947
16,0.172067,0.133962,0.000969,0.124293,0.7586,0.7099,0.6297,0.4063,0.2494,0.8158
17,0.149188,0.111014,0.001244,0.124286,0.7356,0.6743,0.6300,0.4063,0.2491,0.7368
18,0.163587,0.125414,0.001364,0.124237,0.7126,0.6463,0.6299,0.4063,0.2491,0.6579
19,0.138368,0.100109,0.001530,0.124228,0.5517,0.4936,0.6301,0.4063,0.2487,0.5789
20,0.148129,0.110062,0.001063,0.124178,0.7701,0.7328,0.6301,0.4063,0.2487,0.5000
