epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,4.115514,4.083051,0.064654,0.6819,0.3476,0.8279,2.0000
2,1.539370,1.537090,0.004477,0.6641,0.2760,0.8875,1.9211
3,1.067752,1.066325,0.002807,0.6692,0.2543,0.9036,1.8421
4,1.106958,1.105965,0.001971,0.6743,0.2455,0.9105,1.7632
5,0.952257,0.951533,0.001461,0.5878,0.2317,0.9191,1.6842
6,0.774008,0.773257,0.001545,0.7074,0.2389,0.9147,1.6053
7,0.904254,0.903765,0.001011,0.6667,0.2543,0.9073,1.5263
8,0.901704,0.901257,0.000935,0.4504,0.2689,0.8982,1.4474
9,1.101478,1.100869,0.001295,0.6845,0.2692,0.8987,1.3684
10,0.750868,0.750236,0.001358,0.7023,0.2769,0.8918,1.2895
11,0.715214,0.714725,0.001065,0.6718,0.2792,0.8883,1.2105
12,0.757206,0.756537,0.001451,0.7176,0.2705,0.8977,1.1316
13,0.640255,0.639727,0.001185,0.7405,0.2447,0.9136,1.0526
14,0.683295,0.682816,0.001063,0.6845,0.2433,0.9148,0.9737
15,0.762594,0.762115,0.001077,0.6768,0.2409,0.9167,0.8947
16,0.615855,0.615514,0.000795,0.6947,0.2460,0.9144,0.8158
17,0.717968,0.717410,0.001269,0.7481,0.2341,0.9207,0.7368
18,0.672791,0.672244,0.001241,0.7099,0.2391,0.9182,0.6579
19,0.591639,0.591168,0.001077,0.5827,0.2359,0.9201,0.5789
20,0.607931,0.607441,0.001123,0.7328,0.2200,0.9277,0.5000
