epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,2.702074,2.701943,0.013017,0.5897,0.4269,0.5809,2.0000
2,1.531012,1.531001,0.001085,0.6154,0.4027,0.6177,1.9848
3,1.390694,1.390688,0.000593,0.6667,0.4084,0.5842,1.9697
4,0.979532,0.979528,0.000327,0.6496,0.4137,0.5884,1.9545
5,1.042051,1.042047,0.000474,0.6410,0.4223,0.5808,1.9394
6,0.963457,0.963452,0.000481,0.6667,0.3965,0.6158,1.9242
7,0.950417,0.950413,0.000395,0.6581,0.4136,0.5971,1.9091
8,0.848613,0.848609,0.000391,0.6923,0.3974,0.6190,1.8939
9,0.809480,0.809477,0.000286,0.7179,0.4063,0.6113,1.8788
10,0.730645,0.730642,0.000270,0.7265,0.4020,0.6183,1.8636
11,0.706290,0.706287,0.000258,0.6923,0.3960,0.6243,1.8485
12,0.698212,0.698210,0.000218,0.7607,0.4043,0.6150,1.8333
13,0.729370,0.729367,0.000328,0.7436,0.4156,0.6022,1.8182
14,0.648332,0.648327,0.000542,0.6410,0.4124,0.6073,1.8030
15,0.683676,0.683672,0.000387,0.6581,0.4194,0.5999,1.7879
16,0.639065,0.639062,0.000340,0.7094,0.4262,0.5939,1.7727
17,0.654975,0.654971,0.000415,0.7009,0.4076,0.6192,1.7576
18,0.627708,0.627704,0.000422,0.6496,0.4231,0.6008,1.7424
19,0.614569,0.614564,0.000474,0.7521,0.4106,0.6186,1.7273
20,0.598132,0.598127,0.000510,0.6239,0.4037,0.6242,1.7121
21,0.613667,0.613664,0.000329,0.7265,0.4182,0.6091,1.6970
22,0.652422,0.652416,0.000608,0.7436,0.4449,0.5774,1.6818
23,0.582503,0.582498,0.000459,0.7521,0.4307,0.5927,1.6667
24,0.569158,0.569153,0.000527,0.7436,0.4359,0.5859,1.6515
25,0.598117,0.598108,0.000849,0.7265,0.4428,0.5726,1.6364
26,0.610319,0.610310,0.000890,0.7179,0.4351,0.5827,1.6212
27,0.578426,0.578413,0.001277,0.7265,0.4324,0.5879,1.6061
28,0.579657,0.579644,0.001353,0.7607,0.4419,0.5744,1.5909
29,0.593133,0.593119,0.001394,0.7179,0.4482,0.5626,1.5758
30,0.555091,0.555080,0.001174,0.7692,0.4645,0.5414,1.5606
31,0.571507,0.571493,0.001362,0.7692,0.4553,0.5562,1.5455
32,0.541005,0.540990,0.001489,0.7607,0.4590,0.5482,1.5303
33,0.550524,0.550507,0.001678,0.7607,0.4580,0.5491,1.5152
34,0.540295,0.540277,0.001779,0.7692,0.4568,0.5513,1.5000
35,0.534098,0.534080,0.001712,0.7350,0.4541,0.5538,1.4848
36,0.556570,0.556547,0.002350,0.7179,0.4625,0.5444,1.4697
37,0.526965,0.526942,0.002270,0.7521,0.4696,0.5336,1.4545
38,0.517003,0.516973,0.003039,0.7521,0.4670,0.5345,1.4394
39,0.533336,0.533308,0.002769,0.6838,0.4808,0.5167,1.4242
40,0.533306,0.533275,0.003082,0.7778,0.4700,0.5330,1.4091
41,0.546149,0.546120,0.002909,0.7692,0.4674,0.5358,1.3939
42,0.517398,0.517367,0.003021,0.7521,0.4690,0.5369,1.3788
43,0.527194,0.527163,0.003132,0.7607,0.4768,0.5233,1.3636
44,0.489338,0.489302,0.003671,0.7009,0.4839,0.5126,1.3485
45,0.523699,0.523662,0.003752,0.7350,0.4688,0.5351,1.3333
46,0.518702,0.518664,0.003861,0.7607,0.4900,0.5058,1.3182
47,0.536254,0.536205,0.004919,0.7521,0.4769,0.5192,1.3030
48,0.483096,0.483054,0.004279,0.7778,0.4893,0.5045,1.2879
49,0.492812,0.492765,0.004664,0.7265,0.4961,0.4964,1.2727
50,0.484524,0.484475,0.004874,0.7436,0.5002,0.4886,1.2576
51,0.485703,0.485656,0.004696,0.7521,0.4913,0.4998,1.2424
52,0.520849,0.520795,0.005362,0.7265,0.4980,0.4909,1.2273
53,0.471286,0.471239,0.004726,0.7350,0.4938,0.4958,1.2121
54,0.458304,0.458252,0.005273,0.7094,0.4995,0.4869,1.1970
55,0.518830,0.518778,0.005221,0.7350,0.5081,0.4762,1.1818
56,0.516212,0.516151,0.006160,0.7094,0.4934,0.4975,1.1667
57,0.470862,0.470805,0.005698,0.7179,0.5106,0.4725,1.1515
58,0.491389,0.491336,0.005219,0.7436,0.4927,0.4953,1.1364
59,0.442292,0.442228,0.006373,0.7179,0.4950,0.4920,1.1212
60,0.478422,0.478359,0.006351,0.7179,0.5099,0.4721,1.1061
61,0.459553,0.459484,0.006957,0.7265,0.5107,0.4706,1.0909
62,0.448622,0.448552,0.007012,0.7179,0.5083,0.4729,1.0758
63,0.445163,0.445093,0.007031,0.7350,0.5091,0.4702,1.0606
64,0.434927,0.434857,0.006980,0.6154,0.5199,0.4545,1.0455
65,0.416468,0.416398,0.007073,0.6752,0.5172,0.4586,1.0303
66,0.476978,0.476906,0.007197,0.6838,0.5202,0.4539,1.0152
67,0.441597,0.441517,0.007957,0.7094,0.5194,0.4519,1.0000
68,0.471134,0.471061,0.007338,0.7521,0.5181,0.4540,0.9848
69,0.433635,0.433560,0.007492,0.7179,0.5297,0.4370,0.9697
70,0.452830,0.452747,0.008318,0.7692,0.5254,0.4425,0.9545
71,0.429774,0.429696,0.007840,0.7179,0.5259,0.4405,0.9394
72,0.423220,0.423127,0.009289,0.7179,0.5373,0.4205,0.9242
73,0.431560,0.431461,0.009917,0.7009,0.5288,0.4323,0.9091
74,0.391123,0.391023,0.009956,0.7265,0.5322,0.4279,0.8939
75,0.396369,0.396271,0.009779,0.7179,0.5406,0.4146,0.8788
76,0.392367,0.392265,0.010132,0.7265,0.5461,0.4077,0.8636
77,0.425322,0.425224,0.009786,0.7179,0.5375,0.4200,0.8485
78,0.378552,0.378457,0.009407,0.7521,0.5413,0.4123,0.8333
79,0.335591,0.335490,0.010013,0.7265,0.5449,0.4063,0.8182
80,0.387815,0.387716,0.009935,0.7265,0.5366,0.4199,0.8030
81,0.387501,0.387391,0.010924,0.7179,0.5501,0.3971,0.7879
82,0.392314,0.392210,0.010373,0.7521,0.5444,0.4052,0.7727
83,0.346879,0.346777,0.010170,0.7607,0.5441,0.4079,0.7576
84,0.417300,0.417196,0.010464,0.7436,0.5457,0.4025,0.7424
85,0.428569,0.428460,0.010833,0.7094,0.5408,0.4104,0.7273
86,0.353950,0.353841,0.010947,0.7778,0.5470,0.4016,0.7121
87,0.387887,0.387773,0.011443,0.7521,0.5459,0.4030,0.6970
88,0.381333,0.381205,0.012753,0.7607,0.5482,0.3999,0.6818
89,0.381703,0.381582,0.012075,0.7179,0.5502,0.3956,0.6667
90,0.346911,0.346789,0.012209,0.7692,0.5542,0.3902,0.6515
91,0.411784,0.411655,0.012929,0.7949,0.5517,0.3940,0.6364
92,0.320043,0.319912,0.013161,0.7521,0.5524,0.3928,0.6212
93,0.307078,0.306952,0.012597,0.7521,0.5545,0.3881,0.6061
94,0.314034,0.313907,0.012758,0.7607,0.5514,0.3919,0.5909
95,0.353836,0.353708,0.012893,0.7521,0.5556,0.3869,0.5758
96,0.351875,0.351740,0.013489,0.6923,0.5551,0.3883,0.5606
97,0.396582,0.396456,0.012548,0.7692,0.5549,0.3878,0.5455
98,0.383183,0.383059,0.012428,0.7863,0.5508,0.3944,0.5303
99,0.309353,0.309217,0.013640,0.7265,0.5559,0.3860,0.5152
100,0.345563,0.345435,0.012735,0.7521,0.5574,0.3830,0.5000
