epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.967138,0.960383,0.017713,0.002468,-0.008997,0.6322,0.6209,0.6170,0.6038,0.2784,2.0000
2,0.240668,0.241945,0.001920,0.000167,-0.008689,0.6207,0.5242,0.6250,0.5898,0.2594,1.9211
3,0.242714,0.244340,0.000980,0.000559,-0.008744,0.6322,0.5776,0.6299,0.5930,0.2492,1.8421
4,0.173948,0.175647,0.001127,0.000292,-0.008818,0.6207,0.5623,0.6302,0.6060,0.2488,1.7632
5,0.163665,0.165613,0.000806,0.000286,-0.009209,0.6552,0.6260,0.6303,0.5896,0.2487,1.6842
6,0.191243,0.193396,0.000815,0.000296,-0.009896,0.7356,0.6819,0.6303,0.5936,0.2487,1.6053
7,0.189140,0.191480,0.000585,0.000548,-0.010370,0.3793,0.4148,0.6303,0.5832,0.2487,1.5263
8,0.174801,0.177267,0.000568,0.001235,-0.011262,0.6667,0.6234,0.6302,0.5446,0.2487,1.4474
9,0.166340,0.169450,0.000802,0.001085,-0.013535,0.7586,0.7099,0.6302,0.5886,0.2487,1.3684
10,0.166208,0.166292,0.000640,0.016280,-0.013416,0.6782,0.6539,0.6302,0.4796,0.2487,1.2895
11,0.167819,0.170383,0.001144,0.002584,-0.013021,0.7241,0.7252,0.6302,0.5753,0.2487,1.2105
12,0.135464,0.139376,0.001035,0.002151,-0.017079,0.7701,0.7303,0.6301,0.5597,0.2487,1.1316
13,0.135632,0.141482,0.001040,0.005985,-0.026039,0.7586,0.7048,0.6302,0.6025,0.2487,1.0526
14,0.146444,0.152911,0.000894,0.007398,-0.028899,0.8161,0.7430,0.6302,0.5142,0.2487,0.9737
15,0.114010,0.121405,0.001094,0.006868,-0.031840,0.7701,0.7430,0.6302,0.6596,0.2487,0.8947
16,0.137234,0.144472,0.001192,0.010574,-0.033908,0.7701,0.7430,0.6302,0.6312,0.2487,0.8158
17,0.103589,0.111974,0.001120,0.008650,-0.036268,0.6322,0.5547,0.6302,0.5969,0.2487,0.7368
18,0.102686,0.111552,0.001065,0.008931,-0.037950,0.7356,0.6870,0.6304,0.4978,0.2487,0.6579
19,0.114086,0.118751,0.000871,0.012142,-0.026008,0.6667,0.6819,0.6303,0.5653,0.2487,0.5789
20,0.111380,0.122143,0.001179,0.008206,-0.043895,0.7701,0.7506,0.6303,0.5840,0.2487,0.5000
