epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.480279,0.451160,0.008826,0.241789,0.5726,0.6186,0.6245,0.2521,0.5019,2.0000
2,0.250467,0.248934,0.000814,0.006938,0.6752,0.5508,0.6277,0.2504,0.4983,1.9848
3,0.218201,0.217320,0.000521,0.001823,0.6667,0.6864,0.6295,0.2501,0.4969,1.9697
4,0.152715,0.151981,0.000397,0.000971,0.7179,0.6610,0.6296,0.2501,0.4968,1.9545
5,0.150624,0.149873,0.000534,0.000780,0.6325,0.6780,0.6296,0.2501,0.4968,1.9394
6,0.204745,0.203916,0.000654,0.000959,0.4786,0.3983,0.6295,0.2501,0.4968,1.9242
7,0.143381,0.142606,0.000557,0.000931,0.6752,0.6864,0.6298,0.2500,0.4967,1.9091
8,0.168028,0.167395,0.000304,0.000559,0.7009,0.6864,0.6297,0.2501,0.4968,1.8939
9,0.128687,0.127973,0.000424,0.000784,0.7009,0.7034,0.6297,0.2501,0.4968,1.8788
10,0.164533,0.163812,0.000448,0.000741,0.6239,0.6610,0.6296,0.2501,0.4968,1.8636
11,0.122781,0.122061,0.000484,0.000783,0.6923,0.6525,0.6298,0.2500,0.4967,1.8485
12,0.112323,0.111664,0.000424,0.000431,0.7094,0.6695,0.6296,0.2501,0.4968,1.8333
13,0.113416,0.112730,0.000484,0.000456,0.6239,0.6441,0.6298,0.2500,0.4967,1.8182
14,0.107731,0.107086,0.000459,0.000397,0.6667,0.5678,0.6297,0.2500,0.4967,1.8030
15,0.123037,0.122357,0.000486,0.000428,0.6667,0.6695,0.6298,0.2500,0.4967,1.7879
16,0.126649,0.125950,0.000528,0.000381,0.5726,0.5254,0.6298,0.2500,0.4967,1.7727
17,0.115600,0.114896,0.000585,0.000371,0.7350,0.6356,0.6299,0.2500,0.4966,1.7576
18,0.105855,0.105193,0.000478,0.000278,0.6923,0.7203,0.6298,0.2500,0.4967,1.7424
19,0.099299,0.098593,0.000544,0.000403,0.7009,0.6780,0.6298,0.2500,0.4967,1.7273
20,0.102825,0.102175,0.000463,0.000290,0.7009,0.7034,0.6298,0.2500,0.4967,1.7121
21,0.107411,0.106733,0.000509,0.000340,0.5983,0.6780,0.6299,0.2500,0.4966,1.6970
22,0.099729,0.099023,0.000625,0.000360,0.6581,0.5424,0.6299,0.2500,0.4966,1.6818
23,0.095347,0.094696,0.000495,0.000246,0.7009,0.7034,0.6298,0.2500,0.4966,1.6667
24,0.093732,0.093064,0.000570,0.000326,0.7265,0.7034,0.6297,0.2500,0.4967,1.6515
