epoch,loss,val_acc,test_acc
1,5.012989040392416,0.47863247863247865,0.4491525423728814
2,1.2372402487875322,0.6239316239316239,0.5677966101694916
3,1.0001709450787863,0.6495726495726496,0.6864406779661016
4,0.7509638913526878,0.6239316239316239,0.6186440677966102
5,0.6280589693898487,0.5726495726495726,0.6440677966101694
6,0.6089408879473506,0.6068376068376068,0.6016949152542372
7,0.5509065395163832,0.49572649572649574,0.5084745762711864
8,0.5544160198605959,0.5982905982905983,0.6610169491525424
9,0.5677362886333516,0.6837606837606838,0.6271186440677966
10,0.5026772842838302,0.7008547008547008,0.7372881355932204
11,0.520941982640315,0.6495726495726496,0.7203389830508474
12,0.5410285166060811,0.47863247863247865,0.3983050847457627
13,0.4931441817278574,0.7264957264957265,0.6610169491525424
14,0.47832827276351725,0.5128205128205128,0.4745762711864407
15,0.45290732766133224,0.6324786324786325,0.7203389830508474
16,0.45184303888871336,0.6324786324786325,0.711864406779661
17,0.45305074412427043,0.7094017094017094,0.711864406779661
18,0.4955968016784239,0.6239316239316239,0.7288135593220338
19,0.44103762980704597,0.7008547008547008,0.7372881355932204
20,0.4278684648648616,0.6239316239316239,0.652542372881356
21,0.4542456252356223,0.6068376068376068,0.6779661016949152
22,0.4599579769489874,0.4700854700854701,0.4067796610169492
23,0.42828244686695577,0.5128205128205128,0.4152542372881356
24,0.4294595673015146,0.6495726495726496,0.6949152542372882
25,0.4387508326566611,0.7350427350427351,0.7372881355932204
26,0.4272069455552076,0.7008547008547008,0.7627118644067796
27,0.42167042036988195,0.6752136752136753,0.711864406779661
28,0.41872540670955677,0.717948717948718,0.7711864406779662
29,0.39798472009200214,0.6068376068376068,0.5423728813559322
30,0.395550562813483,0.5555555555555556,0.4576271186440678
31,0.44213966353700623,0.5042735042735043,0.4406779661016949
32,0.4183314634765541,0.7008547008547008,0.7203389830508474
33,0.39203144035135196,0.6153846153846154,0.5677966101694916
34,0.4008677573983231,0.5726495726495726,0.6864406779661016
35,0.4254293030449846,0.5555555555555556,0.5084745762711864
36,0.37938899670610027,0.5641025641025641,0.6101694915254238
37,0.4319679656076864,0.5982905982905983,0.652542372881356
38,0.4178834872306468,0.7094017094017094,0.711864406779661
39,0.41012237432747606,0.6495726495726496,0.7711864406779662
40,0.3785772285269117,0.5982905982905983,0.5338983050847458
41,0.3428130053588182,0.6068376068376068,0.576271186440678
42,0.3657918169734998,0.7094017094017094,0.6864406779661016
43,0.37695025461839465,0.6068376068376068,0.576271186440678
44,0.3290595677488682,0.5042735042735043,0.4491525423728814
45,0.3274840060458543,0.6153846153846154,0.5677966101694916
46,0.3197717513871297,0.6837606837606838,0.7288135593220338
47,0.3210392301943655,0.6923076923076923,0.7627118644067796
48,0.29911765950600583,0.6324786324786325,0.7288135593220338
49,0.3190333507856313,0.717948717948718,0.6694915254237288
50,0.26868465259248514,0.6068376068376068,0.5254237288135594
51,0.3134446847232795,0.6153846153846154,0.711864406779661
52,0.29600064171091006,0.7264957264957265,0.6694915254237288
53,0.2817582732870432,0.7008547008547008,0.652542372881356
54,0.2774726320848201,0.6581196581196581,0.635593220338983
55,0.289582850535974,0.6581196581196581,0.5677966101694916
56,0.3055834807354695,0.6837606837606838,0.6016949152542372
57,0.26408598136575545,0.6581196581196581,0.6101694915254238
58,0.25878950416022556,0.6495726495726496,0.7372881355932204
59,0.23427699047454592,0.6752136752136753,0.6864406779661016
60,0.2238988494783686,0.6923076923076923,0.6949152542372882
61,0.21490848440923707,0.7094017094017094,0.7457627118644068
62,0.20853007166350876,0.6495726495726496,0.7033898305084746
63,0.22798812478950617,0.6666666666666666,0.6864406779661016
64,0.2566134581177654,0.6495726495726496,0.6864406779661016
65,0.267684936594299,0.7435897435897436,0.652542372881356
66,0.18327539809757284,0.6581196581196581,0.7203389830508474
67,0.23977917846626534,0.717948717948718,0.6440677966101694
68,0.22319282849802224,0.6752136752136753,0.6271186440677966
69,0.2318646834033896,0.7008547008547008,0.6186440677966102
70,0.17156333445016075,0.6666666666666666,0.7033898305084746
71,0.18759932868727824,0.7008547008547008,0.7372881355932204
72,0.2294077101380348,0.7264957264957265,0.6779661016949152
73,0.16378906050344882,0.7094017094017094,0.7288135593220338
74,0.2244935776544651,0.6153846153846154,0.5677966101694916
75,0.19815001876783792,0.7008547008547008,0.7372881355932204
76,0.18905393841443646,0.7264957264957265,0.7288135593220338
77,0.18439690854493232,0.6837606837606838,0.6610169491525424
78,0.21356920365042675,0.6581196581196581,0.7033898305084746
79,0.18389246124475586,0.6923076923076923,0.6864406779661016
80,0.20160231215898208,0.717948717948718,0.7033898305084746
81,0.2066835081204772,0.717948717948718,0.6779661016949152
82,0.17063090592387703,0.7350427350427351,0.6694915254237288
83,0.18676866276805418,0.6752136752136753,0.7203389830508474
84,0.1799652095388359,0.717948717948718,0.7372881355932204
85,0.20633601835592574,0.6495726495726496,0.6271186440677966
86,0.1776683799616799,0.6666666666666666,0.7203389830508474
87,0.16430656004627706,0.7094017094017094,0.7033898305084746
88,0.18874899516870244,0.6752136752136753,0.7288135593220338
89,0.21399051029305832,0.6923076923076923,0.6271186440677966
90,0.20433591171794926,0.6923076923076923,0.6271186440677966
91,0.18960102801308706,0.7264957264957265,0.6864406779661016
92,0.18692372652231928,0.7435897435897436,0.7711864406779662
93,0.11699044254259947,0.7008547008547008,0.7542372881355932
94,0.16578935383140242,0.6752136752136753,0.7627118644067796
95,0.1389407043706123,0.6752136752136753,0.6949152542372882
96,0.16078501563318753,0.7094017094017094,0.7033898305084746
97,0.15234541706030236,0.717948717948718,0.6864406779661016
98,0.1646152373795055,0.6752136752136753,0.6016949152542372
99,0.17252753153929737,0.7264957264957265,0.7542372881355932
100,0.18973525230721439,0.717948717948718,0.7288135593220338
