epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,3.409777,3.382770,0.049202,0.5102,0.6018,0.3581,2.0000
2,1.095985,1.090987,0.008617,0.6811,0.6455,0.2741,1.9483
3,1.071884,1.068702,0.006040,0.6556,0.6584,0.2407,1.8966
4,1.058789,1.056880,0.003693,0.5000,0.6755,0.2291,1.8448
5,0.944753,0.941931,0.005490,0.6709,0.6674,0.2393,1.7931
6,0.874946,0.873052,0.003703,0.6837,0.6681,0.2291,1.7414
7,1.025795,1.024471,0.002711,0.6913,0.6754,0.2157,1.6897
8,0.812374,0.810857,0.003048,0.6301,0.6757,0.2187,1.6379
9,0.764992,0.763236,0.003482,0.6403,0.6688,0.2338,1.5862
10,0.702126,0.700785,0.002823,0.6633,0.6769,0.2049,1.5345
11,0.684697,0.682756,0.004026,0.6888,0.6399,0.2618,1.4828
12,0.757822,0.756462,0.002818,0.7245,0.6925,0.1740,1.4310
13,0.716091,0.714309,0.003750,0.7296,0.6601,0.2305,1.3793
14,0.623640,0.621613,0.004278,0.7270,0.6994,0.1722,1.3276
15,0.634837,0.633026,0.003716,0.6888,0.6480,0.2431,1.2759
16,0.615532,0.614255,0.002710,0.7219,0.6668,0.2127,1.2241
17,0.673693,0.671808,0.003737,0.7296,0.6858,0.1844,1.1724
18,0.575123,0.573318,0.003873,0.7066,0.6735,0.2068,1.1207
19,0.547088,0.545152,0.004128,0.6709,0.6777,0.1980,1.0690
20,0.605622,0.603946,0.003562,0.7219,0.6784,0.1916,1.0172
21,0.595421,0.593526,0.003955,0.7296,0.6517,0.2424,0.9655
22,0.599469,0.597428,0.004134,0.7500,0.6894,0.1860,0.9138
23,0.580616,0.579008,0.003480,0.6811,0.6792,0.1960,0.8621
24,0.563647,0.561847,0.003866,0.7245,0.6734,0.1939,0.8103
25,0.554528,0.553021,0.003240,0.7321,0.6882,0.1704,0.7586
26,0.556951,0.555058,0.004051,0.7168,0.6775,0.1961,0.7069
27,0.569444,0.567606,0.003730,0.6990,0.6734,0.1863,0.6552
28,0.540754,0.538965,0.003806,0.6658,0.6842,0.1680,0.6034
29,0.555833,0.554188,0.003504,0.7474,0.6673,0.2017,0.5517
30,0.555515,0.553762,0.003794,0.5969,0.6492,0.2282,0.5000
