epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.489289,0.478230,0.019802,0.5470,0.4746,0.6457,0.3793,2.0000
2,0.215407,0.212989,0.005357,0.6496,0.6780,0.6647,0.3502,1.9848
3,0.201955,0.199629,0.005175,0.6923,0.6610,0.6615,0.3558,1.9697
4,0.158326,0.156725,0.003620,0.7009,0.6695,0.6720,0.3402,1.9545
5,0.196201,0.194242,0.004607,0.5812,0.6525,0.6653,0.3494,1.9394
6,0.134314,0.132855,0.003536,0.7009,0.6610,0.6709,0.3407,1.9242
7,0.144651,0.142997,0.003969,0.4701,0.4068,0.6714,0.3427,1.9091
8,0.132261,0.130847,0.003425,0.7094,0.6695,0.6704,0.3452,1.8939
9,0.116001,0.114713,0.003142,0.7350,0.7034,0.6699,0.3463,1.8788
10,0.108456,0.107291,0.002997,0.5897,0.6186,0.6785,0.3321,1.8636
11,0.118293,0.117002,0.003448,0.7009,0.6780,0.6806,0.3291,1.8485
12,0.110681,0.109568,0.002833,0.7265,0.7119,0.6632,0.3573,1.8333
13,0.117562,0.116389,0.003069,0.6239,0.6949,0.6776,0.3339,1.8182
14,0.102490,0.101272,0.003159,0.6923,0.7458,0.6763,0.3356,1.8030
15,0.116932,0.115611,0.003400,0.7265,0.7458,0.6731,0.3400,1.7879
16,0.107830,0.106623,0.003021,0.6154,0.6441,0.6599,0.3617,1.7727
17,0.103093,0.101717,0.003534,0.6838,0.7288,0.6826,0.3250,1.7576
18,0.099932,0.098611,0.003374,0.6838,0.7119,0.6647,0.3517,1.7424
19,0.095877,0.094226,0.004059,0.6667,0.6949,0.6543,0.3687,1.7273
20,0.093422,0.091921,0.003806,0.6667,0.6949,0.6599,0.3611,1.7121
21,0.094360,0.092803,0.003989,0.7692,0.7288,0.6673,0.3493,1.6970
22,0.089376,0.087726,0.004145,0.7436,0.7881,0.6620,0.3586,1.6818
23,0.087504,0.085868,0.004242,0.7350,0.7458,0.6702,0.3452,1.6667
24,0.089135,0.087270,0.004590,0.7350,0.7542,0.6623,0.3571,1.6515
25,0.087980,0.086129,0.004378,0.7350,0.7458,0.6509,0.3752,1.6364
26,0.088127,0.086234,0.004545,0.7179,0.6441,0.6459,0.3812,1.6212
27,0.090890,0.089232,0.004016,0.7265,0.7458,0.6498,0.3769,1.6061
28,0.084488,0.082497,0.004852,0.7094,0.7458,0.6577,0.3648,1.5909
29,0.083480,0.081403,0.005006,0.7436,0.7034,0.6450,0.3837,1.5758
30,0.081338,0.079208,0.005069,0.7521,0.7712,0.6643,0.3504,1.5606
31,0.087717,0.085588,0.005138,0.7521,0.7458,0.6636,0.3531,1.5455
32,0.084099,0.081744,0.005667,0.6923,0.7881,0.6491,0.3751,1.5303
33,0.082555,0.080315,0.005392,0.7009,0.7203,0.6509,0.3723,1.5152
34,0.090829,0.088521,0.005416,0.7009,0.7373,0.6435,0.3836,1.5000
35,0.080171,0.077816,0.005563,0.6752,0.6864,0.6453,0.3810,1.4848
36,0.088195,0.085549,0.006133,0.6581,0.7288,0.6372,0.3921,1.4697
37,0.084378,0.081763,0.005856,0.7350,0.7119,0.6318,0.3982,1.4545
38,0.081887,0.079348,0.005732,0.7094,0.7712,0.6331,0.3967,1.4394
39,0.075330,0.072470,0.006443,0.7265,0.7458,0.6309,0.3990,1.4242
40,0.076236,0.073776,0.005335,0.7009,0.7627,0.6294,0.4006,1.4091
41,0.073736,0.070879,0.006453,0.7521,0.7119,0.6322,0.3978,1.3939
42,0.077175,0.074145,0.006722,0.6496,0.6695,0.6289,0.4011,1.3788
43,0.074183,0.071191,0.006761,0.7265,0.7034,0.6285,0.4016,1.3636
44,0.077845,0.074839,0.006787,0.7094,0.7458,0.6260,0.4035,1.3485
45,0.077732,0.074960,0.006027,0.7350,0.7373,0.6260,0.4034,1.3333
46,0.069594,0.066604,0.006654,0.7521,0.7203,0.6258,0.4033,1.3182
47,0.071337,0.068034,0.007410,0.6239,0.7119,0.6252,0.4039,1.3030
48,0.072197,0.068889,0.007576,0.6752,0.7288,0.6248,0.4041,1.2879
49,0.073371,0.070590,0.005969,0.6667,0.7542,0.6250,0.4041,1.2727
50,0.074844,0.071675,0.006914,0.7094,0.7203,0.6250,0.4040,1.2576
51,0.065864,0.062585,0.007283,0.6838,0.6949,0.6245,0.4042,1.2424
52,0.069786,0.066441,0.007566,0.6838,0.7373,0.6244,0.4043,1.2273
53,0.069907,0.066595,0.007330,0.7094,0.6949,0.6245,0.4042,1.2121
54,0.064681,0.061012,0.008194,0.6838,0.7034,0.6248,0.4041,1.1970
55,0.065543,0.061966,0.007974,0.6667,0.6017,0.6248,0.4041,1.1818
56,0.068494,0.065140,0.007383,0.7094,0.7119,0.6245,0.4042,1.1667
57,0.064167,0.060514,0.008206,0.7521,0.7373,0.6244,0.4042,1.1515
58,0.061704,0.057542,0.009308,0.7350,0.7542,0.6247,0.4041,1.1364
59,0.060501,0.056890,0.008035,0.7179,0.7203,0.6248,0.4041,1.1212
60,0.058690,0.054991,0.008185,0.6496,0.7288,0.6248,0.4041,1.1061
61,0.062246,0.058589,0.008193,0.7009,0.7712,0.6248,0.4041,1.0909
62,0.062255,0.058368,0.008702,0.7009,0.7119,0.6245,0.4042,1.0758
63,0.057902,0.054195,0.008354,0.7179,0.7203,0.6243,0.4042,1.0606
64,0.055499,0.051355,0.009462,0.6752,0.7373,0.6244,0.4042,1.0455
65,0.068204,0.064138,0.009089,0.7265,0.7288,0.6228,0.4049,1.0303
66,0.053835,0.049647,0.009333,0.7179,0.7203,0.6239,0.4044,1.0152
67,0.054621,0.050455,0.009499,0.6752,0.7034,0.6237,0.4044,1.0000
68,0.055067,0.051004,0.009140,0.7009,0.7373,0.6240,0.4042,0.9848
69,0.054425,0.050234,0.009502,0.6239,0.6949,0.6246,0.4041,0.9697
70,0.057672,0.053274,0.009975,0.7179,0.6864,0.6243,0.4042,0.9545
71,0.058280,0.054089,0.009232,0.6752,0.7288,0.6240,0.4043,0.9394
72,0.046288,0.041929,0.009661,0.6496,0.7458,0.6237,0.4044,0.9242
73,0.053199,0.049045,0.009199,0.7094,0.7373,0.6242,0.4042,0.9091
74,0.059319,0.055414,0.008702,0.6581,0.7288,0.6242,0.4042,0.8939
75,0.052318,0.048229,0.009149,0.6923,0.7542,0.6242,0.4042,0.8788
76,0.049704,0.045489,0.009401,0.6752,0.7119,0.6244,0.4041,0.8636
77,0.053233,0.048915,0.009565,0.6923,0.7034,0.6243,0.4041,0.8485
78,0.056057,0.051953,0.009202,0.7265,0.7203,0.6246,0.4041,0.8333
