epoch,loss,task_loss,compute_loss,head_sparse_loss,head_div_loss,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.444850,0.445851,0.009399,0.002242,-0.008764,0.6752,0.5847,0.6244,0.5838,0.5021,2.0000
2,0.205415,0.207374,0.001898,0.000467,-0.008655,0.4957,0.4068,0.6280,0.5974,0.4979,1.9848
3,0.164829,0.166931,0.001417,0.000267,-0.008840,0.6752,0.6610,0.6292,0.5880,0.4970,1.9697
4,0.144142,0.146482,0.000886,0.000327,-0.009693,0.7094,0.6271,0.6296,0.6016,0.4968,1.9545
5,0.155259,0.158157,0.000973,0.000998,-0.012016,0.7265,0.6186,0.6296,0.5762,0.4968,1.9394
6,0.138661,0.142018,0.000984,0.004784,-0.015992,0.5897,0.4492,0.6296,0.6170,0.4968,1.9242
7,0.122537,0.129086,0.001312,0.006887,-0.028102,0.6410,0.5508,0.6296,0.5881,0.4968,1.9091
8,0.130854,0.140624,0.001261,0.011991,-0.042217,0.5470,0.4576,0.6297,0.7433,0.4968,1.8939
9,0.125861,0.136605,0.001135,0.014999,-0.047401,0.6410,0.6610,0.6297,0.5805,0.4968,1.8788
10,0.108972,0.123830,0.001307,0.016553,-0.062212,0.6496,0.6864,0.6298,0.5228,0.4968,1.8636
11,0.095362,0.111057,0.001362,0.026598,-0.071672,0.7009,0.6864,0.6298,0.4830,0.4968,1.8485
12,0.081734,0.101938,0.001250,0.026769,-0.086848,0.7179,0.7119,0.6298,0.6772,0.4968,1.8333
13,0.085630,0.106694,0.001451,0.032491,-0.093498,0.7436,0.7034,0.6298,0.4241,0.4968,1.8182
14,0.092805,0.116175,0.001318,0.035646,-0.103372,0.6667,0.6949,0.6299,0.7183,0.4967,1.8030
15,0.079474,0.102519,0.000895,0.033315,-0.100633,0.6838,0.6186,0.6298,0.5897,0.4968,1.7879
16,0.085293,0.108218,0.001406,0.035574,-0.101772,0.7436,0.6949,0.6298,0.4596,0.4968,1.7727
17,0.071438,0.099264,0.001535,0.028468,-0.113391,0.7094,0.7288,0.6298,0.4206,0.4968,1.7576
18,0.067745,0.094777,0.001792,0.030537,-0.112104,0.7179,0.7373,0.6299,0.5272,0.4967,1.7424
19,0.068254,0.091531,0.001612,0.043601,-0.108305,0.7436,0.7203,0.6299,0.5611,0.4966,1.7273
20,0.069723,0.097333,0.002237,0.028955,-0.112973,0.7179,0.7119,0.6299,0.6125,0.4968,1.7121
21,0.068162,0.090990,0.002388,0.029780,-0.097607,0.7265,0.7034,0.6299,0.6566,0.4967,1.6970
22,0.066713,0.090351,0.002466,0.031600,-0.101526,0.7265,0.6949,0.6299,0.7094,0.4967,1.6818
23,0.063339,0.087255,0.003012,0.034641,-0.104428,0.7265,0.6949,0.6298,0.5570,0.4968,1.6667
24,0.065223,0.088912,0.003906,0.030644,-0.101064,0.7521,0.6949,0.6299,0.6942,0.4967,1.6515
25,0.064500,0.089184,0.003824,0.036239,-0.108101,0.7179,0.7034,0.6299,0.6001,0.4966,1.6364
26,0.064340,0.093217,0.003957,0.029420,-0.117555,0.7179,0.7288,0.6299,0.4809,0.4966,1.6212
27,0.059628,0.087451,0.003906,0.033428,-0.116727,0.7179,0.7034,0.6299,0.6610,0.4966,1.6061
28,0.063070,0.088843,0.004321,0.033790,-0.110142,0.7350,0.7034,0.6299,0.5852,0.4966,1.5909
29,0.066087,0.091486,0.004600,0.034360,-0.109247,0.6838,0.6949,0.6299,0.5720,0.4966,1.5758
30,0.061861,0.090374,0.004138,0.026339,-0.114301,0.6752,0.5932,0.6298,0.4912,0.4968,1.5606
31,0.061009,0.090217,0.005868,0.030733,-0.119612,0.7179,0.7034,0.6298,0.6111,0.4967,1.5455
32,0.062328,0.087562,0.005368,0.032045,-0.107186,0.6752,0.7203,0.6299,0.6205,0.4966,1.5303
33,0.058181,0.082033,0.006636,0.030248,-0.101385,0.7436,0.6780,0.6298,0.5679,0.4968,1.5152
34,0.056787,0.085008,0.006516,0.026611,-0.113586,0.6923,0.7288,0.6299,0.5941,0.4966,1.5000
35,0.062204,0.087474,0.007591,0.034527,-0.108997,0.7521,0.6864,0.6298,0.6984,0.4968,1.4848
36,0.055538,0.081739,0.006890,0.033483,-0.111384,0.7094,0.7034,0.6299,0.5782,0.4966,1.4697
37,0.052071,0.082015,0.007693,0.026244,-0.119082,0.7094,0.6864,0.6298,0.5021,0.4968,1.4545
38,0.055483,0.080436,0.008241,0.040932,-0.112252,0.7179,0.7203,0.6299,0.4707,0.4966,1.4394
39,0.054086,0.079707,0.007821,0.036993,-0.111806,0.7521,0.6949,0.6298,0.5225,0.4967,1.4242
40,0.052503,0.082424,0.008841,0.031008,-0.122205,0.7350,0.7288,0.6298,0.5989,0.4968,1.4091
41,0.051087,0.075251,0.009292,0.044979,-0.112320,0.6923,0.6949,0.6298,0.5384,0.4968,1.3939
42,0.047589,0.076193,0.011219,0.030053,-0.117216,0.7179,0.6949,0.6298,0.6239,0.4967,1.3788
43,0.043926,0.072945,0.012359,0.028731,-0.117734,0.7009,0.7627,0.6298,0.4955,0.4968,1.3636
44,0.051734,0.076685,0.009539,0.043526,-0.113946,0.6667,0.7288,0.6298,0.5912,0.4968,1.3485
45,0.043628,0.072379,0.010787,0.030793,-0.118174,0.7436,0.7203,0.6297,0.5258,0.4968,1.3333
46,0.046520,0.070924,0.012277,0.045678,-0.113649,0.7094,0.7119,0.6299,0.4239,0.4966,1.3182
47,0.045995,0.072655,0.011689,0.038958,-0.116643,0.7265,0.7203,0.6298,0.5431,0.4968,1.3030
48,0.045071,0.072321,0.014260,0.033793,-0.115228,0.7009,0.6271,0.6298,0.5086,0.4967,1.2879
49,0.048646,0.073351,0.014633,0.030548,-0.104597,0.7265,0.7288,0.6298,0.5582,0.4968,1.2727
50,0.044086,0.071782,0.014065,0.031586,-0.115240,0.6923,0.7373,0.6299,0.4635,0.4967,1.2576
51,0.035182,0.063665,0.013762,0.031123,-0.117565,0.6667,0.6780,0.6298,0.5309,0.4968,1.2424
