epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,3.112574,3.097535,0.029406,0.6197,0.2379,0.9184,2.0000
2,1.071692,1.070775,0.000741,0.6808,0.2635,0.9056,1.8333
3,1.086767,1.085864,0.000934,0.6825,0.2920,0.8871,1.6667
4,1.359508,1.358437,0.001489,0.7029,0.2781,0.8933,1.5000
5,1.227992,1.227062,0.001191,0.6706,0.2891,0.8889,1.3333
6,0.967880,0.967361,0.000442,0.6384,0.4065,0.7505,1.1667
7,0.882544,0.882203,0.000578,0.6299,0.4225,0.7340,1.0000
8,1.029788,1.029263,0.000907,0.6791,0.4096,0.7430,0.8333
9,1.212921,1.212265,0.001021,0.6129,0.3811,0.7620,0.6667
10,0.876318,0.875775,0.000814,0.7114,0.4027,0.7418,0.5000
