epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,0.523482,0.522177,0.027417,0.6794,0.5997,0.5496,2.0000
2,0.195391,0.195192,0.004636,0.4097,0.6230,0.5165,1.9211
3,0.193128,0.192970,0.003765,0.4122,0.5874,0.5666,1.8421
4,0.206835,0.206584,0.005913,0.7328,0.5439,0.6235,1.7632
5,0.154312,0.154132,0.004350,0.7277,0.5395,0.6282,1.6842
6,0.164179,0.164013,0.004067,0.7277,0.5372,0.6319,1.6053
7,0.164449,0.164254,0.004682,0.7557,0.5217,0.6461,1.5263
8,0.152105,0.151956,0.003654,0.4555,0.4881,0.6932,1.4474
9,0.146799,0.146673,0.003237,0.7532,0.5000,0.6796,1.3684
10,0.164316,0.164130,0.004603,0.7430,0.5249,0.6447,1.2895
11,0.127133,0.126984,0.003713,0.7405,0.5325,0.6348,1.2105
12,0.104828,0.104673,0.003900,0.7557,0.5280,0.6379,1.1316
13,0.109548,0.109405,0.003608,0.7252,0.5092,0.6568,1.0526
14,0.118934,0.118757,0.004441,0.7557,0.5144,0.6480,0.9737
15,0.119725,0.119554,0.004303,0.7023,0.4994,0.6658,0.8947
16,0.099026,0.098876,0.003780,0.7557,0.4972,0.6685,0.8158
17,0.113091,0.112919,0.004255,0.7430,0.4832,0.6854,0.7368
18,0.107004,0.106830,0.004242,0.7379,0.5025,0.6579,0.6579
19,0.091127,0.090955,0.004294,0.7328,0.4906,0.6731,0.5789
20,0.091980,0.091804,0.004289,0.7379,0.4995,0.6582,0.5000
