epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,4.632350,4.591342,0.069805,0.5195,0.4249,0.6135,2.0000
2,1.008380,1.003043,0.005575,0.6418,0.6215,0.2601,1.9483
3,1.224403,1.220974,0.006097,0.6927,0.6502,0.2022,1.8966
4,1.020294,1.017549,0.004963,0.6910,0.6638,0.1739,1.8448
5,1.412267,1.409328,0.004908,0.6452,0.6465,0.2032,1.7931
6,1.370452,1.367425,0.005665,0.6214,0.6402,0.2153,1.7414
7,1.142861,1.140184,0.004922,0.6791,0.6455,0.2004,1.6897
8,0.827790,0.826393,0.002539,0.6808,0.6777,0.1379,1.6379
9,0.824366,0.822940,0.002715,0.5331,0.6656,0.1570,1.5862
10,0.802178,0.800915,0.002412,0.6486,0.6727,0.1424,1.5345
11,0.981417,0.980165,0.002452,0.6910,0.6876,0.1139,1.4828
12,0.912250,0.910367,0.003613,0.6808,0.6746,0.1362,1.4310
13,1.046299,1.045009,0.002513,0.6469,0.6861,0.1115,1.3793
14,0.914432,0.912561,0.003684,0.5246,0.6497,0.1744,1.3276
15,0.883228,0.880956,0.004116,0.6723,0.6222,0.2213,1.2759
16,0.749870,0.748761,0.002143,0.6604,0.6939,0.0913,1.2241
17,0.793588,0.792714,0.001768,0.7199,0.6936,0.0867,1.1724
18,0.692800,0.691921,0.001784,0.4652,0.6939,0.0938,1.1207
19,0.773880,0.772286,0.003172,0.7012,0.6760,0.1226,1.0690
20,0.734743,0.732357,0.004569,0.6078,0.6393,0.1807,1.0172
21,0.667087,0.666234,0.001684,0.7097,0.6789,0.1063,0.9655
22,0.686685,0.685885,0.001586,0.7368,0.7086,0.0564,0.9138
23,0.782539,0.781145,0.002782,0.7182,0.6722,0.1147,0.8621
24,0.601563,0.599874,0.003469,0.6401,0.7168,0.0472,0.8103
25,0.612842,0.611547,0.002714,0.6774,0.6937,0.0823,0.7586
26,0.696121,0.695013,0.002331,0.7301,0.6828,0.0945,0.7069
27,0.639591,0.638776,0.001647,0.7216,0.6903,0.0832,0.6552
28,0.579237,0.577708,0.003182,0.7317,0.6585,0.1349,0.6034
29,0.677799,0.675925,0.003703,0.6486,0.6623,0.1327,0.5517
30,0.624704,0.623124,0.003278,0.7385,0.6887,0.0844,0.5000
