epoch,loss,val_acc,test_acc,avg_token_ratio,flop_reduction
1,4.624083,0.5043,0.4661,0.4700,0.7791
2,1.348444,0.6325,0.6186,0.4700,0.7791
3,0.964163,0.5726,0.5847,0.4700,0.7791
4,0.716351,0.6667,0.7373,0.4700,0.7791
5,0.662974,0.4274,0.4068,0.4700,0.7791
6,0.614984,0.7778,0.7712,0.4700,0.7791
7,0.543854,0.5983,0.5254,0.4700,0.7791
8,0.567847,0.7778,0.7458,0.4700,0.7791
9,0.526293,0.7265,0.7542,0.4700,0.7791
10,0.513026,0.6667,0.7119,0.4700,0.7791
11,0.557193,0.7692,0.7034,0.4700,0.7791
12,0.496752,0.6923,0.5847,0.4700,0.7791
13,0.499293,0.6838,0.7458,0.4700,0.7791
14,0.489891,0.5983,0.5763,0.4700,0.7791
15,0.493874,0.7009,0.6695,0.4700,0.7791
16,0.475428,0.5214,0.4576,0.4700,0.7791
17,0.476032,0.7265,0.6695,0.4700,0.7791
18,0.476608,0.7521,0.6780,0.4700,0.7791
19,0.450734,0.7607,0.7119,0.4700,0.7791
20,0.475237,0.7949,0.8051,0.4700,0.7791
21,0.464297,0.7094,0.7034,0.4700,0.7791
22,0.483670,0.7692,0.7458,0.4700,0.7791
23,0.476513,0.5299,0.5508,0.4700,0.7791
24,0.497188,0.6496,0.6271,0.4700,0.7791
25,0.488879,0.7521,0.7373,0.4700,0.7791
26,0.457644,0.8291,0.8051,0.4700,0.7791
27,0.463828,0.7949,0.7712,0.4700,0.7791
28,0.468785,0.6667,0.6271,0.4700,0.7791
29,0.472493,0.7179,0.6949,0.4700,0.7791
30,0.502035,0.6838,0.7034,0.4700,0.7791
31,0.441965,0.6239,0.6949,0.4700,0.7791
32,0.443629,0.4701,0.4153,0.4700,0.7791
33,0.496894,0.8034,0.7797,0.4700,0.7791
34,0.407543,0.7863,0.7966,0.4700,0.7791
35,0.527354,0.4444,0.4153,0.4700,0.7791
36,0.664362,0.5897,0.5339,0.4700,0.7791
37,0.569028,0.4444,0.4153,0.4700,0.7791
38,0.574471,0.6496,0.6102,0.4700,0.7791
39,0.548351,0.6496,0.5847,0.4700,0.7791
40,0.552195,0.6154,0.6356,0.4700,0.7791
41,0.540439,0.6239,0.5763,0.4700,0.7791
42,0.563877,0.7265,0.6525,0.4700,0.7791
43,0.546505,0.6154,0.5339,0.4700,0.7791
44,0.546412,0.7778,0.7542,0.4700,0.7791
45,0.551175,0.7778,0.7797,0.4700,0.7791
46,0.552524,0.6838,0.7288,0.4700,0.7791
47,0.541251,0.8034,0.7288,0.4700,0.7791
48,0.534243,0.7778,0.7712,0.4700,0.7791
49,0.546642,0.5641,0.5339,0.4700,0.7791
50,0.588877,0.5043,0.5763,0.4700,0.7791
51,0.562383,0.4188,0.4407,0.4700,0.7791
52,0.560397,0.5385,0.5678,0.4700,0.7791
53,0.551787,0.7863,0.7627,0.4700,0.7791
54,0.569192,0.7607,0.7542,0.4700,0.7791
55,0.557544,0.7863,0.7373,0.4700,0.7791
56,0.547315,0.6752,0.6864,0.4700,0.7791
57,0.549229,0.8034,0.7797,0.4700,0.7791
58,0.533493,0.7692,0.7627,0.4700,0.7791
59,0.541896,0.7778,0.7881,0.4700,0.7791
60,0.567915,0.8120,0.7712,0.4700,0.7791
61,0.547010,0.7949,0.8051,0.4700,0.7791
62,0.548851,0.7436,0.7797,0.4700,0.7791
63,0.556031,0.7863,0.7712,0.4700,0.7791
64,0.539596,0.7607,0.7966,0.4700,0.7791
65,0.554339,0.7863,0.7797,0.4700,0.7791
66,0.548904,0.7094,0.7119,0.4700,0.7791
67,0.543442,0.7949,0.7881,0.4700,0.7791
68,0.548801,0.7863,0.8136,0.4700,0.7791
69,0.538138,0.7692,0.8136,0.4700,0.7791
70,0.544095,0.7863,0.7881,0.4700,0.7791
71,0.538455,0.7692,0.7288,0.4700,0.7791
72,0.551001,0.7692,0.7797,0.4700,0.7791
73,0.546585,0.7094,0.7119,0.4700,0.7791
74,0.543262,0.7863,0.7712,0.4700,0.7791
75,0.542322,0.6923,0.6864,0.4700,0.7791
76,0.538627,0.6581,0.7034,0.4700,0.7791
77,0.531825,0.8120,0.8305,0.4700,0.7791
78,0.541125,0.7350,0.7881,0.4700,0.7791
79,0.542640,0.7778,0.7797,0.4700,0.7791
80,0.541330,0.8034,0.7881,0.4700,0.7791
81,0.543474,0.7265,0.7458,0.4700,0.7791
82,0.543690,0.7692,0.7373,0.4700,0.7791
83,0.573018,0.7778,0.7373,0.4700,0.7791
84,0.559539,0.7179,0.6780,0.4700,0.7791
85,0.554239,0.6752,0.7119,0.4700,0.7791
86,0.552023,0.7778,0.7797,0.4700,0.7791
87,0.548363,0.5726,0.5847,0.4700,0.7791
88,0.547886,0.6410,0.6102,0.4700,0.7791
89,0.558638,0.8120,0.7288,0.4700,0.7791
90,0.563811,0.7949,0.7119,0.4700,0.7791
91,0.570089,0.7863,0.7288,0.4700,0.7791
92,0.554603,0.8120,0.7712,0.4700,0.7791
93,0.556227,0.8120,0.7458,0.4700,0.7791
94,0.553606,0.7521,0.6949,0.4700,0.7791
95,0.563844,0.7778,0.7034,0.4700,0.7791
96,0.557656,0.8034,0.7627,0.4700,0.7791
97,0.558955,0.7436,0.7034,0.4700,0.7791
98,0.549520,0.7607,0.7373,0.4700,0.7791
99,0.561565,0.7863,0.7627,0.4700,0.7791
100,0.556370,0.5556,0.5254,0.4700,0.7791
