epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,1.063849,0.951506,0.030083,0.417458,0.4713,0.4656,0.5923,0.4471,0.3391,2.0000
2,0.201466,0.216565,0.002219,0.127865,0.6897,0.6565,0.6193,0.4656,0.2729,1.9211
3,0.169714,0.190916,0.001980,0.112599,0.6552,0.6361,0.6255,0.4656,0.2584,1.8421
4,0.180238,0.202030,0.001319,0.111875,0.7241,0.6412,0.6295,0.4656,0.2501,1.7632
5,0.180338,0.201960,0.001960,0.111758,0.3793,0.4275,0.6295,0.4656,0.2500,1.6842
6,0.158621,0.180285,0.001883,0.111764,0.7471,0.7201,0.6295,0.4656,0.2498,1.6053
7,0.128963,0.150635,0.001894,0.111760,0.7471,0.7226,0.6296,0.4656,0.2497,1.5263
8,0.181697,0.203109,0.002577,0.111792,0.7011,0.6743,0.6294,0.4656,0.2500,1.4474
9,0.157782,0.179467,0.001831,0.111785,0.6667,0.6514,0.6295,0.4656,0.2500,1.3684
10,0.107945,0.129643,0.001828,0.111816,0.7356,0.6819,0.6296,0.4656,0.2498,1.2895
11,0.144089,0.165795,0.001859,0.111803,0.7931,0.7634,0.6296,0.4656,0.2499,1.2105
12,0.128509,0.150089,0.002168,0.111845,0.7931,0.7379,0.6295,0.4656,0.2499,1.1316
13,0.097830,0.119686,0.001571,0.111801,0.7471,0.7048,0.6295,0.4656,0.2498,1.0526
14,0.090008,0.111799,0.001709,0.111812,0.6782,0.6387,0.6298,0.4656,0.2492,0.9737
15,0.080442,0.102385,0.001309,0.111779,0.7471,0.7354,0.6298,0.4656,0.2492,0.8947
16,0.092554,0.114461,0.001398,0.111800,0.7586,0.7176,0.6298,0.4656,0.2492,0.8158
17,0.081475,0.103363,0.001509,0.111798,0.7126,0.6794,0.6299,0.4656,0.2491,0.7368
18,0.090329,0.112243,0.001513,0.111789,0.7816,0.7481,0.6300,0.4656,0.2491,0.6579
19,0.074347,0.096167,0.001721,0.111804,0.4713,0.4656,0.6298,0.4656,0.2491,0.5789
20,0.084359,0.106090,0.001948,0.111824,0.8046,0.7201,0.6300,0.4656,0.2490,0.5000
