epoch,loss,task_loss,compute_loss,val_acc,test_acc,avg_token_ratio,flop_reduction,tau
1,0.735457,0.726249,0.016277,0.5556,0.5085,0.5752,0.4223,2.0000
2,0.173951,0.171691,0.002029,0.4359,0.3983,0.5789,0.4177,1.9848
3,0.176466,0.174417,0.001659,0.7607,0.6864,0.5799,0.4166,1.9697
4,0.203398,0.201497,0.001373,0.5812,0.6017,0.5815,0.4155,1.9545
5,0.177011,0.175129,0.001259,0.6581,0.7119,0.5817,0.4152,1.9394
6,0.155587,0.153735,0.001284,0.7350,0.7458,0.5819,0.4152,1.9242
7,0.214567,0.212743,0.001224,0.6239,0.6864,0.5819,0.4152,1.9091
8,0.162964,0.161134,0.001195,0.7692,0.7203,0.5819,0.4152,1.8939
9,0.145808,0.144028,0.001168,0.6496,0.5593,0.5819,0.4152,1.8788
10,0.135110,0.133389,0.000947,0.7350,0.7797,0.5821,0.4150,1.8636
11,0.137163,0.135468,0.001002,0.6752,0.6186,0.5822,0.4148,1.8485
12,0.141876,0.140155,0.000982,0.6154,0.6780,0.5821,0.4150,1.8333
13,0.116314,0.114512,0.001237,0.6923,0.6695,0.5821,0.4150,1.8182
14,0.119180,0.117450,0.001160,0.6154,0.7288,0.5822,0.4147,1.8030
15,0.118590,0.116802,0.001218,0.6838,0.7627,0.5822,0.4148,1.7879
16,0.116639,0.114911,0.001159,0.7350,0.7712,0.5822,0.4148,1.7727
17,0.111264,0.109518,0.001089,0.4530,0.4407,0.5820,0.4150,1.7576
18,0.114217,0.112372,0.001505,0.7265,0.7712,0.5821,0.4149,1.7424
19,0.111555,0.109783,0.001318,0.7436,0.7797,0.5821,0.4149,1.7273
20,0.114418,0.112677,0.001145,0.5812,0.5339,0.5822,0.4147,1.7121
21,0.100520,0.098686,0.001453,0.7521,0.7627,0.5822,0.4147,1.6970
22,0.103195,0.101253,0.001894,0.7094,0.6949,0.5820,0.4149,1.6818
23,0.101249,0.099369,0.001786,0.7436,0.8220,0.5819,0.4150,1.6667
24,0.102569,0.100747,0.001386,0.6838,0.6695,0.5819,0.4150,1.6515
25,0.105483,0.103523,0.001874,0.7350,0.7881,0.5820,0.4149,1.6364
26,0.104945,0.102944,0.001982,0.7692,0.8390,0.5820,0.4149,1.6212
27,0.099150,0.096986,0.002609,0.7436,0.8390,0.5822,0.4147,1.6061
28,0.105653,0.103660,0.002099,0.7265,0.8475,0.5822,0.4147,1.5909
29,0.098458,0.096408,0.002045,0.6923,0.7966,0.5821,0.4147,1.5758
30,0.096736,0.094525,0.002718,0.6838,0.8136,0.5822,0.4147,1.5606
31,0.096532,0.094336,0.002571,0.6923,0.7881,0.5822,0.4147,1.5455
32,0.093188,0.090941,0.002791,0.6667,0.7203,0.5822,0.4147,1.5303
33,0.091664,0.089328,0.003080,0.7094,0.8305,0.5822,0.4147,1.5152
34,0.094464,0.092062,0.003276,0.6923,0.7542,0.5822,0.4147,1.5000
35,0.093968,0.091664,0.002998,0.7521,0.8390,0.5821,0.4147,1.4848
36,0.096078,0.093794,0.003020,0.6667,0.5932,0.5820,0.4148,1.4697
37,0.089777,0.087164,0.003948,0.6923,0.8051,0.5820,0.4148,1.4545
38,0.093942,0.091312,0.003927,0.7521,0.8220,0.5821,0.4148,1.4394
39,0.091756,0.089173,0.003749,0.7265,0.8136,0.5821,0.4147,1.4242
40,0.092652,0.089935,0.004131,0.7009,0.6695,0.5821,0.4148,1.4091
41,0.089829,0.087087,0.004108,0.7436,0.8051,0.5822,0.4147,1.3939
42,0.087149,0.084392,0.004300,0.6410,0.7119,0.5822,0.4147,1.3788
43,0.097023,0.094003,0.004973,0.7179,0.7458,0.5821,0.4147,1.3636
44,0.086303,0.083312,0.005077,0.6667,0.8051,0.5820,0.4148,1.3485
45,0.088945,0.086114,0.004641,0.7094,0.8136,0.5821,0.4147,1.3333
46,0.087588,0.084624,0.004996,0.6667,0.7966,0.5820,0.4148,1.3182
47,0.088032,0.084943,0.005385,0.7009,0.7542,0.5818,0.4149,1.3030
48,0.091594,0.088526,0.005321,0.6410,0.7458,0.5821,0.4147,1.2879
49,0.084323,0.080978,0.006145,0.7009,0.7966,0.5818,0.4149,1.2727
50,0.084019,0.081013,0.004946,0.7094,0.7881,0.5819,0.4149,1.2576
51,0.086300,0.083056,0.005691,0.7607,0.8220,0.5820,0.4148,1.2424
52,0.084869,0.081586,0.006190,0.6838,0.7119,0.5816,0.4150,1.2273
53,0.082562,0.078989,0.006679,0.7265,0.7881,0.5817,0.4149,1.2121
54,0.079703,0.076144,0.006768,0.7094,0.7034,0.5815,0.4150,1.1970
55,0.088638,0.085116,0.006682,0.7009,0.8136,0.5810,0.4152,1.1818
56,0.085247,0.081613,0.006370,0.7009,0.7881,0.5817,0.4149,1.1667
57,0.077084,0.073293,0.007238,0.7350,0.7542,0.5817,0.4149,1.1515
58,0.085679,0.081570,0.007829,0.7350,0.8220,0.5803,0.4155,1.1364
59,0.081832,0.077789,0.007635,0.6838,0.7712,0.5780,0.4179,1.1212
60,0.080755,0.076785,0.007369,0.7350,0.7797,0.5760,0.4211,1.1061
61,0.079421,0.075080,0.008248,0.6923,0.7627,0.5733,0.4262,1.0909
62,0.078721,0.074794,0.007111,0.6581,0.7627,0.5794,0.4169,1.0758
63,0.078918,0.074885,0.007673,0.7179,0.7627,0.5785,0.4180,1.0606
64,0.076502,0.072208,0.008275,0.7350,0.8136,0.5770,0.4198,1.0455
65,0.074143,0.069856,0.008334,0.7179,0.7373,0.5736,0.4249,1.0303
66,0.074673,0.070268,0.008568,0.7265,0.7119,0.5744,0.4228,1.0152
67,0.078200,0.073769,0.008605,0.7094,0.7373,0.5706,0.4294,1.0000
68,0.075467,0.070885,0.008637,0.7436,0.8051,0.5755,0.4215,0.9848
69,0.076821,0.072461,0.008164,0.6923,0.7797,0.5747,0.4217,0.9697
70,0.071383,0.066745,0.008848,0.7692,0.7797,0.5684,0.4327,0.9545
71,0.071035,0.066492,0.008574,0.7350,0.7881,0.5710,0.4274,0.9394
72,0.072531,0.068269,0.007866,0.7265,0.7881,0.5714,0.4277,0.9242
73,0.072222,0.067965,0.007937,0.8034,0.7881,0.5731,0.4248,0.9091
74,0.074337,0.069693,0.008670,0.6838,0.7712,0.5696,0.4301,0.8939
75,0.072149,0.067532,0.008558,0.7863,0.8220,0.5672,0.4328,0.8788
76,0.070429,0.065641,0.009015,0.7863,0.7881,0.5625,0.4425,0.8636
77,0.073127,0.068329,0.008860,0.7350,0.7542,0.5594,0.4482,0.8485
78,0.072102,0.066863,0.010121,0.7778,0.7458,0.5569,0.4530,0.8333
79,0.070335,0.065444,0.008191,0.7350,0.7881,0.5502,0.4659,0.8182
80,0.070120,0.065112,0.008745,0.7436,0.7712,0.5512,0.4637,0.8030
81,0.067223,0.062025,0.009106,0.7949,0.7966,0.5497,0.4668,0.7879
82,0.063215,0.058079,0.008660,0.7436,0.7881,0.5534,0.4592,0.7727
