epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,3.448789,3.424262,0.049032,0.4898,0.3593,0.7177,2.0000
2,1.092799,1.091593,0.002429,0.6607,0.3083,0.7876,1.9483
3,1.161744,1.160746,0.002043,0.4745,0.2715,0.8316,1.8966
4,1.121116,1.120510,0.001265,0.4898,0.2855,0.8206,1.8448
5,0.990376,0.989447,0.001915,0.6735,0.2366,0.8682,1.7931
6,1.057173,1.056675,0.001030,0.6607,0.2325,0.8715,1.7414
7,0.930395,0.930058,0.000715,0.6607,0.2420,0.8641,1.6897
8,0.745435,0.745078,0.000766,0.6735,0.2412,0.8654,1.6379
9,0.787835,0.787434,0.000884,0.6556,0.2622,0.8471,1.5862
10,0.731572,0.731100,0.001023,0.6684,0.2446,0.8618,1.5345
11,0.698930,0.698599,0.000721,0.4515,0.2288,0.8747,1.4828
12,0.645723,0.645438,0.000611,0.7092,0.2366,0.8680,1.4310
13,0.693253,0.692905,0.000750,0.7296,0.2342,0.8713,1.3793
14,0.618775,0.618436,0.000747,0.7219,0.2244,0.8808,1.3276
15,0.620787,0.620379,0.000887,0.7194,0.2415,0.8663,1.2759
16,0.598142,0.597787,0.000801,0.6786,0.2257,0.8799,1.2241
17,0.650910,0.650475,0.000969,0.7296,0.2204,0.8835,1.1724
18,0.609690,0.609334,0.000792,0.7092,0.2156,0.8875,1.1207
19,0.559016,0.558640,0.000842,0.6939,0.2114,0.8909,1.0690
20,0.605327,0.604961,0.000805,0.7194,0.2115,0.8907,1.0172
21,0.587736,0.587296,0.000975,0.7321,0.2167,0.8868,0.9655
22,0.598210,0.597710,0.001103,0.7398,0.2133,0.8896,0.9138
23,0.593864,0.593421,0.000978,0.6964,0.2087,0.8928,0.8621
24,0.580540,0.579996,0.001187,0.7270,0.2092,0.8922,0.8103
25,0.537117,0.536568,0.001197,0.7270,0.2044,0.8958,0.7586
26,0.545336,0.544727,0.001322,0.7143,0.2030,0.8972,0.7069
27,0.594002,0.593379,0.001367,0.6964,0.2036,0.8970,0.6552
28,0.528859,0.528296,0.001256,0.6454,0.2046,0.8964,0.6034
29,0.583635,0.582947,0.001540,0.7143,0.2070,0.8949,0.5517
30,0.560791,0.560146,0.001448,0.5893,0.2095,0.8932,0.5000
