epoch,loss,val_acc,test_acc,avg_token_ratio,flop_reduction
1,4.843623,0.5214,0.6271,0.4700,0.7791
2,1.798398,0.5299,0.4915,0.4700,0.7791
3,0.906028,0.6923,0.6610,0.4700,0.7791
4,0.696875,0.5128,0.5085,0.4700,0.7791
5,0.782142,0.6239,0.5593,0.4700,0.7791
6,0.649174,0.6752,0.7458,0.4700,0.7791
7,0.549313,0.5470,0.6271,0.4700,0.7791
8,0.541213,0.6838,0.6441,0.4700,0.7791
9,0.500997,0.5385,0.4153,0.4700,0.7791
10,0.523516,0.6923,0.7458,0.4700,0.7791
11,0.491566,0.6923,0.7458,0.4700,0.7791
12,0.468587,0.6239,0.5763,0.4700,0.7791
13,0.488885,0.6752,0.7203,0.4700,0.7791
14,0.453545,0.8034,0.6525,0.4700,0.7791
15,0.471557,0.7009,0.6610,0.4700,0.7791
16,0.445439,0.7094,0.6271,0.4700,0.7791
17,0.466717,0.6667,0.6949,0.4700,0.7791
18,0.454080,0.6923,0.6017,0.4700,0.7791
19,0.431564,0.7094,0.7288,0.4700,0.7791
20,0.432274,0.7949,0.6864,0.4700,0.7791
21,0.447163,0.5385,0.4746,0.4700,0.7791
22,0.442896,0.7094,0.7288,0.4700,0.7791
23,0.444949,0.5470,0.4492,0.4700,0.7791
24,0.495726,0.5470,0.4661,0.4700,0.7791
25,0.499201,0.6239,0.7034,0.4700,0.7791
26,0.428406,0.6667,0.6017,0.4700,0.7791
27,0.450474,0.7607,0.6356,0.4700,0.7791
28,0.418305,0.5128,0.4153,0.4700,0.7791
29,0.422857,0.7521,0.7288,0.4700,0.7791
30,0.432012,0.6667,0.7203,0.4700,0.7791
31,0.464665,0.7949,0.7203,0.4700,0.7791
32,0.404334,0.7778,0.7712,0.4700,0.7791
33,0.409627,0.5641,0.6525,0.4700,0.7791
34,0.420895,0.7521,0.7458,0.4700,0.7791
35,0.395073,0.6239,0.6864,0.4700,0.7791
36,0.397480,0.7179,0.6356,0.4700,0.7791
37,0.407917,0.7692,0.6949,0.4700,0.7791
38,0.413782,0.7265,0.6102,0.4700,0.7791
39,0.387792,0.6325,0.6949,0.4700,0.7791
40,0.396143,0.7521,0.6525,0.4700,0.7791
41,0.358796,0.6667,0.7203,0.4700,0.7791
42,0.364223,0.7521,0.7542,0.4700,0.7791
43,0.359180,0.7692,0.7203,0.4700,0.7791
44,0.371591,0.7350,0.7288,0.4700,0.7791
45,0.362293,0.7350,0.6864,0.4700,0.7791
46,0.356195,0.6581,0.6102,0.4700,0.7791
47,0.338528,0.7692,0.7203,0.4700,0.7791
48,0.319792,0.6667,0.6017,0.4700,0.7791
49,0.307096,0.6581,0.6949,0.4700,0.7791
50,0.287989,0.7179,0.5593,0.4700,0.7791
51,0.298250,0.6923,0.7373,0.4700,0.7791
52,0.326587,0.7179,0.6102,0.4700,0.7791
53,0.285745,0.5812,0.5339,0.4700,0.7791
54,0.296161,0.7521,0.7373,0.4700,0.7791
55,0.286018,0.7350,0.7119,0.4700,0.7791
56,0.278293,0.7179,0.7458,0.4700,0.7791
57,0.303839,0.7521,0.7034,0.4700,0.7791
58,0.264630,0.7436,0.7288,0.4700,0.7791
59,0.258637,0.7350,0.7627,0.4700,0.7791
60,0.244078,0.6239,0.6949,0.4700,0.7791
61,0.216633,0.7009,0.7203,0.4700,0.7791
62,0.242255,0.7094,0.5932,0.4700,0.7791
63,0.212560,0.6838,0.7203,0.4700,0.7791
64,0.252877,0.8034,0.7119,0.4700,0.7791
65,0.204894,0.7265,0.7712,0.4700,0.7791
66,0.204366,0.6923,0.7712,0.4700,0.7791
67,0.275430,0.7863,0.7712,0.4700,0.7791
68,0.222932,0.7009,0.7542,0.4700,0.7791
69,0.214263,0.7179,0.6356,0.4700,0.7791
70,0.222897,0.7692,0.7203,0.4700,0.7791
71,0.219524,0.7265,0.7542,0.4700,0.7791
72,0.215582,0.6496,0.7373,0.4700,0.7791
73,0.223981,0.7094,0.7288,0.4700,0.7791
74,0.261947,0.6325,0.5339,0.4700,0.7791
75,0.207587,0.6325,0.7288,0.4700,0.7791
76,0.200376,0.6923,0.7712,0.4700,0.7791
77,0.187375,0.7179,0.7458,0.4700,0.7791
78,0.185149,0.6923,0.7627,0.4700,0.7791
79,0.195806,0.7009,0.7119,0.4700,0.7791
80,0.164613,0.6752,0.6780,0.4700,0.7791
81,0.186761,0.7521,0.7119,0.4700,0.7791
82,0.201181,0.7009,0.7034,0.4700,0.7791
83,0.243867,0.7436,0.6780,0.4700,0.7791
84,0.182918,0.6923,0.7797,0.4700,0.7791
85,0.184847,0.7265,0.6864,0.4700,0.7791
86,0.186866,0.7350,0.7203,0.4700,0.7791
87,0.167533,0.7265,0.7458,0.4700,0.7791
88,0.254735,0.7265,0.6356,0.4700,0.7791
89,0.172558,0.7350,0.7542,0.4700,0.7791
90,0.153864,0.7521,0.6949,0.4700,0.7791
91,0.186349,0.7179,0.7288,0.4700,0.7791
92,0.173332,0.7436,0.7966,0.4700,0.7791
93,0.126335,0.7094,0.6441,0.4700,0.7791
94,0.190297,0.6923,0.7542,0.4700,0.7791
95,0.147193,0.7436,0.7119,0.4700,0.7791
96,0.219055,0.7521,0.7458,0.4700,0.7791
97,0.124468,0.7521,0.7542,0.4700,0.7791
98,0.210140,0.7521,0.7797,0.4700,0.7791
99,0.210885,0.7179,0.7373,0.4700,0.7791
100,0.132635,0.6838,0.6102,0.4700,0.7791
