epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,4.816375,4.786164,0.060124,0.6401,0.2962,0.8212,2.0000
2,1.474865,1.471566,0.005317,0.4075,0.2365,0.8781,1.8333
3,1.215266,1.213107,0.002853,0.6689,0.2211,0.8898,1.6667
4,1.043693,1.042151,0.001514,0.6316,0.2205,0.8903,1.5000
5,1.388754,1.387221,0.001535,0.6740,0.2227,0.8884,1.3333
6,0.962572,0.961243,0.001173,0.6282,0.2320,0.8806,1.1667
7,1.073196,1.071657,0.001935,0.6350,0.2648,0.8487,1.0000
8,1.261142,1.259768,0.001440,0.6757,0.2647,0.8486,0.8333
9,0.885344,0.884151,0.001207,0.6842,0.2771,0.8325,0.6667
10,0.933542,0.932409,0.001532,0.6604,0.3214,0.7694,0.5000
