epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,3.246412,3.246261,0.015043,0.6356,0.4677,0.5593,2.0000
2,1.134798,1.134783,0.001429,0.6271,0.4535,0.5831,1.9848
3,1.152321,1.152312,0.000849,0.3983,0.4665,0.5637,1.9697
4,1.175179,1.175171,0.000792,0.6017,0.4600,0.5746,1.9545
5,0.988320,0.988311,0.000894,0.4915,0.4540,0.5862,1.9394
6,0.955209,0.955202,0.000732,0.6610,0.4669,0.5655,1.9242
7,0.966354,0.966343,0.001053,0.7203,0.4682,0.5644,1.9091
8,0.835247,0.835239,0.000807,0.6949,0.4602,0.5782,1.8939
9,0.798669,0.798663,0.000640,0.6695,0.4666,0.5679,1.8788
10,0.780832,0.780823,0.000970,0.6525,0.4705,0.5617,1.8636
11,0.799007,0.798998,0.000887,0.7119,0.4851,0.5359,1.8485
12,0.646719,0.646713,0.000607,0.6949,0.4665,0.5695,1.8333
13,0.629916,0.629910,0.000598,0.7458,0.4516,0.5935,1.8182
14,0.644364,0.644360,0.000389,0.6610,0.4670,0.5689,1.8030
15,0.646084,0.646076,0.000815,0.6271,0.4673,0.5692,1.7879
16,0.631600,0.631591,0.000899,0.7119,0.4716,0.5617,1.7727
17,0.607400,0.607394,0.000673,0.7119,0.4781,0.5505,1.7576
18,0.587184,0.587176,0.000824,0.7627,0.4715,0.5624,1.7424
19,0.579674,0.579664,0.001040,0.7288,0.4721,0.5617,1.7273
20,0.671532,0.671522,0.000971,0.6610,0.4760,0.5542,1.7121
21,0.621121,0.621108,0.001308,0.7288,0.4678,0.5701,1.6970
22,0.582401,0.582390,0.001079,0.7373,0.4666,0.5728,1.6818
23,0.610928,0.610914,0.001401,0.7373,0.4838,0.5387,1.6667
24,0.611230,0.611214,0.001517,0.7797,0.4821,0.5413,1.6515
25,0.559347,0.559334,0.001260,0.7288,0.4800,0.5464,1.6364
26,0.571494,0.571478,0.001639,0.7458,0.4873,0.5329,1.6212
27,0.570837,0.570823,0.001488,0.7542,0.5001,0.5099,1.6061
28,0.621677,0.621660,0.001687,0.7034,0.4807,0.5461,1.5909
29,0.624510,0.624486,0.002430,0.7881,0.4799,0.5473,1.5758
30,0.551052,0.551027,0.002462,0.7712,0.4882,0.5315,1.5606
31,0.529699,0.529677,0.002237,0.7288,0.4936,0.5210,1.5455
32,0.564811,0.564781,0.002999,0.7797,0.4922,0.5234,1.5303
33,0.556177,0.556148,0.002897,0.7458,0.5035,0.5032,1.5152
34,0.558058,0.558020,0.003853,0.7797,0.4970,0.5149,1.5000
35,0.535978,0.535943,0.003586,0.6949,0.5024,0.5048,1.4848
36,0.527300,0.527266,0.003352,0.7966,0.4941,0.5198,1.4697
37,0.543181,0.543146,0.003520,0.7458,0.5045,0.4999,1.4545
38,0.517166,0.517128,0.003787,0.7797,0.5016,0.5063,1.4394
39,0.519933,0.519890,0.004365,0.7797,0.4940,0.5208,1.4242
40,0.498564,0.498516,0.004740,0.7288,0.5052,0.4988,1.4091
41,0.524071,0.524016,0.005575,0.7288,0.5024,0.5052,1.3939
42,0.463223,0.463176,0.004696,0.7542,0.5029,0.5053,1.3788
43,0.510168,0.510107,0.006157,0.7966,0.5040,0.5012,1.3636
44,0.503976,0.503922,0.005404,0.7373,0.5035,0.5051,1.3485
45,0.473129,0.473070,0.005969,0.7458,0.5073,0.4964,1.3333
46,0.493190,0.493129,0.006136,0.7712,0.5025,0.5073,1.3182
47,0.522107,0.522054,0.005275,0.7627,0.5071,0.4979,1.3030
