epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,0.755607,0.734338,0.042557,0.6531,0.2544,0.8467,2.0000
2,0.264318,0.263607,0.001446,0.6378,0.2279,0.8739,1.9211
3,0.271635,0.270966,0.001361,0.6173,0.2179,0.8833,1.8421
4,0.160680,0.160343,0.000691,0.6301,0.2142,0.8869,1.7632
5,0.171740,0.171324,0.000857,0.6148,0.2093,0.8912,1.6842
6,0.180597,0.180283,0.000649,0.6505,0.2103,0.8906,1.6053
7,0.145095,0.144801,0.000615,0.4668,0.2219,0.8814,1.5263
8,0.171524,0.171154,0.000775,0.6939,0.2117,0.8897,1.4474
9,0.122507,0.122189,0.000672,0.7117,0.2085,0.8924,1.3684
10,0.134155,0.133891,0.000567,0.6990,0.2058,0.8947,1.2895
11,0.108267,0.108039,0.000497,0.6020,0.2147,0.8881,1.2105
12,0.115888,0.115602,0.000621,0.6735,0.2085,0.8930,1.1316
13,0.128804,0.128477,0.000716,0.4388,0.2041,0.8964,1.0526
14,0.128911,0.128604,0.000675,0.6658,0.2047,0.8960,0.9737
15,0.113265,0.112970,0.000652,0.7347,0.2044,0.8964,0.8947
16,0.103113,0.102774,0.000769,0.7449,0.2059,0.8957,0.8158
17,0.102088,0.101776,0.000707,0.7347,0.2022,0.8981,0.7368
18,0.099996,0.099704,0.000660,0.6786,0.2021,0.8981,0.6579
19,0.098476,0.098240,0.000533,0.7321,0.2011,0.8988,0.5789
20,0.100784,0.100581,0.000452,0.5816,0.2019,0.8984,0.5000
