epoch,loss,task_loss,compute_loss,head_entropy,val_acc,test_acc,avg_token_ratio,avg_head_gate,flop_reduction,tau
1,0.788787,0.745968,0.009726,0.256518,0.7471,0.6616,0.6139,0.5252,0.3673,2.0000
2,0.259630,0.280559,0.001861,0.100847,0.8276,0.6921,0.6220,0.5250,0.3526,1.9211
3,0.209848,0.231308,0.001775,0.099841,0.5517,0.5420,0.6274,0.5250,0.3425,1.8421
4,0.204571,0.226270,0.001437,0.099601,0.7701,0.7176,0.6280,0.5250,0.3415,1.7632
5,0.144105,0.166067,0.000864,0.099530,0.8276,0.6845,0.6287,0.5250,0.3401,1.6842
6,0.178068,0.200005,0.001042,0.099501,0.6437,0.5776,0.6291,0.5250,0.3396,1.6053
7,0.123709,0.145673,0.001008,0.099477,0.8161,0.7099,0.6299,0.5250,0.3383,1.5263
8,0.120321,0.142300,0.001008,0.099454,0.6322,0.6132,0.6297,0.5250,0.3387,1.4474
9,0.151645,0.173599,0.001041,0.099510,0.5057,0.5293,0.6300,0.5250,0.3381,1.3684
10,0.160833,0.182752,0.001199,0.099464,0.6782,0.5954,0.6300,0.5250,0.3381,1.2895
11,0.138380,0.160302,0.001217,0.099459,0.6207,0.5725,0.6299,0.5250,0.3382,1.2105
12,0.118690,0.140595,0.001365,0.099437,0.8391,0.7608,0.6301,0.5250,0.3380,1.1316
13,0.124097,0.146143,0.000855,0.099431,0.7816,0.7430,0.6302,0.5250,0.3379,1.0526
14,0.102547,0.124570,0.000949,0.099503,0.8161,0.7379,0.6303,0.5250,0.3378,0.9737
15,0.104627,0.126836,0.000505,0.099362,0.5977,0.5802,0.6301,0.5250,0.3379,0.8947
16,0.095165,0.117198,0.000947,0.099413,0.8506,0.7455,0.6302,0.5250,0.3379,0.8158
17,0.088942,0.111016,0.000894,0.099381,0.4713,0.4758,0.6302,0.5250,0.3378,0.7368
18,0.091054,0.113056,0.001133,0.099377,0.8161,0.7430,0.6302,0.5250,0.3378,0.6579
19,0.092292,0.114295,0.001128,0.099400,0.8391,0.7684,0.6303,0.5250,0.3378,0.5789
20,0.091700,0.113689,0.001273,0.099383,0.8621,0.7506,0.6303,0.5250,0.3377,0.5000
