epoch,loss,val_acc,test_acc,avg_token_ratio,flop_reduction
1,4.980863,0.4444,0.4661,0.4700,0.7791
2,1.408447,0.6496,0.6102,0.4700,0.7791
3,0.960279,0.6923,0.7034,0.4700,0.7791
4,0.738777,0.5812,0.4746,0.4700,0.7791
5,0.626260,0.6239,0.6949,0.4700,0.7791
6,0.581860,0.5299,0.4831,0.4700,0.7791
7,0.541348,0.5128,0.5593,0.4700,0.7791
8,0.531505,0.6410,0.6525,0.4700,0.7791
9,0.579147,0.6752,0.7034,0.4700,0.7791
10,0.501027,0.6581,0.6864,0.4700,0.7791
11,0.508698,0.6068,0.6610,0.4700,0.7791
12,0.518569,0.4701,0.4068,0.4700,0.7791
13,0.499570,0.6667,0.7119,0.4700,0.7791
14,0.475166,0.6410,0.6186,0.4700,0.7791
15,0.462294,0.5470,0.6271,0.4700,0.7791
16,0.452100,0.5812,0.6525,0.4700,0.7791
17,0.451909,0.6581,0.6949,0.4700,0.7791
18,0.469913,0.6239,0.6780,0.4700,0.7791
19,0.425330,0.7094,0.6356,0.4700,0.7791
20,0.434839,0.7350,0.7119,0.4700,0.7791
21,0.437128,0.6154,0.6949,0.4700,0.7791
22,0.419184,0.5556,0.4831,0.4700,0.7791
23,0.435700,0.6325,0.5508,0.4700,0.7791
24,0.406533,0.5726,0.6271,0.4700,0.7791
25,0.429788,0.7350,0.6949,0.4700,0.7791
26,0.412375,0.7692,0.6610,0.4700,0.7791
27,0.408628,0.7607,0.6610,0.4700,0.7791
28,0.392458,0.6923,0.7373,0.4700,0.7791
29,0.368853,0.6838,0.6102,0.4700,0.7791
30,0.402103,0.6838,0.6949,0.4700,0.7791
31,0.374880,0.6239,0.5424,0.4700,0.7791
32,0.398624,0.6325,0.6864,0.4700,0.7791
33,0.406633,0.6838,0.7203,0.4700,0.7791
34,0.391984,0.7350,0.7034,0.4700,0.7791
35,0.372551,0.6154,0.5085,0.4700,0.7791
36,0.343340,0.5812,0.6525,0.4700,0.7791
37,0.362697,0.6496,0.7119,0.4700,0.7791
38,0.345196,0.5556,0.5085,0.4700,0.7791
39,0.370294,0.6581,0.7034,0.4700,0.7791
40,0.328447,0.6154,0.6780,0.4700,0.7791
41,0.297156,0.6325,0.6610,0.4700,0.7791
42,0.359782,0.6496,0.6695,0.4700,0.7791
43,0.357260,0.6325,0.6610,0.4700,0.7791
44,0.330310,0.7436,0.6949,0.4700,0.7791
45,0.316272,0.6410,0.6610,0.4700,0.7791
46,0.287532,0.6496,0.7203,0.4700,0.7791
47,0.278262,0.6838,0.6780,0.4700,0.7791
48,0.309066,0.6496,0.5932,0.4700,0.7791
49,0.277178,0.7436,0.6780,0.4700,0.7791
50,0.221227,0.6667,0.7119,0.4700,0.7791
51,0.298145,0.5812,0.6864,0.4700,0.7791
52,0.323945,0.6239,0.6525,0.4700,0.7791
53,0.245642,0.6923,0.6695,0.4700,0.7791
54,0.257309,0.7179,0.6610,0.4700,0.7791
55,0.244905,0.5214,0.4661,0.4700,0.7791
56,0.284046,0.6581,0.7458,0.4700,0.7791
57,0.228299,0.6410,0.6695,0.4700,0.7791
58,0.257887,0.7009,0.6949,0.4700,0.7791
59,0.246406,0.7009,0.7458,0.4700,0.7791
60,0.207226,0.6496,0.6695,0.4700,0.7791
61,0.212907,0.7350,0.7288,0.4700,0.7791
62,0.198457,0.6581,0.6356,0.4700,0.7791
63,0.230504,0.6410,0.6017,0.4700,0.7791
64,0.215961,0.6923,0.6780,0.4700,0.7791
65,0.229680,0.7350,0.6780,0.4700,0.7791
66,0.180933,0.7436,0.6864,0.4700,0.7791
67,0.230829,0.7094,0.6271,0.4700,0.7791
68,0.229806,0.6496,0.5847,0.4700,0.7791
69,0.196065,0.6752,0.6949,0.4700,0.7791
70,0.173100,0.6838,0.7034,0.4700,0.7791
71,0.174229,0.6923,0.7119,0.4700,0.7791
72,0.241493,0.7265,0.6864,0.4700,0.7791
73,0.160023,0.6239,0.5339,0.4700,0.7791
74,0.190669,0.6667,0.6949,0.4700,0.7791
75,0.175112,0.7179,0.6441,0.4700,0.7791
76,0.227524,0.6667,0.6695,0.4700,0.7791
77,0.162859,0.6752,0.6949,0.4700,0.7791
78,0.225130,0.6068,0.6017,0.4700,0.7791
79,0.186091,0.6667,0.6525,0.4700,0.7791
80,0.179342,0.7009,0.6695,0.4700,0.7791
81,0.211372,0.6581,0.6610,0.4700,0.7791
82,0.167073,0.7265,0.6949,0.4700,0.7791
83,0.175982,0.6752,0.6695,0.4700,0.7791
84,0.173223,0.7179,0.7288,0.4700,0.7791
85,0.172564,0.7094,0.6610,0.4700,0.7791
86,0.167842,0.7607,0.6695,0.4700,0.7791
87,0.163934,0.7094,0.7373,0.4700,0.7791
88,0.158250,0.6667,0.6186,0.4700,0.7791
89,0.199422,0.7350,0.7203,0.4700,0.7791
90,0.171536,0.4872,0.4576,0.4700,0.7791
91,0.187528,0.6752,0.6864,0.4700,0.7791
92,0.203159,0.7094,0.6949,0.4700,0.7791
93,0.121963,0.6581,0.6356,0.4700,0.7791
94,0.166364,0.7094,0.7203,0.4700,0.7791
95,0.136445,0.6838,0.6949,0.4700,0.7791
96,0.182838,0.6838,0.6695,0.4700,0.7791
97,0.160290,0.7009,0.6949,0.4700,0.7791
98,0.139023,0.6239,0.5678,0.4700,0.7791
99,0.159086,0.7179,0.7288,0.4700,0.7791
100,0.197894,0.6410,0.6525,0.4700,0.7791
