epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,3.569096,3.532589,0.059944,0.5827,0.4146,0.7224,2.0000
2,1.091202,1.083345,0.010373,0.6667,0.6160,0.4461,1.9483
3,1.064428,1.059160,0.009121,0.6743,0.6129,0.4477,1.8966
4,1.161366,1.156065,0.009507,0.6743,0.6279,0.4245,1.8448
5,1.164456,1.160474,0.007373,0.5344,0.6296,0.4165,1.7931
6,0.992301,0.989817,0.004797,0.5751,0.6351,0.4041,1.7414
7,1.001112,0.997894,0.005985,0.7481,0.6412,0.4022,1.6897
8,0.812818,0.808965,0.007026,0.6310,0.6807,0.3428,1.6379
9,0.665973,0.663364,0.004518,0.6921,0.6341,0.4009,1.5862
10,0.771278,0.768844,0.004337,0.7226,0.6965,0.2979,1.5345
11,0.745460,0.743612,0.003659,0.5013,0.6666,0.3483,1.4828
12,0.711566,0.710215,0.002692,0.6921,0.7197,0.2750,1.4310
13,0.733863,0.732559,0.002780,0.7226,0.7097,0.2891,1.3793
14,0.695433,0.693493,0.004154,0.7150,0.6801,0.3283,1.3276
15,0.693524,0.691361,0.004471,0.7812,0.7019,0.3027,1.2759
16,0.755453,0.753801,0.003615,0.5420,0.6511,0.3721,1.2241
17,0.630058,0.628158,0.004024,0.7888,0.6809,0.3336,1.1724
18,0.648619,0.646786,0.003808,0.7659,0.6616,0.3630,1.1207
19,0.655256,0.652910,0.004276,0.7506,0.7096,0.2866,1.0690
20,0.669900,0.667411,0.005344,0.7913,0.6396,0.3822,1.0172
21,0.662824,0.659904,0.005933,0.7684,0.6579,0.3552,0.9655
22,0.579486,0.577128,0.005055,0.7837,0.6883,0.3156,0.9138
23,0.621735,0.620246,0.003318,0.7430,0.6968,0.3033,0.8621
24,0.563907,0.562325,0.003467,0.7735,0.6623,0.3638,0.8103
25,0.592237,0.590088,0.004780,0.7913,0.7212,0.2821,0.7586
26,0.671602,0.668914,0.005892,0.6845,0.6843,0.3343,0.7069
27,0.552224,0.550298,0.004397,0.6972,0.6778,0.3345,0.6552
28,0.572711,0.570372,0.005411,0.7532,0.6254,0.4081,0.6034
29,0.580045,0.577921,0.004587,0.6463,0.6624,0.3685,0.5517
30,0.571775,0.568617,0.007129,0.7354,0.6723,0.3491,0.5000
