epoch,loss,task_loss,compute_loss,test_acc,avg_token_ratio,flop_reduction,tau
1,2.990277,2.967663,0.045382,0.6276,0.3473,0.7407,2.0000
2,1.531262,1.529971,0.002665,0.6454,0.2842,0.8203,1.9211
3,1.056332,1.055973,0.000766,0.6429,0.2771,0.8308,1.8421
4,1.132077,1.131763,0.000681,0.6658,0.2631,0.8462,1.7632
5,0.983531,0.983241,0.000631,0.6658,0.2787,0.8309,1.6842
6,1.022415,1.022046,0.000808,0.6352,0.2673,0.8420,1.6053
7,1.279814,1.279400,0.000900,0.6556,0.2784,0.8311,1.5263
8,0.770372,0.770033,0.000762,0.6709,0.2922,0.8155,1.4474
9,0.943006,0.942541,0.001029,0.6276,0.2759,0.8357,1.3684
10,0.801058,0.800628,0.000965,0.6607,0.2788,0.8307,1.2895
11,0.746567,0.746175,0.000885,0.6888,0.2765,0.8366,1.2105
12,0.712988,0.712539,0.001040,0.7015,0.2694,0.8435,1.1316
13,0.697647,0.697255,0.000902,0.6480,0.2548,0.8568,1.0526
14,0.684651,0.684340,0.000734,0.6939,0.2671,0.8447,0.9737
15,0.614240,0.613896,0.000794,0.6913,0.2389,0.8691,0.8947
16,0.616052,0.615718,0.000779,0.6913,0.2552,0.8530,0.8158
17,0.670498,0.670108,0.000886,0.7015,0.2374,0.8704,0.7368
18,0.586825,0.586475,0.000806,0.7449,0.2329,0.8748,0.6579
19,0.613844,0.613507,0.000792,0.7347,0.2494,0.8591,0.5789
20,0.620264,0.619800,0.001083,0.7066,0.2449,0.8626,0.5000
